time,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL
2041.0,31152974000.0,30115561000.0,30593802000.0,30770622000.0,28923013000.0
2042.0,31136993000.0,29819773000.0,30223235000.0,30556301000.0,28316807000.0
2043.0,30879429000.0,29543713000.0,29838123000.0,30255063000.0,27629343000.0
2044.0,30619510000.0,29224778000.0,29711240000.0,29925505000.0,27200356000.0
2045.0,30324742000.0,28774844000.0,29201144000.0,30048844000.0,26650393000.0
2046.0,30048830000.0,28277815000.0,28902054000.0,29541069000.0,26045210000.0
2047.0,29769998000.0,27818734000.0,28458906000.0,29341665000.0,25534500000.0
2048.0,29412372000.0,27436278000.0,28014862000.0,29096172000.0,25236881000.0
2049.0,29126285000.0,26891297000.0,27647218000.0,28978557000.0,24643410000.0
2050.0,28798355000.0,26506684000.0,27177130000.0,28578083000.0,23909284000.0
2051.0,28363872000.0,26145320000.0,26587118000.0,28189327000.0,23185100000.0
2052.0,27963476000.0,25765347000.0,26166309000.0,27803218000.0,22560110000.0
2053.0,27530936000.0,25081248000.0,25631410000.0,27394707000.0,21689618000.0
2054.0,27172840000.0,25074629000.0,25021070000.0,27247190000.0,20695575000.0
2055.0,27133390000.0,24255375000.0,24512903000.0,26795583000.0,19865580000.0
2056.0,26515395000.0,23747060000.0,24003062000.0,26504542000.0,19140766000.0
2057.0,26126301000.0,23361858000.0,23585227000.0,26175037000.0,18421480000.0
2058.0,25957839000.0,22915703000.0,22946255000.0,26002854000.0,17761165000.0
2059.0,25582578000.0,22440380000.0,22314060000.0,25335527000.0,16991996000.0
2060.0,25382457000.0,22040988000.0,21681880000.0,24808292000.0,16585048000.0
2061.0,25148570000.0,21574898000.0,21372584000.0,24282147000.0,16037547000.0
2062.0,24706839000.0,21069324000.0,20840018000.0,24044229000.0,15897978000.0
2063.0,24263268000.0,20563356000.0,20409342000.0,23872668000.0,15375544000.0
2064.0,23887956000.0,19858141000.0,19931417000.0,23411325000.0,14845796000.0
2065.0,23385997000.0,19666050000.0,19367447000.0,23167988000.0,14347442000.0
2066.0,23737070000.0,19450250000.0,18772179000.0,22868525000.0,14127411000.0
2067.0,22942224000.0,18920663000.0,18446453000.0,22545617000.0,13602934000.0
2068.0,22522580000.0,18391040000.0,17955365000.0,22044946000.0,13227303000.0
2069.0,22435107000.0,18176131000.0,17607936000.0,21539467000.0,12697112000.0
2070.0,22015568000.0,17872857000.0,17115586000.0,21225026000.0,12582918000.0
2071.0,21974820000.0,17396812000.0,16656345000.0,20869630000.0,12005979000.0
2072.0,21284207000.0,17020100000.0,16198836000.0,20972177000.0,12857538000.0
2073.0,20904507000.0,17275330000.0,15685093000.0,20279192000.0,11729058000.0
2074.0,20602034000.0,17049444000.0,15320448000.0,20055595000.0,11133991000.0
2075.0,20114035000.0,16348135000.0,14979014000.0,19879252000.0,10571903000.0
2076.0,19623465000.0,15889070000.0,14557719000.0,19349121000.0,10257059000.0
2077.0,19207981000.0,15579509000.0,14133130000.0,18989597000.0,9883652000.0
2078.0,18900000000.0,15218397000.0,13765788000.0,18631186000.0,9817825000.0
2079.0,18474040000.0,14752276000.0,13325090000.0,18178363000.0,9368271000.0
2080.0,17996513000.0,14458273000.0,12843495000.0,17698517000.0,9079684000.0
2081.0,17665559000.0,14255322000.0,12468827000.0,17256810000.0,8615167000.0
2082.0,17507244000.0,13850754000.0,11999571000.0,16895976000.0,8353588000.0
2083.0,17065805000.0,13919118000.0,11604008000.0,16587327000.0,8101400000.0
2084.0,16616713000.0,13245969000.0,11267398000.0,16141362000.0,7895573000.0
2085.0,16456172000.0,12990119000.0,10958760000.0,15804227000.0,7686780000.0
2086.0,15961410000.0,12648531000.0,10425936000.0,15436183000.0,7446964000.0
2087.0,15725666000.0,12379843000.0,10093877000.0,15094433000.0,7144723000.0
2088.0,15220395000.0,12200941000.0,9579333000.0,14682097000.0,6882257000.0
2089.0,14819186000.0,11968804000.0,9326147000.0,14331381000.0,6641515000.0
2090.0,14442502000.0,11745417000.0,9051010000.0,14016585000.0,6384817700.0
2091.0,14135968000.0,11546794000.0,8668691000.0,13689145000.0,6136153600.0
2092.0,13830194000.0,11377433000.0,8270401000.0,13420400000.0,5903362600.0
2093.0,13392600000.0,11139150000.0,7961828000.0,13058912000.0,5638941000.0
2094.0,12989268000.0,10947235000.0,7698391600.0,12643622000.0,5360689000.0
2095.0,12598654000.0,10767838000.0,7458395000.0,13105273000.0,5145512400.0
2096.0,12389509000.0,10496834000.0,7233555000.0,12474556000.0,4976644600.0
2097.0,12084187000.0,10262370000.0,6950447000.0,11951648000.0,4801881600.0
2098.0,11781344000.0,10039884000.0,6817405000.0,11500877000.0,4582419500.0
2099.0,11619411000.0,9812575000.0,6571440000.0,11130169000.0,4445729300.0
2100.0,11319839000.0,9587057000.0,6324958700.0,10800869000.0,4269351000.0
