time,CNRM-CM5,CANESM2,IPSL-CM5A-LR,CESM1-CAM5,CCSM4,NORESM1-M,CSIRO-MK3-6-0,MPI-ESM-LR,GISS-E2-R,GFDL-ESM2G,GFDL-CM3
2011.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0
2012.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0
2013.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0
2014.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0
2015.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0
2016.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0
2017.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0
2018.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0
2019.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0
2020.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0
2021.0,33814718000.0,34574516000.0,33658399000.0,33829018000.0,33625379000.0,33862046000.0,33639643000.0,33798689000.0,33612462000.0,33626524000.0,33716994000.0
2022.0,33647946000.0,33734953000.0,33568416000.0,33706287000.0,33584138000.0,33605507000.0,33695513000.0,33796995000.0,33510386000.0,33574971000.0,33601092000.0
2023.0,33674920000.0,33622448000.0,33579040000.0,33597516000.0,33662614000.0,33707508000.0,35265303000.0,33566060000.0,33447916000.0,33951894000.0,33529428000.0
2024.0,33582643000.0,33813041000.0,33562182000.0,33590860000.0,33578893000.0,33591405000.0,34094471000.0,33665047000.0,33343642000.0,33601053000.0,33427660000.0
2025.0,33562683000.0,33565463000.0,33427243000.0,33668411000.0,33403871000.0,33552622000.0,34013231000.0,33514189000.0,33253704000.0,33545167000.0,33335777000.0
2026.0,33507437000.0,33629903000.0,33617385000.0,33641880000.0,33301213000.0,33473405000.0,33717539000.0,33426643000.0,33147430000.0,33607725000.0,33206893000.0
2027.0,33370534000.0,33451480000.0,33289318000.0,33330100000.0,33205770000.0,33480366000.0,33737357000.0,33367972000.0,33062294000.0,33361992000.0,33094970000.0
2028.0,33269762000.0,33331300000.0,33424306000.0,33170460000.0,33072196000.0,33391575000.0,33546439000.0,33301328000.0,32972718000.0,33215638000.0,32995130000.0
2029.0,33222593000.0,33184942000.0,33795023000.0,33171266000.0,32999537000.0,33320927000.0,33473733000.0,33197570000.0,32880394000.0,33265584000.0,32858634000.0
2030.0,33157896000.0,33251838000.0,33145270000.0,33367660000.0,33037450000.0,33213958000.0,33372707000.0,33111896000.0,32798646000.0,33188522000.0,32679332000.0
2031.0,33654166000.0,33048390000.0,34255960000.0,32949550000.0,32971020000.0,33099260000.0,33312846000.0,33043829000.0,32647072000.0,33032352000.0,32552407000.0
2032.0,33087617000.0,32874678000.0,33673626000.0,32766108000.0,32700432000.0,32968399000.0,33211881000.0,32934437000.0,32714523000.0,33329897000.0,32322396000.0
2033.0,32856764000.0,32719390000.0,33194004000.0,32738605000.0,32587626000.0,32837222000.0,33211177000.0,32800125000.0,32475520000.0,32904540000.0,32097497000.0
2034.0,32757838000.0,32711623000.0,33029693000.0,32571386000.0,32448150000.0,32793475000.0,33199868000.0,32702102000.0,32559682000.0,32818225000.0,31848650000.0
2035.0,32657613000.0,32485925000.0,32790422000.0,32460930000.0,32303040000.0,32638806000.0,32973191000.0,32638634000.0,32363480000.0,32582961000.0,31537056000.0
2036.0,32492260000.0,32313280000.0,32619287000.0,32293714000.0,32173316000.0,32499317000.0,33020160000.0,32519827000.0,32246632000.0,32350556000.0,31215485000.0
2037.0,32378606000.0,32195064000.0,32415732000.0,32038530000.0,32137167000.0,32531223000.0,32803450000.0,32408938000.0,32294062000.0,32141290000.0,30935525000.0
2038.0,32236830000.0,32047913000.0,32452368000.0,31820653000.0,32030657000.0,32260844000.0,32684569000.0,32328903000.0,32063281000.0,31875574000.0,30557825000.0
2039.0,32027044000.0,31857710000.0,33524118000.0,31862493000.0,31897063000.0,32126460000.0,32559704000.0,32188930000.0,32013222000.0,31617140000.0,30218582000.0
2040.0,31875934000.0,31681094000.0,35352990000.0,31861510000.0,32104420000.0,31925783000.0,33363153000.0,32012175000.0,31832766000.0,33302974000.0,29816162000.0
2041.0,31723310000.0,31475935000.0,34624827000.0,31429165000.0,31786336000.0,31792360000.0,32471308000.0,31835865000.0,31695830000.0,31626420000.0,29473170000.0
2042.0,31611089000.0,31262697000.0,33840470000.0,31152214000.0,31558216000.0,31752346000.0,32459448000.0,31630442000.0,31571476000.0,31568030000.0,29064563000.0
2043.0,31391357000.0,31071295000.0,33182536000.0,30841233000.0,31637283000.0,31540525000.0,32237992000.0,32129016000.0,31352150000.0,31071224000.0,28606837000.0
2044.0,31245169000.0,31043967000.0,32684046000.0,30622843000.0,31294435000.0,31392692000.0,32091419000.0,31708959000.0,31135298000.0,30882413000.0,28063519000.0
2045.0,31018291000.0,31113700000.0,32437783000.0,30355170000.0,31186657000.0,31291044000.0,31898417000.0,31399158000.0,30943316000.0,31268389000.0,27725912000.0
2046.0,30915203000.0,30509780000.0,32266635000.0,30059127000.0,31073137000.0,31166368000.0,31916660000.0,31066184000.0,30788640000.0,30808920000.0,27278790000.0
2047.0,30656184000.0,30303430000.0,32401902000.0,29723642000.0,30853605000.0,31004164000.0,32109780000.0,30884540000.0,30769390000.0,30560770000.0,26700655000.0
2048.0,31738830000.0,30014278000.0,32047219000.0,30166671000.0,30621135000.0,30794148000.0,31614228000.0,31054727000.0,30535444000.0,30428297000.0,26205886000.0
2049.0,30775685000.0,29806770000.0,31849190000.0,29693403000.0,30401604000.0,30930921000.0,31370380000.0,30513180000.0,30294354000.0,30061892000.0,25611219000.0
2050.0,30400203000.0,30512675000.0,31840449000.0,29178882000.0,30243850000.0,30505968000.0,31181300000.0,30319983000.0,30061050000.0,29934453000.0,25019738000.0
2051.0,30113552000.0,30407248000.0,31575953000.0,28904233000.0,30615730000.0,30288093000.0,30896443000.0,30138466000.0,29917899000.0,29671174000.0,24561588000.0
2052.0,29995460000.0,29621560000.0,31361532000.0,28816335000.0,30107120000.0,30187119000.0,30670470000.0,29945635000.0,29882403000.0,29407838000.0,24145293000.0
2053.0,29867057000.0,29193767000.0,31192880000.0,29503328000.0,29885325000.0,30232728000.0,30756913000.0,29747106000.0,29809633000.0,29207738000.0,23825754000.0
2054.0,29906504000.0,29015440000.0,30988734000.0,28436220000.0,29674936000.0,30011615000.0,30336438000.0,29552685000.0,29489854000.0,29114386000.0,23227030000.0
2055.0,29583490000.0,28761954000.0,30791105000.0,27992515000.0,29719380000.0,29706520000.0,30156690000.0,29290879000.0,29337897000.0,28883454000.0,22671688000.0
2056.0,29390998000.0,28522674000.0,30601763000.0,27753722000.0,29361994000.0,29757508000.0,30217100000.0,29439382000.0,29103948000.0,28722459000.0,22116563000.0
2057.0,29563490000.0,28412633000.0,31218942000.0,29932872000.0,29426784000.0,29422130000.0,29756744000.0,29071102000.0,28924672000.0,28624079000.0,21657903000.0
2058.0,29126185000.0,28001990000.0,30554060000.0,27553080000.0,29252819000.0,29231524000.0,29553848000.0,28930669000.0,29015740000.0,28559313000.0,21253612000.0
2059.0,29049670000.0,27909216000.0,30292509000.0,27228420000.0,28911086000.0,29018080000.0,29327780000.0,28678900000.0,28933390000.0,28370104000.0,20761674000.0
2060.0,28785998000.0,27570788000.0,30008805000.0,27077157000.0,28994790000.0,28889213000.0,29170450000.0,28572563000.0,28554955000.0,28376025000.0,20271342000.0
2061.0,28597088000.0,27214563000.0,30016954000.0,26793669000.0,28996364000.0,28869081000.0,29053140000.0,28343405000.0,28533912000.0,28286876000.0,19880532000.0
2062.0,28451950000.0,26964498000.0,29712700000.0,26683476000.0,28802697000.0,28535853000.0,29120444000.0,28826114000.0,28369558000.0,27947510000.0,19529351000.0
2063.0,28204984000.0,26607725000.0,29850165000.0,26438360000.0,28720590000.0,28396740000.0,29228866000.0,28476498000.0,28450574000.0,28255576000.0,19153947000.0
2064.0,28084933000.0,26325170000.0,29619240000.0,26137156000.0,28575769000.0,28176069000.0,29760985000.0,29294918000.0,28681628000.0,28339014000.0,18827594000.0
2065.0,28016347000.0,26147780000.0,29654770000.0,25989712000.0,28341055000.0,28024830000.0,29485339000.0,28218348000.0,28182309000.0,27818793000.0,18517793000.0
2066.0,28100180000.0,25910473000.0,29302862000.0,25777013000.0,28168854000.0,27881521000.0,28731032000.0,28018026000.0,28114575000.0,27614020000.0,18122564000.0
2067.0,27783880000.0,25688437000.0,29131995000.0,27762016000.0,29892508000.0,27719672000.0,28511975000.0,27851454000.0,27886397000.0,31043240000.0,17866004000.0
2068.0,27491185000.0,27099963000.0,28957157000.0,25780687000.0,28339554000.0,27526439000.0,28221153000.0,27756216000.0,27726000000.0,28551660000.0,17485937000.0
2069.0,27415798000.0,25432197000.0,28774830000.0,25584830000.0,29336349000.0,27794065000.0,27978875000.0,29198088000.0,27573422000.0,27871924000.0,17142745000.0
2070.0,27460989000.0,25184782000.0,28611512000.0,25369397000.0,28846524000.0,27357813000.0,28199969000.0,27426497000.0,27423388000.0,27602300000.0,16861731000.0
2071.0,27048237000.0,25042299000.0,28405420000.0,25062685000.0,27955716000.0,27153130000.0,28079933000.0,27476349000.0,27551050000.0,27974939000.0,16588775000.0
2072.0,26972353000.0,24835852000.0,28634309000.0,24990110000.0,27721828000.0,27067967000.0,27596080000.0,27923323000.0,27438477000.0,27404910000.0,16221046000.0
2073.0,28986804000.0,24775678000.0,28822415000.0,24670560000.0,28238918000.0,27988361000.0,28299188000.0,27400286000.0,27231410000.0,27752333000.0,16040095000.0
2074.0,28069360000.0,24664371000.0,28326269000.0,24437540000.0,27552535000.0,27217426000.0,27513047000.0,29856354000.0,27124610000.0,27505076000.0,15698397000.0
2075.0,27966407000.0,24424385000.0,27985674000.0,24670376000.0,27702546000.0,26857366000.0,27949922000.0,28098890000.0,27001990000.0,27878373000.0,15403921000.0
2076.0,26914646000.0,24403681000.0,27735847000.0,28649755000.0,27472830000.0,26707927000.0,27462793000.0,27219210000.0,27494515000.0,27255206000.0,15134295000.0
2077.0,27126520000.0,24179495000.0,27777716000.0,24942275000.0,27324797000.0,26543084000.0,27617303000.0,26940107000.0,26837926000.0,27046556000.0,14835694000.0
2078.0,26676953000.0,23938798000.0,27487850000.0,24115223000.0,27171400000.0,26448914000.0,27373468000.0,27262978000.0,27319126000.0,27197362000.0,14816268000.0
2079.0,26520607000.0,23740748000.0,27305820000.0,23919032000.0,27885412000.0,26331613000.0,27081886000.0,27716084000.0,29436880000.0,27259163000.0,14509789000.0
2080.0,26317242000.0,24502231000.0,27131505000.0,23720335000.0,26908598000.0,26143257000.0,26848264000.0,27172580000.0,27045272000.0,26881000000.0,14292328000.0
2081.0,26186086000.0,24059822000.0,26899448000.0,23434047000.0,26731852000.0,26050228000.0,26729998000.0,28098011000.0,26849534000.0,26826631000.0,14032768000.0
2082.0,26101035000.0,23537238000.0,27849982000.0,23269528000.0,27353310000.0,25971270000.0,26601652000.0,28821713000.0,29228218000.0,26702590000.0,13813621000.0
2083.0,25971464000.0,23322700000.0,26752362000.0,23214340000.0,27383697000.0,26116751000.0,26427520000.0,27757455000.0,29008583000.0,27512566000.0,13667790000.0
2084.0,26605880000.0,23143380000.0,29201020000.0,24150490000.0,27165903000.0,25942400000.0,26271400000.0,27331099000.0,28048425000.0,26903792000.0,13467524000.0
2085.0,25850986000.0,23301444000.0,28062310000.0,22979156000.0,26691887000.0,25614684000.0,26173792000.0,26883185000.0,27592970000.0,26922867000.0,13328497000.0
2086.0,25664897000.0,23017611000.0,27071110000.0,22734688000.0,26905710000.0,25480020000.0,25973166000.0,26836060000.0,26954633000.0,26908813000.0,13282061000.0
2087.0,26727533000.0,22711260000.0,26668605000.0,22682257000.0,26428086000.0,25399570000.0,25898445000.0,27894864000.0,26764552000.0,26687066000.0,13176072000.0
2088.0,25556517000.0,22791397000.0,27196735000.0,25372535000.0,26323962000.0,25288827000.0,26801270000.0,30072183000.0,28356477000.0,26883015000.0,12787953000.0
2089.0,25602996000.0,22751076000.0,27110750000.0,22726654000.0,28050833000.0,25189915000.0,25880959000.0,30902309000.0,27700744000.0,26642282000.0,12626437000.0
2090.0,25490446000.0,22290842000.0,26775466000.0,22478893000.0,26448374000.0,25185065000.0,25644007000.0,28048794000.0,26981550000.0,27829348000.0,12427830000.0
2091.0,25212113000.0,24220445000.0,26260713000.0,24321286000.0,26104478000.0,24942678000.0,25483766000.0,28193000000.0,26653135000.0,26853083000.0,12240205000.0
2092.0,25132724000.0,22141028000.0,26218670000.0,27815193000.0,25948035000.0,24852654000.0,25380150000.0,27522910000.0,28537448000.0,27021170000.0,12058768000.0
2093.0,25036284000.0,22665144000.0,26529040000.0,23638190000.0,25955270000.0,24746084000.0,25271398000.0,28487127000.0,27054400000.0,27020200000.0,11938409000.0
2094.0,24985784000.0,21936198000.0,27012640000.0,22599864000.0,26049683000.0,24619782000.0,26198606000.0,27325778000.0,28267293000.0,26722230000.0,11825411000.0
2095.0,24841777000.0,21858687000.0,26470302000.0,25882903000.0,26261619000.0,24594130000.0,25456005000.0,27246008000.0,28569534000.0,26816969000.0,11698678000.0
2096.0,24774430000.0,24589017000.0,25960268000.0,23170314000.0,25892002000.0,24790497000.0,25124327000.0,27275629000.0,28492440000.0,27240616000.0,11540138000.0
2097.0,24826202000.0,21972693000.0,25689639000.0,22584938000.0,26018343000.0,24325325000.0,24874099000.0,27345256000.0,28065580000.0,26689212000.0,11345435000.0
2098.0,24716814000.0,22105730000.0,30220330000.0,22531987000.0,26484818000.0,24510015000.0,24789475000.0,27210449000.0,27426540000.0,26729710000.0,11238250000.0
2099.0,25330995000.0,21623296000.0,26567220000.0,22294550000.0,25806260000.0,24139426000.0,24641014000.0,28234416000.0,27426662000.0,26681709000.0,11129661000.0
2100.0,26397389000.0,22545789000.0,26570568000.0,21924465000.0,25550868000.0,24282044000.0,24513477000.0,27165278000.0,27446581000.0,26551788000.0,10980051000.0
