time,NORESM1-M,CCSM4,IPSL-CM5A-LR,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR
2054.0,27576168000.0,28037941000.0,23586773000.0,23467432000.0,29383326000.0,26366431000.0,21196524000.0,28143888000.0,26570727000.0,27734776000.0
2055.0,27305790000.0,27699820000.0,23072377000.0,22901613000.0,28993250000.0,25867586000.0,20577880000.0,27643834000.0,26161500000.0,28024087000.0
2056.0,27192710000.0,27371637000.0,22510965000.0,22484420000.0,28661092000.0,25385060000.0,20012255000.0,27248320000.0,25679356000.0,27072641000.0
2057.0,26653719000.0,27019784000.0,22119096000.0,21927090000.0,28434719000.0,25583161000.0,19401120000.0,26799397000.0,25238446000.0,26548140000.0
2058.0,26177597000.0,26670225000.0,21508413000.0,21331237000.0,28029182000.0,24701426000.0,18752963000.0,26358387000.0,24895185000.0,26070143000.0
2059.0,25791582000.0,26562100000.0,20958792000.0,20903369000.0,27647705000.0,24472623000.0,18090482000.0,25918333000.0,24491815000.0,25539588000.0
2060.0,25469743000.0,26119705000.0,20428098000.0,20312770000.0,27441412000.0,23958231000.0,17482072000.0,25516960000.0,24096238000.0,25162123000.0
2061.0,25136040000.0,25814317000.0,20010832000.0,19678794000.0,27369994000.0,23702850000.0,16928596000.0,25253966000.0,23764566000.0,24616245000.0
2062.0,24950940000.0,25429387000.0,19203475000.0,19137706000.0,26919148000.0,23323492000.0,16270845000.0,24920269000.0,23347116000.0,24039543000.0
2063.0,24567239000.0,25085147000.0,18656664000.0,18590577000.0,26694382000.0,22815508000.0,15517788000.0,24676700000.0,23034696000.0,23658435000.0
2064.0,24124076000.0,24793747000.0,18173460000.0,18250756000.0,26280354000.0,22307627000.0,14798479000.0,24426084000.0,22621043000.0,23056830000.0
2065.0,23763720000.0,24458846000.0,17442195000.0,17731811000.0,25909250000.0,21824390000.0,14045243000.0,24082774000.0,22295280000.0,22637638000.0
2066.0,23578272000.0,24151007000.0,16920047000.0,17102949000.0,25529129000.0,21442816000.0,13329222000.0,23750787000.0,21983212000.0,22160343000.0
2067.0,23116890000.0,23752096000.0,16347206000.0,16531525000.0,25233680000.0,21083281000.0,12723134000.0,23557691000.0,21697874000.0,21580296000.0
2068.0,22777887000.0,23379685000.0,15792667000.0,16099730000.0,24873062000.0,20691026000.0,12163222000.0,23206926000.0,21240887000.0,21112869000.0
2069.0,22322127000.0,22911074000.0,15385039000.0,15739956000.0,24602874000.0,20225303000.0,11600858000.0,22866698000.0,20802259000.0,20706406000.0
2070.0,21862242000.0,22419612000.0,14852877000.0,15277008000.0,24438368000.0,19807529000.0,11031675000.0,22602455000.0,20430137000.0,20299640000.0
2071.0,21443764000.0,22025507000.0,14267362000.0,14768210000.0,23925887000.0,19409201000.0,10561200000.0,22352583000.0,20130636000.0,19711687000.0
2072.0,21027213000.0,21685213000.0,13802951000.0,14688538000.0,23398463000.0,18945630000.0,9911264000.0,22135022000.0,19878183000.0,19283560000.0
2073.0,20680352000.0,21265490000.0,13434661000.0,14318775000.0,23035335000.0,18568878000.0,9297972000.0,22157353000.0,19401583000.0,18983608000.0
2074.0,20279069000.0,20894097000.0,12973234000.0,13826783000.0,22643888000.0,18062264000.0,8842445000.0,21715503000.0,19004174000.0,18533026000.0
2075.0,19836280000.0,20554100000.0,12593295000.0,13431911000.0,22437253000.0,17623458000.0,8342562000.0,21321185000.0,18634455000.0,18028366000.0
2076.0,19423414000.0,20178310000.0,12205535000.0,13136518000.0,22070161000.0,16993875000.0,7857044500.0,21010438000.0,18309340000.0,17472666000.0
2077.0,18985760000.0,19731677000.0,11809059000.0,12780025000.0,21685203000.0,16638185000.0,7563500000.0,20662581000.0,17963162000.0,17089609000.0
2078.0,18596540000.0,19274883000.0,11378010000.0,12375484000.0,21437700000.0,16161312000.0,7243601400.0,20290450000.0,17642260000.0,16674151000.0
2079.0,18147131000.0,18836498000.0,11184573000.0,11931523000.0,21099573000.0,15688712000.0,6802040300.0,19876465000.0,17305383000.0,16360042000.0
2080.0,17707450000.0,18590794000.0,10829616000.0,11924583000.0,20850848000.0,15348718000.0,6452298000.0,19630404000.0,16986087000.0,15851317000.0
2081.0,17461637000.0,18049313000.0,10385881000.0,11444153000.0,20502139000.0,14977233000.0,6046041600.0,19346913000.0,16772078000.0,15301197000.0
2082.0,17182083000.0,17632915000.0,9937308000.0,11165877000.0,20539083000.0,14612484000.0,5732882400.0,18992374000.0,16437654000.0,14828078000.0
2083.0,16844042000.0,17327310000.0,9551209000.0,10862956000.0,19798581000.0,14203922000.0,5387389400.0,18650530000.0,16078464000.0,14394062000.0
2084.0,16396317000.0,16948045000.0,9327801000.0,10564882000.0,19630400000.0,13923385000.0,5023466000.0,18277407000.0,15777576000.0,14043922000.0
2085.0,16039088000.0,16509115000.0,9065033000.0,10245898000.0,19293346000.0,13792203000.0,4780280300.0,17821770000.0,15512205000.0,14160176000.0
2086.0,15663438000.0,16137037000.0,8641112000.0,9985932000.0,18926344000.0,13376145000.0,4503955500.0,17424017000.0,15201818000.0,13428181000.0
2087.0,15270541000.0,15810150000.0,8424030700.0,9684675000.0,18441925000.0,13017542000.0,4248616700.0,17040112000.0,14877507000.0,13083153000.0
2088.0,14983530000.0,15500550000.0,8128983600.0,9422896000.0,18126911000.0,12762057000.0,3981232000.0,16626284000.0,14620689000.0,12732825000.0
2089.0,14633626000.0,15203562000.0,7746257000.0,9095305000.0,17797011000.0,12346063000.0,3802917000.0,16320529000.0,14385942000.0,12344654000.0
2090.0,14292511000.0,14817495000.0,7544659500.0,8841594000.0,17480196000.0,12024570000.0,3575557400.0,16038240000.0,14235948000.0,11892064000.0
2091.0,13900855000.0,14494134000.0,7406293500.0,8662668000.0,17171026000.0,11698278000.0,3295358700.0,15766620000.0,13971910000.0,11555778000.0
2092.0,13581741000.0,14140235000.0,7149743000.0,8287981000.0,16851432000.0,11375592000.0,3149516800.0,15428255000.0,13771698000.0,11240106000.0
2093.0,13224068000.0,13827975000.0,6879990000.0,8053035500.0,16539661000.0,11269982000.0,2828890000.0,15034428000.0,13518298000.0,10953833000.0
2094.0,12879916000.0,13437918000.0,6548447700.0,7888450000.0,16218874000.0,10913781000.0,2689157600.0,14572933000.0,13240882000.0,10656081000.0
2095.0,12579270000.0,13049557000.0,6247704600.0,7634651600.0,15907536000.0,10579665000.0,2528557600.0,14247767000.0,12948300000.0,10326987000.0
2096.0,12327077000.0,12766601000.0,6067039000.0,7520564700.0,15604196000.0,10366511000.0,2367134200.0,13932257000.0,12707418000.0,10010301000.0
2097.0,12066818000.0,12518541000.0,5878051300.0,7267654000.0,15371333000.0,10164613000.0,2238571800.0,13695146000.0,12463669000.0,9827712000.0
2098.0,11787799000.0,12212037000.0,5763453400.0,7101628000.0,15026801000.0,10006308000.0,2068560900.0,13277299000.0,12315034000.0,9616686000.0
2099.0,11544272000.0,11932574000.0,5503178000.0,6899626500.0,14731162000.0,9751579000.0,1886109600.0,13007752000.0,12061822000.0,9326853000.0
2100.0,11228358000.0,11733422000.0,5324976600.0,6761919000.0,14459022000.0,9565059000.0,1675839200.0,12719786000.0,11866264000.0,9076403000.0
