time,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G,NORESM1-M
2047.0,1006180350.0,1124848600.0,751517760.0,1163017600.0,1090581200.0,1287193900.0,1187263000.0
2048.0,943535500.0,1094033000.0,722052400.0,1127347300.0,1080316000.0,1249334900.0,1168258000.0
2049.0,920821440.0,1046882200.0,692623300.0,1090827300.0,1065167600.0,1228417400.0,1144709400.0
2050.0,876582400.0,1055234400.0,679487700.0,1046101440.0,1041096770.0,1219942800.0,1154898200.0
2051.0,854776800.0,1296745100.0,672576060.0,1017920830.0,1020679230.0,1194881300.0,1111781400.0
2052.0,823317700.0,1023486340.0,636486500.0,992300700.0,1030284600.0,1173556400.0,1068653800.0
2053.0,793128600.0,973250240.0,648407550.0,1029167360.0,1018181440.0,1141852200.0,1131848000.0
2054.0,751291700.0,949390700.0,581349300.0,1084195100.0,975342400.0,1115608000.0,1168440000.0
2055.0,732789900.0,934779800.0,557653060.0,953054140.0,958428600.0,1181120000.0,1031410600.0
2056.0,701891900.0,901708860.0,545250500.0,918953800.0,932686700.0,1084748300.0,999951800.0
2057.0,668644350.0,874775500.0,528892220.0,892847200.0,905545340.0,1055431940.0,990404740.0
2058.0,656354560.0,837464000.0,505799940.0,867780350.0,905642430.0,1041164600.0,951169200.0
2059.0,631241340.0,844183940.0,488417950.0,844455940.0,883881860.0,1041859900.0,1389566500.0
2060.0,623545100.0,814197600.0,481821280.0,822715000.0,876128960.0,1005155300.0,922390700.0
2061.0,605227650.0,787390200.0,451549800.0,787379260.0,868604600.0,1089143800.0,892210700.0
2062.0,617569100.0,762564740.0,494595400.0,780410900.0,856886340.0,986355650.0,877016060.0
2063.0,563936800.0,742060000.0,432829760.0,759911700.0,843021100.0,974488400.0,939425600.0
2064.0,550774400.0,728771300.0,413236860.0,937673000.0,811944700.0,1050107800.0,885904900.0
2065.0,530334880.0,688285400.0,397275460.0,750333250.0,804566140.0,972754370.0,860822800.0
2066.0,510630080.0,674014300.0,419824770.0,715004100.0,905269300.0,932944450.0,828205200.0
2067.0,500027170.0,653243460.0,373701820.0,693825600.0,833802100.0,928505540.0,803648640.0
2068.0,486539420.0,627045600.0,355939000.0,706164700.0,859149760.0,913590660.0,811285600.0
2069.0,469927400.0,598021900.0,343610880.0,667944300.0,787211840.0,901091700.0,778697700.0
2070.0,450392500.0,574133100.0,326619620.0,639524350.0,764196400.0,891248900.0,747251800.0
2071.0,436459400.0,566437400.0,309280100.0,637341200.0,808910100.0,872717300.0,984055230.0
2072.0,420891680.0,534249150.0,297799200.0,621308740.0,872589760.0,864315500.0,721986800.0
2073.0,411766400.0,531297820.0,279323040.0,606025900.0,763362560.0,852463200.0,696833900.0
2074.0,392055940.0,514892900.0,266379520.0,593996540.0,741034800.0,839319740.0,665579650.0
2075.0,375369470.0,653661060.0,246361760.0,584336450.0,729469700.0,835156100.0,647043650.0
2076.0,361581630.0,492033340.0,234465950.0,552949600.0,718326660.0,810031000.0,627107400.0
2077.0,354353400.0,508883870.0,210170620.0,525185760.0,755411140.0,795899650.0,781500800.0
2078.0,348348350.0,470492800.0,202007250.0,513205120.0,699930000.0,787590400.0,603535040.0
2079.0,338416260.0,464711420.0,191278480.0,493944500.0,681428900.0,762437200.0,569291300.0
2080.0,328017120.0,451429570.0,181206800.0,481787900.0,670428860.0,734598460.0,553165500.0
2081.0,306982600.0,452789950.0,164967630.0,465052700.0,648453060.0,715726200.0,523927100.0
2082.0,292929660.0,433621700.0,150843420.0,475285440.0,652705300.0,682865300.0,510466340.0
2083.0,280987330.0,427850200.0,150134800.0,460187170.0,663998400.0,657309100.0,494372930.0
2084.0,268309740.0,419708130.0,132510320.0,447113570.0,633911700.0,670687740.0,505392960.0
2085.0,249639580.0,398541820.0,127180960.0,498432900.0,628377340.0,634631200.0,463445950.0
2086.0,217683440.0,389951140.0,124029144.0,438114140.0,622441600.0,604252600.0,453155970.0
2087.0,201342900.0,401856130.0,113020800.0,469377200.0,602816100.0,595700700.0,424530240.0
2088.0,196018200.0,386295000.0,108996010.0,424746020.0,585899800.0,544385100.0,416937400.0
2089.0,186933980.0,553164100.0,107497700.0,406640000.0,576648770.0,528294140.0,397563600.0
2090.0,178879020.0,364593340.0,119059640.0,385466200.0,564512830.0,510474050.0,384510080.0
2091.0,165672750.0,353866020.0,99182216.0,366593920.0,549946100.0,491925250.0,359395520.0
2092.0,160999040.0,338968540.0,86181660.0,355866900.0,544409860.0,476372670.0,347483500.0
2093.0,150007870.0,329927500.0,85043800.0,350493280.0,525084700.0,477550000.0,334690140.0
2094.0,141331280.0,326053400.0,81765570.0,362497950.0,512350200.0,468673630.0,319231970.0
2095.0,134309400.0,323507970.0,72736380.0,335092500.0,500038180.0,453953760.0,315312000.0
2096.0,124723480.0,310252160.0,69143464.0,330014530.0,487694600.0,439843360.0,307690780.0
2097.0,109824250.0,300374340.0,68742120.0,316763620.0,510159550.0,458956130.0,303039780.0
2098.0,102639096.0,289638200.0,73397790.0,305762880.0,466084640.0,532670460.0,282519360.0
2099.0,89442940.0,280963650.0,57816096.0,305929700.0,459125440.0,413269400.0,268459840.0
2100.0,82079350.0,274997500.0,57146564.0,295218460.0,449586020.0,399975100.0,252635900.0
