time,CCSM4,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CNRM-CM5,CESM1-CAM5
2026.0,1727836700.0,1766640000.0,1756951900.0,1772456400.0,1786281100.0,1754841700.0,1818328000.0,1815303600.0,1760070500.0,1822413700.0,1762754400.0
2027.0,2076530300.0,1730581200.0,1726159200.0,1712713600.0,1766830200.0,1723383200.0,1777445900.0,1768556400.0,1720635800.0,1789043200.0,1715997600.0
2028.0,1755627500.0,1684062800.0,1709554700.0,1654245800.0,1730122200.0,1682100600.0,1750174600.0,1796446100.0,1701591000.0,1754937100.0,1654269800.0
2029.0,1699952600.0,1650306700.0,1637932500.0,1613978200.0,1698998700.0,1712211700.0,1704683300.0,1686482000.0,1696801400.0,1714940700.0,1605122700.0
2030.0,1643624700.0,1602785900.0,1555347500.0,1579382500.0,1665481500.0,1634559100.0,1676453800.0,1637113700.0,1663118000.0,1684700000.0,1566129200.0
2031.0,1607880300.0,1566688100.0,1518151300.0,1513837000.0,1910794400.0,1596675300.0,1648614000.0,1590991100.0,1616693800.0,1659437700.0,1583603600.0
2032.0,1594034600.0,1524213500.0,1457284600.0,1481694800.0,1692260000.0,1517270900.0,1654055800.0,1544698200.0,1568692200.0,1672365700.0,1508060400.0
2033.0,1547612400.0,1492460300.0,1401891600.0,1434622800.0,1647639000.0,1463215700.0,1569426800.0,1508319700.0,1621019800.0,1574726300.0,1479095900.0
2034.0,1491352300.0,1529370500.0,1353449900.0,1377517000.0,1973896100.0,1437109900.0,1534647600.0,1460298100.0,1482701300.0,1536694700.0,1497038700.0
2035.0,1439093200.0,1434009600.0,1498018700.0,1327096300.0,1692670800.0,1393176800.0,1499631400.0,1420237800.0,1446633900.0,1532098200.0,1421648400.0
2036.0,1401561900.0,1412475100.0,1378225200.0,1297923700.0,1553660800.0,1346100900.0,1648742900.0,1389279000.0,1403516900.0,1474778400.0,1370138400.0
2037.0,1357473800.0,1355662300.0,1291376800.0,1231521000.0,1470520300.0,1285895300.0,1599778800.0,1453724200.0,1373501600.0,1449043700.0,1349489200.0
2038.0,1313176600.0,1402679600.0,1213700600.0,1192969900.0,1407859700.0,1219344900.0,1483727100.0,1332955900.0,1371356900.0,1425127200.0,1305956600.0
2039.0,1305596900.0,1356825500.0,1103518600.0,1164569600.0,1387166300.0,1179344900.0,1464037900.0,1296696400.0,1389851500.0,1383009900.0,1265443000.0
2040.0,1267970300.0,1268687900.0,1051555300.0,1146049900.0,1340789400.0,1150750600.0,1467410300.0,1540679600.0,1299193500.0,1666633600.0,1232529300.0
2041.0,1237831000.0,1227138700.0,1044457500.0,1199830400.0,1314625000.0,1072891140.0,1400679700.0,1235218600.0,1238546300.0,1351156000.0,1179304300.0
2042.0,1206310100.0,1187530200.0,992720400.0,1081089200.0,1278439000.0,1053200400.0,1360413700.0,1662643500.0,1224431200.0,1374459000.0,1179036000.0
2043.0,1177569300.0,1205281800.0,950295040.0,1143871100.0,1238132400.0,1041415400.0,1334094300.0,1253390000.0,1189720700.0,1286132200.0,1145733600.0
2044.0,1167973100.0,1173712900.0,912902900.0,1037201860.0,1206196100.0,1006656800.0,1347544200.0,1204868000.0,1150601200.0,1258223700.0,1095861800.0
2045.0,1138395600.0,1140564700.0,880646300.0,999207100.0,1160529500.0,964036900.0,1312790300.0,1169433600.0,1099748500.0,1266452200.0,1054991900.0
2046.0,1142433300.0,1116666000.0,872278140.0,981139100.0,1132347900.0,922919800.0,1278632200.0,1133774800.0,1075566200.0,1221630600.0,1037977300.0
2047.0,1118155900.0,1091982300.0,826845760.0,952264400.0,1093528400.0,893840500.0,1253718100.0,1103015300.0,1120710100.0,1185959200.0,1009490900.0
2048.0,1090673200.0,1161255000.0,797899800.0,934836160.0,1046612350.0,854464060.0,1240345000.0,1123476000.0,1035982100.0,1167906400.0,989212350.0
2049.0,1038778900.0,1194977300.0,772621100.0,1112163000.0,1024593000.0,839059140.0,1203651600.0,1077621800.0,1023284160.0,1151478300.0,979020350.0
2050.0,1021376100.0,1096921100.0,737256260.0,882684200.0,1008534500.0,809794900.0,1178518400.0,1041506560.0,995714700.0,1126157600.0,951530430.0
2051.0,994728960.0,1050479200.0,700200700.0,851618700.0,978720060.0,791317900.0,1164042800.0,1022732000.0,982765400.0,1102390100.0,918276740.0
2052.0,1008291800.0,1032330560.0,667669250.0,889149630.0,963079100.0,761460350.0,1220437500.0,1020256060.0,1209497000.0,1207392400.0,909906240.0
2053.0,976569340.0,1008846000.0,634763800.0,855394000.0,934879940.0,761212860.0,1493661800.0,975584000.0,1001397500.0,1069121500.0,878588700.0
2054.0,953274560.0,1004464640.0,609796700.0,881682500.0,921988400.0,927255550.0,1158603000.0,941676100.0,941102340.0,1060121660.0,862374850.0
2055.0,933856400.0,982282240.0,611127940.0,836206300.0,888706900.0,726874900.0,1107207800.0,930549250.0,1038503550.0,1023818200.0,836343360.0
2056.0,915626050.0,1490104200.0,602693300.0,790840400.0,871785600.0,697859840.0,1111653500.0,913385600.0,907629600.0,1236762200.0,827356740.0
2057.0,904377100.0,1175678200.0,574942500.0,769528060.0,841705600.0,688266500.0,1130250100.0,895340860.0,900677800.0,1016936960.0,791902300.0
2058.0,898005500.0,993670100.0,550433000.0,757217150.0,812328260.0,657813250.0,1152290400.0,881040400.0,872153600.0,986404100.0,766390200.0
2059.0,877479300.0,1013101200.0,538210050.0,734887700.0,812651460.0,927906370.0,1093891500.0,856350460.0,847456200.0,1022486900.0,757739970.0
2060.0,874939140.0,1076111700.0,517200600.0,761390600.0,799536640.0,686994750.0,1159043500.0,1188799400.0,838240960.0,963213760.0,739615550.0
2061.0,846054660.0,1424051200.0,502218600.0,701114600.0,777185600.0,632131500.0,1194453400.0,838020100.0,1023241150.0,938642000.0,728106560.0
2062.0,834200960.0,1228526300.0,493609280.0,687505200.0,816964400.0,609944060.0,1067958100.0,824983200.0,828711740.0,917944600.0,710494850.0
2063.0,835744700.0,1096936700.0,501513250.0,660355100.0,877160450.0,594063500.0,1084930700.0,877722430.0,816878460.0,934156900.0,689465500.0
2064.0,817114900.0,1021140300.0,455830880.0,651976200.0,750996860.0,686486660.0,1049283840.0,790098600.0,792323260.0,917123840.0,661728000.0
2065.0,800169700.0,987873340.0,443614340.0,659579100.0,738007300.0,625107500.0,1041069500.0,773365100.0,789557440.0,901711200.0,648749950.0
2066.0,773659800.0,1302515700.0,424259780.0,743847000.0,718014100.0,599372100.0,1349368800.0,766096260.0,957092200.0,879052800.0,679823200.0
2067.0,787644900.0,964227400.0,435071900.0,638876400.0,755453060.0,596948860.0,1217169500.0,742660800.0,895557570.0,860699100.0,665567900.0
2068.0,760178800.0,933135740.0,414997630.0,624747000.0,869116160.0,616339140.0,1258752900.0,898919800.0,782742340.0,858631900.0,616071900.0
2069.0,740521600.0,1069040200.0,401539100.0,633559040.0,807014900.0,559240060.0,1084110300.0,718563300.0,760665800.0,846821570.0,609278200.0
2070.0,724421600.0,980424500.0,391119230.0,621332200.0,725134000.0,547442500.0,1223881000.0,721446850.0,754458700.0,847648500.0,594361660.0
2071.0,725187100.0,1017781950.0,383678100.0,605459400.0,697703400.0,853215040.0,1045441000.0,904925500.0,737805760.0,956335740.0,612848260.0
2072.0,1030320830.0,1007868300.0,373855170.0,771958400.0,684925440.0,621339400.0,1030353700.0,1017195300.0,724263940.0,827612740.0,611397700.0
2073.0,711760830.0,939016450.0,360596380.0,602231700.0,729969150.0,590034100.0,1282700300.0,803470100.0,713083100.0,832379100.0,591343500.0
2074.0,693058200.0,928874400.0,363434100.0,594910140.0,676449540.0,723782500.0,1070626750.0,718212860.0,700076000.0,834226940.0,705919940.0
2075.0,755211650.0,949728800.0,338521380.0,598518500.0,666223360.0,619036000.0,1109047300.0,699151700.0,687875900.0,804189400.0,663606900.0
2076.0,689392450.0,1000000300.0,328205630.0,571018000.0,725022340.0,696433400.0,1203814900.0,683620540.0,674359400.0,780729340.0,606302100.0
2077.0,668576100.0,958157300.0,326500830.0,564795900.0,634417000.0,607911740.0,1036009800.0,665475200.0,665647550.0,832335300.0,568089150.0
2078.0,735569300.0,913370400.0,388112060.0,562433200.0,627285000.0,568855500.0,1049224900.0,665970370.0,705323600.0,756589700.0,568464800.0
2079.0,659457000.0,920730700.0,313040420.0,557680000.0,615455300.0,550512300.0,1030331500.0,645817860.0,691297340.0,746770600.0,619648600.0
2080.0,676842400.0,896649300.0,310086530.0,551706500.0,598866500.0,552148500.0,1015606140.0,631874240.0,750540800.0,730100600.0,562515200.0
2081.0,647745300.0,1032578050.0,379301600.0,557935100.0,591433540.0,544568960.0,1036307260.0,656441100.0,665580500.0,731611400.0,540482800.0
2082.0,690871360.0,991832500.0,315969800.0,550721900.0,643226800.0,549022300.0,1040497600.0,612218700.0,657439600.0,726202500.0,531737180.0
2083.0,688911500.0,938040100.0,299261630.0,559990200.0,586688300.0,560376200.0,1570316400.0,869970100.0,1063637900.0,955079500.0,531048420.0
2084.0,630245200.0,897857400.0,447659260.0,566641540.0,581058300.0,539975600.0,1067874600.0,685986370.0,945083800.0,744155300.0,591249000.0
2085.0,638654100.0,889715100.0,396629300.0,569653800.0,571459300.0,533158600.0,1042513500.0,603524800.0,798315900.0,764275600.0,530430300.0
2086.0,1138240500.0,1101031300.0,302554880.0,540285400.0,570885950.0,719823700.0,1014383300.0,674452100.0,676179900.0,730997760.0,522439230.0
2087.0,742770240.0,916895700.0,291865380.0,543370300.0,564210940.0,532137760.0,1012457400.0,601383300.0,667283200.0,788893000.0,515278460.0
2088.0,938330600.0,936040200.0,280845150.0,538854500.0,555590600.0,520735100.0,1010798100.0,593065500.0,813586600.0,730208960.0,623778500.0
2089.0,683187200.0,931663000.0,278824200.0,591406400.0,553640640.0,517437500.0,1004911600.0,686351360.0,645866560.0,863165100.0,514928700.0
2090.0,682881000.0,883503100.0,274775940.0,687364500.0,542952300.0,511336540.0,1045843100.0,634980740.0,748306300.0,765595650.0,591533700.0
2091.0,857612740.0,873167800.0,275262820.0,656323600.0,536777920.0,506239520.0,1566085200.0,623677440.0,658683900.0,709112200.0,509344960.0
2092.0,640117700.0,868628900.0,260932200.0,680402050.0,531806940.0,505059460.0,1420309500.0,604028900.0,635150100.0,767750900.0,516916350.0
2093.0,641936300.0,904648700.0,271541250.0,569210200.0,534563780.0,669481660.0,1134330600.0,893063550.0,693682240.0,759095100.0,511320350.0
2094.0,618260700.0,876440500.0,264574130.0,545668540.0,525718050.0,540675600.0,1058474100.0,806562000.0,1416298100.0,767457500.0,650670140.0
2095.0,1150875800.0,871577800.0,320990980.0,704547260.0,519746850.0,514864740.0,1126754600.0,662141600.0,756076860.0,702921340.0,534318800.0
2096.0,808516200.0,1120537000.0,271537760.0,619873900.0,512719460.0,529648740.0,1094561300.0,603189900.0,1396759400.0,699783200.0,513136600.0
2097.0,959940030.0,1012885200.0,311768500.0,559054100.0,514047400.0,499379360.0,1085276400.0,935700160.0,695707140.0,707350340.0,500103260.0
2098.0,752684200.0,997662800.0,255985660.0,637603700.0,807363260.0,495589570.0,1072354300.0,681727040.0,722567200.0,695520900.0,498917120.0
2099.0,788494850.0,900788800.0,254593390.0,569523260.0,582537600.0,495814980.0,1319601500.0,640869200.0,706138240.0,691090700.0,618391040.0
2100.0,685308740.0,914791900.0,343706430.0,556022500.0,503873280.0,502333660.0,1214544600.0,610445800.0,673725300.0,696197800.0,557446800.0
