time,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL,CNRM-ESM2-1,MRI-ESM2-0
2047.0,706865600.0,819650300.0,543496700.0,809301400.0,907829060.0
2048.0,687209340.0,791699260.0,525751940.0,808765760.0,882863170.0
2049.0,676726500.0,775378800.0,514130080.0,808641000.0,856296000.0
2050.0,663103550.0,847355840.0,503957660.0,785818600.0,847739000.0
2051.0,649187800.0,798375360.0,481390900.0,780080000.0,899743800.0
2052.0,629110900.0,741244200.0,470365920.0,799249150.0,835635000.0
2053.0,605484200.0,717338560.0,457702600.0,749738600.0,815625660.0
2054.0,585034240.0,696578050.0,439484480.0,733837760.0,808469300.0
2055.0,591026800.0,672500700.0,425515100.0,715676100.0,797438460.0
2056.0,566936200.0,653021000.0,409602980.0,716626370.0,783862140.0
2057.0,551518200.0,646864600.0,400937380.0,704198200.0,778703900.0
2058.0,542401100.0,659130050.0,385858980.0,692212900.0,760964100.0
2059.0,528563200.0,605215200.0,376952640.0,684616300.0,750270660.0
2060.0,516093820.0,584685900.0,364250600.0,658877400.0,741254000.0
2061.0,505014270.0,563271300.0,355850940.0,640003600.0,720532160.0
2062.0,493778880.0,542318900.0,341045540.0,628168960.0,702801600.0
2063.0,482886880.0,527588670.0,327089200.0,617583740.0,681250300.0
2064.0,479211100.0,519204800.0,317254300.0,597648800.0,668887550.0
2065.0,476549020.0,511214560.0,309168030.0,593371140.0,688320000.0
2066.0,465486460.0,496874560.0,302492740.0,571435600.0,634647740.0
2067.0,456072580.0,485244160.0,296671580.0,558534300.0,615774800.0
2068.0,446855200.0,475971620.0,284897570.0,545424200.0,606658370.0
2069.0,440174880.0,465588350.0,279558720.0,535719970.0,582910660.0
2070.0,436205470.0,453746180.0,273128130.0,533092740.0,572829500.0
2071.0,430374270.0,442458000.0,268824060.0,513304450.0,574963260.0
2072.0,422839970.0,436197980.0,263232780.0,501450530.0,560322370.0
2073.0,413964320.0,436244580.0,259674140.0,529001400.0,583537150.0
2074.0,406410720.0,425608580.0,281049800.0,507031230.0,550864300.0
2075.0,402426400.0,414082500.0,299278400.0,547179460.0,543539800.0
2076.0,397657500.0,399502430.0,262547970.0,529417820.0,545657600.0
2077.0,398415140.0,422308960.0,254804600.0,493524930.0,599518900.0
2078.0,387204500.0,405569540.0,248716220.0,571260300.0,546937100.0
2079.0,384612830.0,400744300.0,240053090.0,519126000.0,536974400.0
2080.0,386279600.0,410838080.0,236451000.0,480077250.0,532660770.0
2081.0,388127970.0,386772740.0,234213600.0,475025150.0,529148500.0
2082.0,383409600.0,524483360.0,229525950.0,462790600.0,651240640.0
2083.0,371100350.0,464581380.0,227026670.0,457309860.0,529722460.0
2084.0,369261540.0,410986940.0,226163970.0,453281820.0,520078270.0
2085.0,365524260.0,384904200.0,224748340.0,452186200.0,523782720.0
2086.0,364824770.0,383017280.0,228020480.0,447873120.0,518060960.0
2087.0,358881500.0,388766460.0,233409650.0,444078050.0,512347780.0
2088.0,355701600.0,378290270.0,221862400.0,446775360.0,508983940.0
2089.0,377819970.0,379070180.0,337386200.0,439787780.0,505161250.0
2090.0,356432130.0,379751680.0,272757400.0,438562660.0,499414660.0
2091.0,350666900.0,386882240.0,274749920.0,436098700.0,497912900.0
2092.0,350258140.0,455680100.0,292116700.0,427329400.0,495779550.0
2093.0,348188500.0,423324160.0,262896660.0,426925400.0,495856670.0
2094.0,346772740.0,397092700.0,256689580.0,532603360.0,490069300.0
2095.0,343487600.0,475054430.0,244138220.0,478729950.0,487775200.0
2096.0,343217900.0,387634200.0,371399000.0,437774240.0,485622300.0
2097.0,345765500.0,450203800.0,278217630.0,425204900.0,503165730.0
2098.0,340785470.0,394938300.0,258908110.0,423770020.0,482105500.0
2099.0,344021920.0,535056480.0,249939940.0,421396200.0,477723200.0
2100.0,336255900.0,451239970.0,253717460.0,417420300.0,477487650.0
