time,NORESM1-M,CESM1-CAM5,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR
2088.0,16089955000.0,14707963000.0,28070973000.0,21325187000.0,24607832000.0,28522062000.0,7761406500.0,12523518000.0
2089.0,15856071000.0,14436441000.0,27383546000.0,20929200000.0,24021903000.0,28091572000.0,7521882000.0,12384140000.0
2090.0,15361795000.0,13941347000.0,26961465000.0,20190786000.0,23386820000.0,27376871000.0,7400717300.0,11999618000.0
2091.0,14963259000.0,13433841000.0,26279150000.0,19582790000.0,22887391000.0,27096103000.0,7111510500.0,11658570000.0
2092.0,14446707000.0,12959924000.0,25090853000.0,19297212000.0,22479135000.0,26673697000.0,6952249300.0,11188084000.0
2093.0,14157798000.0,12491452000.0,24246921000.0,18832103000.0,21893510000.0,26214429000.0,6768511000.0,10908588000.0
2094.0,13776188000.0,12241229000.0,24056290000.0,18432967000.0,21371742000.0,25606775000.0,6579462700.0,10743882000.0
2095.0,13329452000.0,11868067000.0,23870153000.0,18168760000.0,20607345000.0,25186212000.0,6421518000.0,10451756000.0
2096.0,12914217000.0,11428072000.0,23404075000.0,17954478000.0,20084842000.0,24996390000.0,6252744000.0,10201756000.0
2097.0,12557959000.0,11190470000.0,23054746000.0,17525965000.0,19334818000.0,24372349000.0,6136869000.0,9996655000.0
2098.0,12167001000.0,10977739000.0,22404024000.0,17266285000.0,18553483000.0,24030419000.0,5994408000.0,9740171000.0
2099.0,11835514000.0,10754583000.0,21977192000.0,16836758000.0,17964644000.0,23921347000.0,5905398000.0,9456395000.0
2100.0,11487309000.0,10467467000.0,21205574000.0,16424898000.0,17463822000.0,23669110000.0,5793474600.0,9286954000.0
