time,IPSL-CM6A-LR,ACCESS-ESM1-5,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,GFDL-ESM4,CESM2,EC-EARTH3,FGOALS-F3-L,BCC-CSM2-MR,CANESM5,MPI-ESM1-2-HR,ACCESS-CM2,INM-CM4-8,INM-CM5-0,NORESM2-MM
2042.0,7123430300000.0,7248123300000.0,7327787000000.0,7380295000000.0,6944254300000.0,7010795000000.0,7359741600000.0,7126885300000.0,6755985700000.0,7304965500000.0,7295004000000.0,6736982000000.0,7341555600000.0,7188195000000.0,7212143500000.0,7229451000000.0,7160618500000.0
2043.0,7075692000000.0,7210092500000.0,7283947000000.0,7339983000000.0,6895925000000.0,6950349700000.0,7314440000000.0,7043782500000.0,6664039700000.0,7263707700000.0,7241590600000.0,6667565500000.0,7301845500000.0,7135253000000.0,7169858600000.0,7171887000000.0,7080835500000.0
2044.0,7018758000000.0,7149865000000.0,7241868500000.0,7305635000000.0,6834349400000.0,6889331500000.0,7282901400000.0,6983837500000.0,6590982000000.0,7213512400000.0,7209295000000.0,6594767600000.0,7267281000000.0,7081010700000.0,7134813600000.0,7114192300000.0,7028379000000.0
2045.0,6967562000000.0,7109325000000.0,7216290600000.0,7273532400000.0,6768535000000.0,6840959000000.0,7248288000000.0,6928482700000.0,6513906700000.0,7173518000000.0,7186586500000.0,6513179000000.0,7232429000000.0,7038331500000.0,7086303300000.0,7082841000000.0,6989464000000.0
2046.0,6914473700000.0,7054642600000.0,7159552700000.0,7240117400000.0,6688560000000.0,6794927700000.0,7209587600000.0,6870172000000.0,6454303000000.0,7145807400000.0,7160048000000.0,6444266000000.0,7210013300000.0,6987327700000.0,7029898000000.0,7034414600000.0,6928800000000.0
2047.0,6849101300000.0,7019468000000.0,7125413700000.0,7209628000000.0,6620057000000.0,6741489600000.0,7173033000000.0,6809752000000.0,6392106700000.0,7124084600000.0,7129465000000.0,6368951500000.0,7164600000000.0,6933823600000.0,6988760600000.0,7006598000000.0,6879831400000.0
2048.0,6788777000000.0,6988672000000.0,7105216500000.0,7184514000000.0,6580865600000.0,6697256500000.0,7128266300000.0,6739853000000.0,6318211000000.0,7093740000000.0,7089573300000.0,6287077000000.0,7130560000000.0,6883949000000.0,6945572400000.0,6965286000000.0,6836566600000.0
2049.0,6718886000000.0,6953005000000.0,7053418000000.0,7141765000000.0,6518558700000.0,6646769600000.0,7093774000000.0,6665960000000.0,6272186000000.0,7055090000000.0,7031242600000.0,6223363000000.0,7084060400000.0,6829142000000.0,6901027300000.0,6926742600000.0,6772746600000.0
2050.0,6645189400000.0,6918386000000.0,7022690400000.0,7091275700000.0,6459033000000.0,6594923300000.0,7059763000000.0,6587362600000.0,6202769000000.0,7029011000000.0,6990412000000.0,6152676000000.0,7055804500000.0,6772187700000.0,6873689000000.0,6885534000000.0,6712414700000.0
2051.0,6593802400000.0,6865087400000.0,6972066000000.0,7061098000000.0,6378212000000.0,6544509400000.0,7026051600000.0,6521147600000.0,6138960000000.0,6996067000000.0,6941163000000.0,6070036000000.0,7014251500000.0,6719932000000.0,6828885300000.0,6839285600000.0,6654649000000.0
2052.0,6526090600000.0,6816952000000.0,6921762000000.0,7030401000000.0,6312610500000.0,6494951000000.0,6994609000000.0,6449549300000.0,6084191300000.0,6967622400000.0,6904678400000.0,6007788400000.0,6983676600000.0,6668383400000.0,6793641600000.0,6796215300000.0,6607615000000.0
2053.0,6467880000000.0,6756968700000.0,6879798000000.0,6984808000000.0,6251067500000.0,6452255700000.0,6961395400000.0,6386901600000.0,6019293400000.0,6939091000000.0,6846706400000.0,5930140000000.0,6946563300000.0,6596903000000.0,6749017000000.0,6762159700000.0,6546959400000.0
2054.0,6416256500000.0,6710093000000.0,6829728000000.0,6955730000000.0,6187327700000.0,6401504000000.0,6933486000000.0,6313079000000.0,5951165300000.0,6904467000000.0,6785472000000.0,5860314000000.0,6913119000000.0,6544813000000.0,6702741000000.0,6697760000000.0,6489860000000.0
2055.0,6334018000000.0,6667602000000.0,6791707000000.0,6939943000000.0,6116371600000.0,6337029000000.0,6898686400000.0,6251242000000.0,5902435400000.0,6865350600000.0,6741365000000.0,5773759300000.0,6890744000000.0,6481207000000.0,6660796000000.0,6676539000000.0,6447823300000.0
2056.0,6266822300000.0,6637666400000.0,6740463000000.0,6922872000000.0,6050030000000.0,6269377700000.0,6871212000000.0,6184962000000.0,5865870500000.0,6816184400000.0,6684492700000.0,5703417700000.0,6846257000000.0,6424591600000.0,6614680000000.0,6640584600000.0,6392331600000.0
2057.0,6229515600000.0,6593240000000.0,6701375300000.0,6880287500000.0,5985147600000.0,6232601000000.0,6815626000000.0,6101767600000.0,5816850600000.0,6767010000000.0,6659807600000.0,5616800000000.0,6801403000000.0,6351078000000.0,6566949400000.0,6601269300000.0,6332376700000.0
2058.0,6179513000000.0,6548421000000.0,6663873500000.0,6847441400000.0,5928787600000.0,6170810500000.0,6774492500000.0,6046645000000.0,5753155000000.0,6727868000000.0,6628533300000.0,5540273000000.0,6762275000000.0,6290131600000.0,6531808000000.0,6546953000000.0,6266131300000.0
2059.0,6117389000000.0,6493415400000.0,6620145000000.0,6812428400000.0,5877831000000.0,6136066500000.0,6747389400000.0,5965289600000.0,5705892000000.0,6690946700000.0,6601602000000.0,5476499000000.0,6720667500000.0,6229064700000.0,6491703000000.0,6493133300000.0,6207832000000.0
2060.0,6048969000000.0,6446286600000.0,6593244600000.0,6762019700000.0,5819976400000.0,6077369000000.0,6721958000000.0,5902083000000.0,5658023000000.0,6644987000000.0,6569001000000.0,5390117000000.0,6697806000000.0,6176898000000.0,6459497000000.0,6456489000000.0,6146184000000.0
2061.0,5976936700000.0,6407699600000.0,6527358300000.0,6718775400000.0,5760554600000.0,6013747500000.0,6677530000000.0,5824739500000.0,5611805700000.0,6600536000000.0,6526456000000.0,5305674500000.0,6659753600000.0,6118330300000.0,6418196000000.0,6428258500000.0,6086792000000.0
2062.0,5912857700000.0,6376320400000.0,6504562000000.0,6689252700000.0,5704669700000.0,5959443300000.0,6629746500000.0,5766007000000.0,5564434000000.0,6552650500000.0,6465258500000.0,5240501000000.0,6624623000000.0,6059638400000.0,6375391400000.0,6390967400000.0,6045780000000.0
2063.0,5858867000000.0,6336722500000.0,6460081000000.0,6652151500000.0,5620361000000.0,5897686400000.0,6589083000000.0,5696279500000.0,5519453500000.0,6507670000000.0,6424026000000.0,5177638000000.0,6580104300000.0,6001165600000.0,6330157000000.0,6351399000000.0,5992593500000.0
2064.0,5779493000000.0,6290294000000.0,6411983500000.0,6626438300000.0,5551810400000.0,5842735700000.0,6556272000000.0,5652767000000.0,5481568400000.0,6461243500000.0,6381052600000.0,5122992600000.0,6542340000000.0,5958314500000.0,6298225600000.0,6317723000000.0,5928025300000.0
2065.0,5720793700000.0,6248561400000.0,6384986000000.0,6601013500000.0,5486586000000.0,5786673000000.0,6518729600000.0,5597726000000.0,5423819000000.0,6424109000000.0,6342143600000.0,5053059000000.0,6520527400000.0,5918379500000.0,6266347300000.0,6284896600000.0,5895777400000.0
2066.0,5665096000000.0,6191197500000.0,6342738000000.0,6580900000000.0,5416938400000.0,5744492500000.0,6485420500000.0,5545822000000.0,5372123300000.0,6386798300000.0,6290796400000.0,4950650000000.0,6488627600000.0,5873804000000.0,6221897000000.0,6246920400000.0,5837586000000.0
2067.0,5589694400000.0,6150450300000.0,6295513000000.0,6542409600000.0,5348043000000.0,5699530700000.0,6465068000000.0,5491811400000.0,5328626000000.0,6360319000000.0,6244342400000.0,4861463000000.0,6464843000000.0,5803618600000.0,6166716400000.0,6201668500000.0,5787696000000.0
2068.0,5517626000000.0,6108263000000.0,6255926600000.0,6512444000000.0,5296413500000.0,5638361400000.0,6429083000000.0,5423746000000.0,5275205000000.0,6320868600000.0,6195055700000.0,4798766000000.0,6439281600000.0,5738410300000.0,6138629000000.0,6159350000000.0,5729407700000.0
2069.0,5452222400000.0,6061215000000.0,6225171300000.0,6480055500000.0,5234540000000.0,5595942400000.0,6402693000000.0,5371449000000.0,5212711000000.0,6284262000000.0,6141072400000.0,4718325700000.0,6407652000000.0,5676747000000.0,6107493000000.0,6113304500000.0,5666953500000.0
2070.0,5392103000000.0,6032906000000.0,6198728000000.0,6442839000000.0,5174608000000.0,5548208000000.0,6370561000000.0,5347896500000.0,5170089400000.0,6248169000000.0,6092454600000.0,4660714000000.0,6372483000000.0,5612265000000.0,6068830000000.0,6058260000000.0,5623479500000.0
2071.0,5329502000000.0,6000363000000.0,6154527700000.0,6411798400000.0,5110791000000.0,5505714000000.0,6338659000000.0,5313768000000.0,5104323300000.0,6216453500000.0,6050391000000.0,4586480000000.0,6339757000000.0,5567072000000.0,6028491500000.0,6004675700000.0,5567444000000.0
2072.0,5241467000000.0,5955414000000.0,6115246500000.0,6376922000000.0,5056606000000.0,5464098000000.0,6298317400000.0,5252633300000.0,5031132700000.0,6170234300000.0,6001944000000.0,4526301500000.0,6299347000000.0,5506538700000.0,5971927600000.0,5956370400000.0,5510674000000.0
2073.0,5159212500000.0,5911573000000.0,6081751000000.0,6342597700000.0,4994364000000.0,5412419000000.0,6263436500000.0,5208357700000.0,4962262000000.0,6127821500000.0,5957624000000.0,4457875000000.0,6273122000000.0,5449459000000.0,5923699400000.0,5921594000000.0,5452257000000.0
2074.0,5076221000000.0,5873375600000.0,6034082500000.0,6314049000000.0,4929776000000.0,5375967400000.0,6212699000000.0,5151275000000.0,4910741000000.0,6066925500000.0,5897836000000.0,4391996800000.0,6241102000000.0,5390558300000.0,5872033000000.0,5875324000000.0,5391653000000.0
2075.0,5011888000000.0,5832188600000.0,6007414000000.0,6287838400000.0,4878464000000.0,5330900600000.0,6182571300000.0,5103298000000.0,4865048700000.0,6037421000000.0,5847048000000.0,4311482600000.0,6208517000000.0,5341971000000.0,5822927600000.0,5830419000000.0,5338217600000.0
2076.0,4937021000000.0,5801123500000.0,5962463000000.0,6268035500000.0,4826281000000.0,5285331000000.0,6125703000000.0,5031401000000.0,4816915000000.0,6011255500000.0,5786077000000.0,4235226500000.0,6179259000000.0,5288922400000.0,5770529000000.0,5791333500000.0,5276468000000.0
2077.0,4851637000000.0,5751094000000.0,5935432500000.0,6235286400000.0,4767003000000.0,5232446000000.0,6096764000000.0,4987501000000.0,4751637000000.0,5976178000000.0,5743338600000.0,4165182700000.0,6147593500000.0,5231139600000.0,5721090400000.0,5738732700000.0,5226311000000.0
2078.0,4769857400000.0,5721653000000.0,5884500500000.0,6202325500000.0,4723666000000.0,5189207000000.0,6070923000000.0,4941385600000.0,4695371000000.0,5953004500000.0,5692063000000.0,4107987600000.0,6111330600000.0,5184793000000.0,5683926300000.0,5706702400000.0,5164040000000.0
2079.0,4688698000000.0,5682231000000.0,5857255000000.0,6170806000000.0,4659894000000.0,5133807600000.0,6042825500000.0,4899005300000.0,4642745400000.0,5918781600000.0,5646828700000.0,4036442500000.0,6067028000000.0,5118995500000.0,5646924600000.0,5670436300000.0,5124988600000.0
2080.0,4605678700000.0,5644602000000.0,5833676600000.0,6151429000000.0,4597738000000.0,5106969300000.0,5995178000000.0,4835549000000.0,4586509700000.0,5887246000000.0,5600954500000.0,3989653200000.0,6026265000000.0,5070019000000.0,5605194000000.0,5628862400000.0,5060276000000.0
2081.0,4529456000000.0,5599517500000.0,5774036000000.0,6120146000000.0,4554718400000.0,5071737000000.0,5953053000000.0,4765483000000.0,4525391300000.0,5838567000000.0,5560898000000.0,3925425500000.0,5984773700000.0,5000693500000.0,5568968000000.0,5589794000000.0,5011365000000.0
2082.0,4446237500000.0,5554261000000.0,5729733000000.0,6084833600000.0,4512987000000.0,5024182700000.0,5919518000000.0,4689273300000.0,4459271300000.0,5799168400000.0,5502122600000.0,3867261300000.0,5948360000000.0,4945512000000.0,5525185500000.0,5547989000000.0,4977775000000.0
2083.0,4389429000000.0,5516357000000.0,5697130000000.0,6043738000000.0,4463972000000.0,4982344000000.0,5872482000000.0,4643414000000.0,4404494700000.0,5758454300000.0,5472866000000.0,3801284000000.0,5911309000000.0,4900507400000.0,5469995000000.0,5514639400000.0,4919267000000.0
2084.0,4312826400000.0,5470230700000.0,5652564400000.0,6012936400000.0,4410147000000.0,4937029000000.0,5831215500000.0,4586821600000.0,4349125200000.0,5723072000000.0,5411116000000.0,3738157200000.0,5873196000000.0,4842758000000.0,5419454400000.0,5474166500000.0,4855126000000.0
2085.0,4248307800000.0,5437430700000.0,5612289000000.0,5988150700000.0,4356125000000.0,4901890000000.0,5797072300000.0,4541914300000.0,4314572500000.0,5684364000000.0,5373359600000.0,3672538600000.0,5824943000000.0,4798849500000.0,5376789000000.0,5435243000000.0,4791424000000.0
2086.0,4170002200000.0,5396857600000.0,5569346300000.0,5962365000000.0,4305790700000.0,4870429000000.0,5740631000000.0,4484832000000.0,4251107500000.0,5632454000000.0,5326294000000.0,3612570800000.0,5786291000000.0,4753199000000.0,5328195000000.0,5399926000000.0,4737361000000.0
