time,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CANESM2,GFDL-CM3,CNRM-CM5,GISS-E2-R,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR,CESM1-CAM5
2042.0,1600937500.0,1691933300.0,1753973400.0,1678976600.0,1230617500.0,1729805300.0,1743319900.0,1679996200.0,1816500000.0,1481844000.0,1583222400.0
2043.0,1584859000.0,1632161000.0,1693652900.0,1608083100.0,1149206900.0,1688721500.0,1746588000.0,1624420900.0,1807827800.0,1434688400.0,1573126300.0
2044.0,1517979400.0,1582533000.0,1657585500.0,1544446500.0,1080043400.0,1637486600.0,1621971300.0,1568158300.0,1946942100.0,1390059500.0,1513377500.0
2045.0,1487985300.0,1548611800.0,1627970000.0,1505311100.0,1014456200.0,1701199500.0,1575739400.0,1520924200.0,1839074200.0,1335876000.0,1453787600.0
2046.0,1450130200.0,1500298000.0,1630329600.0,1457775100.0,956175500.0,1629306600.0,1531483500.0,1529367300.0,1837171100.0,1291072800.0,1429043500.0
2047.0,1426070900.0,1454485800.0,1563690400.0,1406341400.0,886397700.0,1630960000.0,1520544500.0,1459368400.0,1737214100.0,1244453100.0,1361246300.0
2048.0,1365601900.0,1416366200.0,1512370300.0,1351979500.0,825426000.0,1581107600.0,1447121400.0,1415497300.0,1716976400.0,1187397000.0,1319706900.0
2049.0,1324498300.0,1424115600.0,1483583500.0,1302096400.0,777321300.0,1549635300.0,1407772900.0,1432820100.0,1660788600.0,1143112400.0,1270350000.0
2050.0,1301489300.0,1333816300.0,1426624400.0,1260289700.0,722621440.0,1527195600.0,1430613000.0,1366285200.0,1667871000.0,1105413400.0,1228476700.0
2051.0,1251698600.0,1281065500.0,1395316600.0,1218862300.0,671578100.0,1483278300.0,1389636900.0,1314937000.0,1610861400.0,1044779200.0,1184033700.0
2052.0,1213972600.0,1228863000.0,1411673900.0,1177882600.0,617389500.0,1448906200.0,1354776000.0,1266479900.0,1566191100.0,997916350.0,1140923500.0
2053.0,1191898800.0,1199560000.0,1344994400.0,1168892000.0,563992100.0,1437120400.0,1293695200.0,1248537900.0,1587759100.0,952639740.0,1091905400.0
2054.0,1141827000.0,1156682600.0,1303327500.0,1110865400.0,527314880.0,1337158900.0,1267553300.0,1231565200.0,1529548300.0,915036800.0,1048989000.0
2055.0,1093530200.0,1154230400.0,1277958500.0,1082963200.0,489905280.0,1305074700.0,1253493500.0,1163243000.0,1527240700.0,875508300.0,1008145800.0
2056.0,1052428800.0,1082969000.0,1229396700.0,1029893200.0,461188830.0,1263347700.0,1165670000.0,1165365500.0,1475469400.0,842033000.0,954214460.0
2057.0,1013572600.0,1062303940.0,1197337000.0,1002945540.0,438059650.0,1232703200.0,1155187700.0,1111073900.0,1412598800.0,879776100.0,909651000.0
2058.0,967697500.0,1022757600.0,1158182900.0,954527600.0,410023140.0,1205894400.0,1169758800.0,1096407300.0,1378630800.0,798952900.0,873147400.0
2059.0,934795650.0,979267300.0,1115359700.0,923804800.0,389789820.0,1177444900.0,1096371800.0,1032837950.0,1373399700.0,773021440.0,839922000.0
2060.0,908267140.0,942600900.0,1097328500.0,900954430.0,362813540.0,1108742500.0,1082356000.0,999409150.0,1376083100.0,740177400.0,794749800.0
2061.0,881954600.0,911297660.0,1096670600.0,855383360.0,338267040.0,1086610700.0,1011105150.0,996948200.0,1369970400.0,707214340.0,758415700.0
2062.0,843686400.0,877857150.0,1057724600.0,822648500.0,318537540.0,1027020400.0,984184100.0,989374900.0,1333683100.0,689301700.0,725480300.0
2063.0,815722100.0,876413200.0,1003856000.0,794799550.0,302623040.0,1056044900.0,964340540.0,935561700.0,1377070700.0,688719360.0,700978000.0
2064.0,791027000.0,819947500.0,968176200.0,764836400.0,278050180.0,979985340.0,1069778400.0,917799200.0,1252152400.0,637106750.0,674660300.0
2065.0,762347840.0,782011400.0,975806140.0,755600100.0,261933090.0,915114500.0,961484160.0,882267200.0,1225413100.0,617230460.0,637012500.0
2066.0,734682600.0,776712900.0,1010028350.0,730802370.0,243921390.0,910085700.0,943265900.0,860955460.0,1189089400.0,600331000.0,603278100.0
2067.0,706546500.0,731618940.0,896411260.0,695444540.0,225405280.0,918472450.0,857744300.0,843899300.0,1148295200.0,586076000.0,583336500.0
2068.0,685622700.0,711506400.0,894403200.0,669987800.0,215751100.0,875194000.0,884408900.0,826968640.0,1130227000.0,559942460.0,558984770.0
2069.0,656513200.0,699360900.0,831465540.0,649010100.0,202768960.0,857546050.0,800920100.0,813266600.0,1125511300.0,545986200.0,529003900.0
2070.0,630121200.0,665560100.0,848530700.0,631310460.0,197397360.0,808010300.0,822512200.0,780361700.0,1102052500.0,515192540.0,512365630.0
2071.0,609873000.0,647912500.0,795842560.0,610578200.0,187214500.0,798528960.0,770669600.0,776993540.0,1068770500.0,502289800.0,511598850.0
2072.0,592256200.0,633508300.0,770146200.0,594573950.0,179685140.0,771088900.0,782497660.0,748172600.0,1040349700.0,486119230.0,483153440.0
2073.0,571169860.0,626685300.0,748458700.0,570710200.0,170821140.0,741244000.0,751646100.0,720780700.0,1034619460.0,480371520.0,465413500.0
2074.0,551850400.0,609977500.0,738205700.0,552789500.0,163875860.0,716099700.0,726649100.0,715200500.0,995152200.0,446731600.0,447888900.0
2075.0,535943970.0,580535230.0,712530750.0,532629660.0,156604370.0,698524350.0,750323600.0,702825100.0,988335900.0,423552260.0,427771170.0
2076.0,518284830.0,574436400.0,715244500.0,512479520.0,151541810.0,664297700.0,765480900.0,681775500.0,1015815550.0,406364350.0,406079940.0
2077.0,498883170.0,548110000.0,693273860.0,503735600.0,148763890.0,755371300.0,694456260.0,695519900.0,979797400.0,395356800.0,388740800.0
2078.0,479873700.0,531503330.0,670640600.0,486934050.0,144843520.0,638690940.0,688408450.0,666835800.0,928032960.0,387882050.0,374049400.0
2079.0,461349120.0,543007550.0,654410900.0,471866300.0,140258080.0,624396100.0,664924500.0,648653060.0,903615600.0,393449120.0,362016670.0
2080.0,448433200.0,504158430.0,652880200.0,455009540.0,136740140.0,617036860.0,650210800.0,776280000.0,960628800.0,389341250.0,348094750.0
2081.0,439527070.0,493887580.0,628547840.0,433968640.0,133168024.0,589702500.0,688875900.0,664568300.0,890663550.0,361157700.0,335095900.0
2082.0,414655970.0,476144400.0,605998660.0,429434660.0,133386936.0,568776450.0,609506370.0,644025340.0,937050100.0,344948160.0,328427200.0
2083.0,425643650.0,460527040.0,603649900.0,402287300.0,130068850.0,564564300.0,590403840.0,593588540.0,894042560.0,340914460.0,314811200.0
2084.0,393313860.0,474799070.0,581560400.0,395298400.0,128186104.0,535598370.0,584451650.0,603984300.0,848055900.0,329971420.0,306924300.0
2085.0,380868800.0,455533150.0,573516200.0,389174620.0,125710670.0,518217950.0,601464260.0,618117100.0,863380540.0,319080580.0,297408930.0
2086.0,367317820.0,470351580.0,588031550.0,380561400.0,123893300.0,506628060.0,656152450.0,602947100.0,815061100.0,311690430.0,294117920.0
2087.0,357711940.0,440493120.0,558623200.0,361637340.0,121747240.0,499709400.0,597331500.0,634249340.0,814301900.0,311670560.0,279529340.0
2088.0,348075140.0,417067700.0,589932700.0,358121020.0,119531460.0,478853540.0,593122560.0,610145860.0,833110100.0,298581200.0,268848060.0
2089.0,337588260.0,473415870.0,547288500.0,347119650.0,117987030.0,484439550.0,606396700.0,563187300.0,802088260.0,291201120.0,263486700.0
2090.0,334632700.0,464795700.0,513732480.0,346153020.0,115923900.0,465220540.0,556104600.0,564106000.0,766169400.0,284878530.0,258365230.0
2091.0,321792400.0,426308860.0,516006200.0,330619500.0,115178450.0,454189020.0,558934200.0,537014140.0,767386240.0,289581400.0,248611100.0
2092.0,314395200.0,563425900.0,491757280.0,325218800.0,113916920.0,449634430.0,530963140.0,506230880.0,763431360.0,274666240.0,254400860.0
2093.0,304764500.0,463976450.0,482622050.0,327695700.0,112589370.0,431654700.0,554381440.0,498963800.0,774185150.0,279445400.0,240467710.0
2094.0,293291420.0,412325000.0,472640160.0,312161540.0,111194010.0,427343680.0,528496300.0,517117060.0,802843900.0,264568200.0,239753400.0
2095.0,290333540.0,529522050.0,463980700.0,308643620.0,121751580.0,452291840.0,509018080.0,486662000.0,712018300.0,259182030.0,238234940.0
2096.0,281863230.0,430460600.0,455198430.0,296933600.0,110423990.0,435750530.0,490418400.0,475675970.0,766609800.0,255371410.0,230723400.0
2097.0,284577920.0,429485380.0,440654820.0,294195140.0,108563176.0,401941000.0,535807260.0,468302180.0,712148540.0,247997470.0,227042060.0
2098.0,268158420.0,378438500.0,464268600.0,295320480.0,108175530.0,452674940.0,516009760.0,458418020.0,739363000.0,241330300.0,241846720.0
2099.0,260827890.0,366416060.0,433707940.0,295588060.0,108150584.0,378049600.0,509828500.0,476822900.0,726327740.0,238722780.0,218074320.0
2100.0,252044560.0,376921900.0,432850600.0,285071360.0,106874424.0,383745500.0,496560400.0,458320670.0,713009900.0,232059180.0,215128960.0
