time,GFDL-CM3,CANESM2,CCSM4,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5
2035.0,1587622900.0,1884032000.0,2064206100.0,1902711400.0,1908409900.0,1877119500.0,1872123800.0,2028396900.0,1975827000.0,2031534500.0
2036.0,1554574000.0,1831914400.0,2081963000.0,1872462600.0,1854388500.0,1852170800.0,1836225500.0,2040602400.0,1956796500.0,2038827600.0
2037.0,1485580500.0,1794712700.0,2038561300.0,1816606000.0,1803116400.0,1829500400.0,1827998800.0,2054824200.0,1933904800.0,2003391400.0
2038.0,1426826200.0,1754689500.0,1994322400.0,1946406400.0,1760973300.0,1803038800.0,1783980900.0,1956073600.0,1955109600.0,1954252800.0
2039.0,1371456800.0,1743013000.0,2006770600.0,1783233200.0,1722518300.0,1732613100.0,1763488400.0,1957381000.0,1926302200.0,1906346800.0
2040.0,1302495500.0,1666761000.0,1919044600.0,1780812400.0,1744735900.0,1678298100.0,1700835000.0,1911300900.0,1924375400.0,1871577500.0
2041.0,1236385400.0,1648957700.0,1904169500.0,1746187100.0,1660616700.0,1619734300.0,1687851300.0,1851572000.0,1851154200.0,1818863400.0
2042.0,1178066300.0,1604819300.0,1862953000.0,1701206100.0,1626068500.0,1589291000.0,1635227900.0,1884697300.0,1921789400.0,1812399600.0
2043.0,1116479000.0,1582985200.0,1821424000.0,1663047300.0,1591228000.0,1551983200.0,1600401900.0,1812928000.0,1852926700.0,1780084500.0
2044.0,1080574300.0,1556239600.0,1846477300.0,1610845700.0,1588452600.0,1531676900.0,1544472600.0,1789428200.0,1834341900.0,1748389000.0
2045.0,1028221760.0,1481323400.0,1774995000.0,1586825600.0,1583275800.0,1483586800.0,1524009300.0,1748716400.0,1761355800.0,1710545300.0
2046.0,962323400.0,1516813700.0,1741143700.0,1545661300.0,1492958600.0,1456586400.0,1466844800.0,1743290500.0,1743169300.0,1682746500.0
2047.0,895768640.0,1404254500.0,1722927500.0,1502008800.0,1472481700.0,1391484300.0,1427889800.0,1680921500.0,1839487500.0,1633205600.0
2048.0,834667300.0,1404055000.0,1699664600.0,1458409200.0,1461454300.0,1346702500.0,1389289300.0,1653467600.0,1716527900.0,1613925200.0
2049.0,784685630.0,1321215900.0,1644811800.0,1455667100.0,1419910700.0,1308817900.0,1358636300.0,1682235600.0,1854691500.0,1688936400.0
2050.0,746784640.0,1301730700.0,1694774400.0,1408543400.0,1375395100.0,1257564800.0,1348140500.0,1637403800.0,1724214800.0,1636174000.0
2051.0,701151600.0,1239863000.0,1626343000.0,1369517600.0,1347739500.0,1210248700.0,1316179600.0,1583306200.0,1845488100.0,1549761900.0
2052.0,667984700.0,1206931800.0,1568640100.0,1333406300.0,1303777900.0,1181602700.0,1264290800.0,1816349000.0,1738565500.0,1545160800.0
2053.0,636166400.0,1216847000.0,1557177700.0,1321268100.0,1267959300.0,1207395500.0,1290174500.0,1910515200.0,1659853000.0,1454370700.0
2054.0,595467200.0,1159598800.0,1560289300.0,1293792800.0,1227697300.0,1158752800.0,1209968800.0,1740817200.0,1619090800.0,1430651900.0
2055.0,569390900.0,1132866800.0,1505463200.0,1243448700.0,1235480000.0,1271162600.0,1233855100.0,1939384200.0,1749317400.0,1387833900.0
2056.0,549724900.0,1099938800.0,1469720200.0,1252718500.0,1194325900.0,1081973000.0,1154602000.0,1819793300.0,1840415400.0,1411005200.0
2057.0,522725820.0,1064049200.0,1455816400.0,1209371900.0,1172837100.0,1046939100.0,1254260100.0,1869405000.0,1787465700.0,1345106200.0
2058.0,505122400.0,1035375170.0,1468531300.0,1201128300.0,1172585000.0,1007042370.0,1162044800.0,1725624700.0,1675943400.0,1406724000.0
2059.0,481012540.0,1034407700.0,1600459500.0,1213149400.0,1081080300.0,1001008260.0,1159606000.0,1655184800.0,1609666300.0,1290547800.0
2060.0,467735580.0,963740740.0,1467940100.0,1173343500.0,1091513300.0,975412800.0,1194780400.0,1594432400.0,1569859200.0,1268904300.0
2061.0,449215780.0,933712450.0,1391316500.0,1100762100.0,1034461440.0,940857600.0,1080502300.0,1577020200.0,1662224900.0,1227857400.0
2062.0,424328900.0,887264260.0,1430543900.0,1065457660.0,1000390460.0,936578370.0,1061697100.0,1577027800.0,1509722600.0,1251337600.0
2063.0,411764700.0,865045500.0,1433474200.0,1048640200.0,1051888000.0,930888000.0,1040535940.0,1547776000.0,1499436000.0,1305004900.0
2064.0,393564600.0,854847740.0,1328967600.0,1079230700.0,964354050.0,885076100.0,1004008200.0,1529060500.0,1465863200.0,1256483500.0
2065.0,381396060.0,848816830.0,1288807800.0,993960640.0,987290200.0,861939500.0,1055602940.0,1597218800.0,1434481300.0,1197968600.0
2066.0,361681470.0,794308500.0,1255455000.0,998584300.0,980654900.0,875091400.0,1049092860.0,1565789200.0,1432865500.0,1151152800.0
2067.0,343933280.0,785676740.0,1390496000.0,1019439550.0,923958000.0,819930200.0,963584700.0,1465160700.0,1388737200.0,1105128000.0
2068.0,331591780.0,775463500.0,1411716600.0,934111700.0,900838800.0,784988350.0,1009616800.0,1670002200.0,1349913300.0,1152956800.0
2069.0,318249900.0,796288260.0,1249209100.0,975402560.0,880232700.0,793923200.0,998592060.0,1538275800.0,1410219600.0,1092179800.0
2070.0,307901540.0,738280450.0,1282423200.0,966118660.0,880171970.0,758241600.0,954461760.0,1447708800.0,1373716500.0,1071668300.0
2071.0,302640030.0,744321000.0,1271069400.0,932394800.0,852202000.0,730925440.0,983697340.0,1499788700.0,1555152300.0,1069508030.0
2072.0,292774460.0,822529860.0,1273972000.0,928963140.0,968713150.0,723357100.0,955907260.0,1438528400.0,1329241900.0,1059731600.0
2073.0,278074600.0,843302900.0,1192067000.0,978624200.0,875379260.0,711225340.0,1159849100.0,1417448300.0,1505096300.0,1059405800.0
2074.0,271309500.0,709466000.0,1167150000.0,894069100.0,819443460.0,714319740.0,965979650.0,1400145400.0,1398815000.0,1005642050.0
2075.0,263306220.0,704674800.0,1198293800.0,948701000.0,805355650.0,730001340.0,924968100.0,1350476500.0,1288268300.0,975662400.0
2076.0,255074940.0,707784400.0,1143184800.0,859106700.0,802093250.0,730879900.0,922380500.0,1422095100.0,1260143100.0,977801600.0
2077.0,256087620.0,685268740.0,1222597600.0,827548600.0,781247100.0,692610400.0,993634240.0,1352438700.0,1247076900.0,952799000.0
2078.0,247582240.0,670841600.0,1240839300.0,922801860.0,770804400.0,738709700.0,931530100.0,1333667700.0,1434275300.0,942063900.0
2079.0,237298500.0,711925500.0,1145931800.0,821117300.0,783414000.0,668248450.0,949723300.0,1343965000.0,1438499000.0,932549440.0
2080.0,231225740.0,670883300.0,1161074300.0,788912830.0,772709950.0,664779700.0,993299460.0,1317221600.0,1332065900.0,904435700.0
2081.0,233960560.0,662046140.0,1122139500.0,814654700.0,810432300.0,644562400.0,871362940.0,1364319500.0,1294137700.0,967034700.0
2082.0,225931070.0,636633500.0,1104644900.0,823902300.0,730961700.0,634600800.0,904833600.0,1389181800.0,1253561000.0,925108030.0
2083.0,221129100.0,631248260.0,1058586800.0,799288200.0,729560060.0,653298100.0,989968450.0,1307008800.0,1238554400.0,936964700.0
2084.0,220972460.0,610062400.0,1105619800.0,781530700.0,708776500.0,623591900.0,849063000.0,1402689700.0,1380222800.0,987863200.0
2085.0,233294290.0,610654300.0,1140176900.0,788419100.0,695012540.0,607196600.0,864754100.0,1875341300.0,1285824900.0,853395100.0
2086.0,219066610.0,607784700.0,1344810800.0,814364500.0,688056300.0,602609860.0,840942700.0,1387447200.0,1308951700.0,982831500.0
2087.0,209954800.0,584261250.0,1174960500.0,818329600.0,679492600.0,595298100.0,812920500.0,1358747900.0,1586247300.0,977574000.0
2088.0,206930900.0,563266700.0,1248122400.0,851308500.0,703808800.0,686912260.0,957392200.0,1317314800.0,1367135500.0,913239300.0
2089.0,204115280.0,576267840.0,1329960400.0,736173600.0,708169400.0,680291300.0,876759550.0,1294736000.0,1211164300.0,840396800.0
2090.0,202055380.0,553553200.0,1207003500.0,749657500.0,673679500.0,1117955500.0,844752060.0,1258472300.0,1211396700.0,812234430.0
2091.0,199678880.0,562252540.0,1211849900.0,712534200.0,764496000.0,835957400.0,815937100.0,1298294800.0,1710177500.0,858654000.0
2092.0,197187000.0,560958660.0,1107752800.0,738394750.0,672783040.0,674547800.0,784691900.0,1268330000.0,1441398700.0,834275800.0
2093.0,194104660.0,548690200.0,1112820600.0,889616100.0,660177000.0,586222600.0,802426600.0,1383059700.0,1284564000.0,878261760.0
2094.0,192202350.0,533105100.0,1227748500.0,746782300.0,639074300.0,562881100.0,766166900.0,1536972400.0,1343493900.0,823011600.0
2095.0,188740500.0,520273730.0,1134484900.0,680090560.0,638107900.0,566217000.0,768902850.0,1392260400.0,1245704800.0,804674600.0
2096.0,190311780.0,527647330.0,1113693200.0,849943900.0,620017300.0,580243000.0,785464700.0,1383320600.0,1230128600.0,857250300.0
2097.0,190507040.0,511619600.0,1220331100.0,707546050.0,631440450.0,550876860.0,768389400.0,1556164700.0,1212520200.0,925907400.0
2098.0,186170080.0,500291550.0,1143994900.0,664399000.0,650287500.0,554624900.0,957658900.0,1438823400.0,1240110000.0,940129100.0
2099.0,182941260.0,510872200.0,1194254600.0,657095360.0,662607900.0,625765440.0,823896900.0,1468799400.0,1155715200.0,871668900.0
2100.0,181185060.0,491511070.0,1060674100.0,667748700.0,602905400.0,560884800.0,843820400.0,1363116800.0,1129705200.0,992296640.0
