time,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,GFDL-CM3,NORESM1-M,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2082.0,5381316000000.0,4246011000000.0,4653856600000.0,2086890400000.0,3425718800000.0,4081478500000.0,3596633500000.0,4888458700000.0,4870245000000.0,4730978000000.0
2083.0,5330894300000.0,4156007600000.0,4572123000000.0,2004575300000.0,3330864600000.0,3999578700000.0,3495869000000.0,4796055600000.0,4801451500000.0,4670118000000.0
2084.0,5295446000000.0,4065912700000.0,4514404000000.0,1911989600000.0,3233004000000.0,3899239200000.0,3404174500000.0,4696942000000.0,4746090400000.0,4616471000000.0
2085.0,5250103000000.0,3971754500000.0,4445944400000.0,1823515200000.0,3141573000000.0,3802873500000.0,3300966000000.0,4606549600000.0,4659187000000.0,4529357000000.0
2086.0,5195103700000.0,3892843000000.0,4397270800000.0,1743797700000.0,3050428400000.0,3709086200000.0,3205816000000.0,4505688600000.0,4588038500000.0,4442386000000.0
2087.0,5127387000000.0,3803591700000.0,4340618600000.0,1667583300000.0,2961644700000.0,3603064700000.0,3111533400000.0,4418831400000.0,4527900000000.0,4370925600000.0
2088.0,5062942000000.0,3713247500000.0,4265439400000.0,1586512400000.0,2869970300000.0,3507902000000.0,3014456200000.0,4325425500000.0,4456758000000.0,4298053500000.0
2089.0,5001557600000.0,3624387700000.0,4192839700000.0,1510468700000.0,2770802600000.0,3422455000000.0,2920847800000.0,4226469900000.0,4383403000000.0,4218803200000.0
2090.0,4938899400000.0,3534088800000.0,4103303600000.0,1437972000000.0,2689581000000.0,3334495300000.0,2819396700000.0,4135282500000.0,4304185300000.0,4134152200000.0
2091.0,4895430700000.0,3444649000000.0,4042577000000.0,1369944800000.0,2610947700000.0,3240966800000.0,2729789400000.0,4041394000000.0,4239395400000.0,4043762600000.0
2092.0,4834214300000.0,3372073600000.0,3985926500000.0,1303365000000.0,2524680000000.0,3149261700000.0,2634227000000.0,3945668300000.0,4162814700000.0,3966647700000.0
2093.0,4767347000000.0,3289508000000.0,3910717000000.0,1236284100000.0,2442946200000.0,3067626700000.0,2544082600000.0,3846014800000.0,4096687000000.0,3904770400000.0
2094.0,4710587000000.0,3216457000000.0,3840313400000.0,1170645000000.0,2357126500000.0,2972723700000.0,2453930500000.0,3734306600000.0,4035308400000.0,3803945000000.0
2095.0,4658603500000.0,3122660400000.0,3764237600000.0,1105488200000.0,2272986000000.0,2887376000000.0,2354689900000.0,3635119700000.0,3946940200000.0,3731598000000.0
2096.0,4593436600000.0,3032914300000.0,3703431000000.0,1040295130000.0,2184361300000.0,2810800200000.0,2273469000000.0,3543589500000.0,3870868400000.0,3654387500000.0
2097.0,4520001700000.0,2940272000000.0,3645384000000.0,976680450000.0,2107214900000.0,2739091300000.0,2180693900000.0,3456261200000.0,3801940500000.0,3585460700000.0
2098.0,4454624000000.0,2878488000000.0,3573196500000.0,916762000000.0,2030681500000.0,2660987800000.0,2092082000000.0,3357210000000.0,3734143000000.0,3506470600000.0
2099.0,4381453000000.0,2811468000000.0,3513351000000.0,860545600000.0,1962699400000.0,2583346800000.0,2007960400000.0,3267860400000.0,3656913000000.0,3430849200000.0
2100.0,4304320000000.0,2745040400000.0,3443498200000.0,804497850000.0,1891147600000.0,2510236700000.0,1928110800000.0,3179127800000.0,3573857000000.0,3340769700000.0
