time,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4
2059.0,25434247000000.0,25179049000000.0,22448674000000.0,24897840000000.0,25465442000000.0
2060.0,25403700000000.0,25081514000000.0,22395394000000.0,24815518000000.0,25469116000000.0
2061.0,25353767000000.0,25050894000000.0,22235580000000.0,24718967000000.0,25422817000000.0
2062.0,25373086000000.0,24932457000000.0,21953216000000.0,24704983000000.0,25350248000000.0
2063.0,25391369000000.0,24832912000000.0,21740422000000.0,24613935000000.0,25264222000000.0
2064.0,25347534000000.0,24642290000000.0,21578515000000.0,24524012000000.0,25248582000000.0
2065.0,25369952000000.0,24513520000000.0,21356547000000.0,24451622000000.0,25217437000000.0
2066.0,25349618000000.0,24417862000000.0,21168770000000.0,24419626000000.0,25191896000000.0
2067.0,25316515000000.0,24303962000000.0,20946600000000.0,24379302000000.0,25109557000000.0
2068.0,25282426000000.0,24265921000000.0,20762145000000.0,24238287000000.0,25082756000000.0
2069.0,25190254000000.0,24147713000000.0,20535772000000.0,24234870000000.0,24997200000000.0
2070.0,25117457000000.0,23998912000000.0,20324521000000.0,24068590000000.0,24977493000000.0
2071.0,25072494000000.0,23888182000000.0,20052307000000.0,23950413000000.0,24915655000000.0
2072.0,24950795000000.0,23728734000000.0,19779136000000.0,23824498000000.0,24861322000000.0
2073.0,24896596000000.0,23703333000000.0,19543150000000.0,23797783000000.0,24839537000000.0
2074.0,24799416000000.0,23536215000000.0,19288707000000.0,23696570000000.0,24801133000000.0
2075.0,24719875000000.0,23382765000000.0,19067275000000.0,23703765000000.0,24718648000000.0
2076.0,24670231000000.0,23187830000000.0,18785224000000.0,23615790000000.0,24677416000000.0
2077.0,24598550000000.0,23022514000000.0,18525945000000.0,23552147000000.0,24591360000000.0
2078.0,24542754000000.0,22863443000000.0,18308802000000.0,23439868000000.0,24520478000000.0
2079.0,24419414000000.0,22811163000000.0,18063441000000.0,23310360000000.0,24474515000000.0
2080.0,24408630000000.0,22634497000000.0,17861494000000.0,23228152000000.0,24339100000000.0
2081.0,24439257000000.0,22410997000000.0,17621817000000.0,23148102000000.0,24315672000000.0
2082.0,24424573000000.0,22190104000000.0,17433037000000.0,23113130000000.0,24277852000000.0
2083.0,24399267000000.0,21990648000000.0,17192405000000.0,23029965000000.0,24268291000000.0
2084.0,24334131000000.0,21786475000000.0,16947815000000.0,22932400000000.0,24202294000000.0
2085.0,24327483000000.0,21658188000000.0,16642190000000.0,22851938000000.0,24127090000000.0
2086.0,24277061000000.0,21491343000000.0,16437003000000.0,22740063000000.0,24065098000000.0
2087.0,24212557000000.0,21300133000000.0,16133094000000.0,22685172000000.0,23950150000000.0
2088.0,24206159000000.0,21077166000000.0,15874671000000.0,22610253000000.0,23881800000000.0
2089.0,24133308000000.0,20843110000000.0,15634221000000.0,22548805000000.0,23867350000000.0
2090.0,24060839000000.0,20658505000000.0,15357588000000.0,22477825000000.0,23931740000000.0
2091.0,24003580000000.0,20396854000000.0,15131645000000.0,22438597000000.0,23908758000000.0
2092.0,23927130000000.0,20152335000000.0,14867756000000.0,22262013000000.0,23836186000000.0
2093.0,23889143000000.0,19954955000000.0,14631194000000.0,22005340000000.0,23778988000000.0
2094.0,23863094000000.0,19710119000000.0,14344157000000.0,21910050000000.0,23722409000000.0
2095.0,23864570000000.0,19418938000000.0,14057244000000.0,21789137000000.0,23616966000000.0
2096.0,23841390000000.0,19150466000000.0,13757102000000.0,21574065000000.0,23583130000000.0
2097.0,23826505000000.0,18902778000000.0,13489915000000.0,21477613000000.0,23535804000000.0
2098.0,23748548000000.0,18670137000000.0,13215711000000.0,21374469000000.0,23455452000000.0
2099.0,23629539000000.0,18428547000000.0,12947516000000.0,21416286000000.0,23370062000000.0
2100.0,23538633000000.0,18217390000000.0,12667172000000.0,21451541000000.0,23322960000000.0
