time,NORESM1-M,CSIRO-MK3-6-0,CCSM4,GFDL-CM3,GISS-E2-R,GFDL-ESM2G,IPSL-CM5A-LR
2048.0,1449079000.0,1673507500.0,1504760400.0,997457540.0,1633084900.0,1773254000.0,1285936000.0
2049.0,1379506200.0,1631016600.0,1466475500.0,940679900.0,1606894300.0,1749696500.0,1222653700.0
2050.0,1383692200.0,1581704200.0,1452361600.0,891530750.0,1588662900.0,1702202600.0,1181732700.0
2051.0,1315741700.0,1565763100.0,1424587400.0,841400260.0,1543262800.0,1660608400.0,1131690400.0
2052.0,1275609300.0,1512339100.0,1376098000.0,798942850.0,1568014800.0,1630504400.0,1082063600.0
2053.0,1247333500.0,1489029500.0,1343272800.0,758121340.0,1495888800.0,1611801300.0,1037202700.0
2054.0,1238950300.0,1462265200.0,1341742800.0,709517060.0,1454913900.0,1577737000.0,994449660.0
2055.0,1199595100.0,1448219100.0,1310105300.0,666865540.0,1456165800.0,1637974700.0,963318500.0
2056.0,1145903500.0,1431270400.0,1288412200.0,636347200.0,1413339800.0,1576270200.0,905041400.0
2057.0,1104310800.0,1385339500.0,1276058600.0,607133250.0,1400207100.0,1492366300.0,867793600.0
2058.0,1086001400.0,1323566100.0,1211864000.0,570991040.0,1435278500.0,1465942300.0,823821700.0
2059.0,1035671300.0,1279732700.0,1174008200.0,545568500.0,1338234600.0,1432530000.0,796096900.0
2060.0,1017942100.0,1243052700.0,1126425200.0,523955800.0,1270257900.0,1392932000.0,761000500.0
2061.0,998579600.0,1245143300.0,1106867300.0,498854370.0,1254931700.0,1371910400.0,736029760.0
2062.0,955654500.0,1190663200.0,1092464800.0,479042270.0,1217298700.0,1340623500.0,705232600.0
2063.0,904758200.0,1176617700.0,1060706100.0,453618720.0,1215333000.0,1289676400.0,673434100.0
2064.0,875660540.0,1165230100.0,1025342460.0,432991460.0,1170173800.0,1288919700.0,677422400.0
2065.0,845796800.0,1133740900.0,993688000.0,418904260.0,1169695500.0,1283119500.0,620221100.0
2066.0,812408400.0,1082709200.0,959201150.0,398775600.0,1134034200.0,1242774900.0,606488900.0
2067.0,776994700.0,1061136830.0,950044100.0,379926560.0,1108470100.0,1203381200.0,577036300.0
2068.0,754666940.0,1028129200.0,925202000.0,368440830.0,1096870500.0,1168144800.0,552182200.0
2069.0,727823940.0,1012133600.0,883093300.0,344629860.0,1048702660.0,1141516000.0,526032500.0
2070.0,706647000.0,990683970.0,864905300.0,328616860.0,1056176400.0,1106676900.0,493234140.0
2071.0,686142500.0,953895900.0,856915300.0,314630200.0,1015791600.0,1120038400.0,472728060.0
2072.0,653559800.0,935780500.0,821343500.0,298853470.0,992741400.0,1051639000.0,444978300.0
2073.0,623028350.0,926806340.0,815903740.0,276873440.0,987379460.0,1018390100.0,434446720.0
2074.0,602669800.0,887194700.0,790150340.0,263227470.0,956550300.0,993919500.0,461138720.0
2075.0,581349700.0,878744700.0,752374400.0,247515730.0,997381400.0,969286140.0,411930270.0
2076.0,560344260.0,853710200.0,740813500.0,237460770.0,918457900.0,938971840.0,394392600.0
2077.0,545555840.0,830024300.0,710189900.0,226214910.0,905945800.0,934588350.0,384902980.0
2078.0,523442750.0,800971900.0,688075300.0,217826880.0,886486000.0,908561800.0,363854100.0
2079.0,512578900.0,786246500.0,669821300.0,205861970.0,863080400.0,879495100.0,351890850.0
2080.0,489289120.0,772805250.0,655013060.0,197085740.0,868169300.0,844828500.0,342611500.0
2081.0,515079200.0,752100800.0,630372100.0,185854700.0,826092100.0,844385340.0,332282180.0
2082.0,463079700.0,725944100.0,616665100.0,178711840.0,814735900.0,820620600.0,323429570.0
2083.0,448089950.0,713878700.0,596982000.0,172254980.0,806403600.0,792274750.0,313257120.0
2084.0,441008060.0,692414900.0,580404000.0,166276480.0,787801000.0,768377500.0,307882080.0
2085.0,422245630.0,672025340.0,563279740.0,158579280.0,769262800.0,771694500.0,296650940.0
2086.0,395584600.0,644050940.0,546282940.0,151342260.0,748314800.0,744851800.0,285735520.0
2087.0,371356400.0,630112500.0,545430140.0,144330370.0,759296500.0,711499970.0,274169600.0
2088.0,375639780.0,612726500.0,514273060.0,137212690.0,727192060.0,723513540.0,267663000.0
2089.0,353013120.0,608323900.0,498261540.0,133547860.0,703162500.0,699945200.0,263293550.0
2090.0,334870050.0,606017800.0,475159680.0,129050880.0,681732200.0,672052700.0,253904350.0
2091.0,322661800.0,565545800.0,458883940.0,123965304.0,676452860.0,680420900.0,243147630.0
2092.0,313399740.0,555088640.0,461110500.0,120462570.0,654956200.0,627479740.0,230107730.0
2093.0,302533540.0,530945630.0,437360900.0,116462620.0,641663360.0,624733900.0,223529800.0
2094.0,288986750.0,522400500.0,423252800.0,113550200.0,629450200.0,700168640.0,218914460.0
2095.0,280188830.0,501347840.0,409767000.0,109743370.0,616454300.0,611416400.0,210764930.0
2096.0,271482270.0,480603870.0,400280260.0,106090664.0,607493800.0,598664900.0,208341490.0
2097.0,262201760.0,462483400.0,387083200.0,104339050.0,597382400.0,596116800.0,198224510.0
2098.0,252764850.0,438293760.0,376751940.0,102069800.0,591485800.0,552079040.0,199978080.0
2099.0,241546260.0,444450370.0,367518660.0,100371450.0,588145400.0,579877200.0,186331170.0
2100.0,233205220.0,404229440.0,354736740.0,97739030.0,596609900.0,532628300.0,182762690.0
