time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2159.0,576270850.0,1145109200.0,598138750.0
2160.0,619100100.0,1136790000.0,580189900.0
2161.0,550283200.0,1193584800.0,577672100.0
2162.0,587579900.0,1303493400.0,610630000.0
2163.0,601655360.0,1211788000.0,589798340.0
2164.0,564647230.0,1221150000.0,580659500.0
2165.0,558482600.0,1188151300.0,637587460.0
2166.0,551431100.0,1191240300.0,579364100.0
2167.0,547752400.0,1262740200.0,572319800.0
2168.0,567533060.0,1257670300.0,571476700.0
2169.0,584130300.0,1253759200.0,568878660.0
2170.0,639890900.0,1231755300.0,609465600.0
2171.0,604425860.0,1219267800.0,575939900.0
2172.0,587576300.0,1239255400.0,570377200.0
2173.0,619214500.0,1301731300.0,565582900.0
2174.0,612354200.0,1296362900.0,564414140.0
2175.0,578497660.0,1313890300.0,563310140.0
2176.0,579925200.0,1307357800.0,599339000.0
2177.0,574439300.0,1305623900.0,635562050.0
2178.0,572683400.0,1303840800.0,600339650.0
2179.0,576011600.0,1401765400.0,578797760.0
2180.0,705234800.0,1329938800.0,578804860.0
2181.0,588400700.0,1320490400.0,572020900.0
2182.0,598701630.0,1326503400.0,573322200.0
2183.0,583255800.0,1322257900.0,657255230.0
2184.0,579293800.0,1321045900.0,596953100.0
2185.0,571884300.0,1385063300.0,576833800.0
2186.0,568727300.0,1390673800.0,641648400.0
2187.0,567989060.0,1394642400.0,693558300.0
2188.0,565697000.0,1391434400.0,619736700.0
2189.0,564089100.0,1373211600.0,608229570.0
2190.0,566405500.0,1350531100.0,605940700.0
2191.0,624705900.0,1340150900.0,669362600.0
2192.0,564958660.0,1335465600.0,636711600.0
2193.0,760409400.0,1339800600.0,644242300.0
2194.0,604678600.0,1327116900.0,616430460.0
2195.0,570802500.0,1321857400.0,619671230.0
2196.0,560545540.0,1309453800.0,685259400.0
2197.0,624112640.0,1300385400.0,637462140.0
2198.0,562877630.0,1279423000.0,640510100.0
2199.0,572224200.0,1266250600.0,630645250.0
2200.0,559114050.0,1238330800.0,692028160.0
2201.0,586888770.0,1220274800.0,658194050.0
2202.0,556953500.0,1218470500.0,651756350.0
2203.0,562587460.0,1193297300.0,643062600.0
2204.0,578277760.0,1173614800.0,643433860.0
2205.0,558059600.0,1180239100.0,641308160.0
2206.0,559973200.0,1175510300.0,642939100.0
2207.0,702754100.0,1146251800.0,698305000.0
2208.0,625539200.0,1127245200.0,653187700.0
2209.0,588336500.0,1114711000.0,651044100.0
2210.0,575328960.0,1104287600.0,640484030.0
2211.0,568723800.0,1086523300.0,645398300.0
2212.0,567253100.0,1074017800.0,642567200.0
2213.0,564145000.0,1053990850.0,636976500.0
2214.0,562045630.0,1044793660.0,669343360.0
2215.0,594329340.0,1113815300.0,703840100.0
2216.0,595859800.0,1049350000.0,671686100.0
2217.0,575000200.0,1043913900.0,644682050.0
2218.0,561892800.0,1073731100.0,639351100.0
2219.0,653551940.0,1143824400.0,634803200.0
2220.0,658177700.0,1064602100.0,632147600.0
2221.0,607589250.0,1177286800.0,669086000.0
2222.0,576166700.0,1114020000.0,672684740.0
2223.0,578370050.0,1118769800.0,645722750.0
2224.0,567355500.0,1133781100.0,632255170.0
2225.0,572196500.0,1153126700.0,632925630.0
2226.0,564818750.0,1149967100.0,861168800.0
2227.0,584478900.0,1254091500.0,787181400.0
2228.0,634348160.0,1158732900.0,746629440.0
2229.0,672278100.0,1168591500.0,737223550.0
2230.0,592220500.0,1149441300.0,779865340.0
2231.0,584870460.0,1146636200.0,775263900.0
2232.0,585251200.0,1145823900.0,731494600.0
2233.0,592586300.0,1144526700.0,718023600.0
2234.0,581137900.0,1163109500.0,714514560.0
2235.0,580137100.0,1147987200.0,710872960.0
2236.0,667211900.0,1143555600.0,703567740.0
2237.0,606573000.0,1137270100.0,749673100.0
2238.0,616906240.0,1133147400.0,700387300.0
2239.0,598808800.0,1194312800.0,695925950.0
2240.0,594928060.0,1169242100.0,698104000.0
2241.0,601111740.0,1135794700.0,686791550.0
2242.0,749423500.0,1151004800.0,708993660.0
2243.0,658209900.0,1134898600.0,694925630.0
2244.0,629971500.0,1132173300.0,687589300.0
2245.0,606777540.0,1124161500.0,681553200.0
2246.0,602372350.0,1119699500.0,709247040.0
2247.0,603111100.0,1112968000.0,693016200.0
2248.0,598800100.0,1105544700.0,793272260.0
2249.0,647231940.0,1100060500.0,792125800.0
