time,CCSM4,GFDL-CM3,CESM1-CAM5,GISS-E2-R,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,IPSL-CM5A-LR
2079.0,11496282000000.0,9879113000000.0,10795882000000.0,12618706000000.0,11979682000000.0,12562552000000.0,12196328000000.0,11627288000000.0
2080.0,11408116000000.0,9765157000000.0,10692242000000.0,12599804000000.0,11916239000000.0,12542460000000.0,12160053000000.0,11573968000000.0
2081.0,11350254000000.0,9670048000000.0,10602889000000.0,12549835000000.0,11855088000000.0,12530651000000.0,12090671000000.0,11530544000000.0
2082.0,11270613000000.0,9562655000000.0,10487960000000.0,12519442000000.0,11785772000000.0,12494709000000.0,12061721000000.0,11465444000000.0
2083.0,11181408000000.0,9451061000000.0,10383423000000.0,12503438000000.0,11721266000000.0,12468281000000.0,11990951000000.0,11432025000000.0
2084.0,11134537000000.0,9302877000000.0,10257309000000.0,12465952000000.0,11680060000000.0,12450483000000.0,11948122000000.0,11386354000000.0
2085.0,11100495000000.0,9149308000000.0,10133599000000.0,12414244000000.0,11616597000000.0,12440045000000.0,11917630000000.0,11334423000000.0
2086.0,11043620000000.0,9009974000000.0,10036391000000.0,12395617000000.0,11563732000000.0,12394652000000.0,11869745000000.0,11266744000000.0
2087.0,11008230000000.0,8868358000000.0,9933199000000.0,12328313000000.0,11485136000000.0,12349933000000.0,11801929000000.0,11183806000000.0
2088.0,10937041000000.0,8730311700000.0,9819775000000.0,12301062000000.0,11396952000000.0,12320687000000.0,11720894000000.0,11128374000000.0
2089.0,10809067000000.0,8610550000000.0,9720071000000.0,12269613000000.0,11288574000000.0,12274386000000.0,11677789000000.0,11064899000000.0
2090.0,10747588000000.0,8475242400000.0,9621458000000.0,12250216000000.0,11197250000000.0,12223883000000.0,11623117000000.0,10965750000000.0
2091.0,10679948000000.0,8352637600000.0,9535195000000.0,12201358000000.0,11134646000000.0,12199508000000.0,11588107000000.0,10921454000000.0
2092.0,10624633000000.0,8235344000000.0,9408813000000.0,12170168000000.0,11057881000000.0,12180900000000.0,11547173000000.0,10876716000000.0
2093.0,10571647000000.0,8102070500000.0,9335468000000.0,12133471000000.0,10969116000000.0,12153155000000.0,11515585000000.0,10796904000000.0
2094.0,10501181000000.0,7966948000000.0,9251149000000.0,12089307000000.0,10855897000000.0,12117963000000.0,11493020000000.0,10723489000000.0
2095.0,10436432000000.0,7862796400000.0,9154218000000.0,12039795000000.0,10762140000000.0,12086722000000.0,11444165000000.0,10641262000000.0
2096.0,10362494000000.0,7723878000000.0,9060836000000.0,11998607000000.0,10709857000000.0,12040885000000.0,11380882000000.0,10580775000000.0
2097.0,10269826000000.0,7625241000000.0,8959435000000.0,11932589000000.0,10658540000000.0,12015805000000.0,11335922000000.0,10500225000000.0
2098.0,10213065000000.0,7508724300000.0,8878501000000.0,11898250000000.0,10618474000000.0,12004160000000.0,11282291000000.0,10430392000000.0
2099.0,10151289000000.0,7393501500000.0,8779766700000.0,11813772000000.0,10550045000000.0,11972012000000.0,11244548000000.0,10334798000000.0
2100.0,10055181000000.0,7292268000000.0,8702195000000.0,11803362000000.0,10467408000000.0,11940193000000.0,11220777000000.0,10251810000000.0
