time,GISS-E2-R,GFDL-CM3,CCSM4,CNRM-CM5,MPI-ESM-LR,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M,CANESM2
2089.0,12591945000000.0,9705077000000.0,12165248000000.0,10950354000000.0,11612759000000.0,11877380000000.0,12177794000000.0,13076619000000.0,11560176000000.0,11094512000000.0
2090.0,12578161000000.0,9648495000000.0,12141389000000.0,10917781000000.0,11590958000000.0,11833180000000.0,12174231000000.0,13080691000000.0,11533134000000.0,11042818000000.0
2091.0,12565708000000.0,9580547000000.0,12117989000000.0,10871210000000.0,11545571000000.0,11797141000000.0,12164591000000.0,13079090000000.0,11505395000000.0,10971988000000.0
2092.0,12546754000000.0,9479326000000.0,12055552000000.0,10825955000000.0,11507009000000.0,11798803000000.0,12146674000000.0,13047480000000.0,11474896000000.0,10946687000000.0
2093.0,12533884000000.0,9383524000000.0,12018587000000.0,10773771000000.0,11468790000000.0,11775449000000.0,12101575000000.0,13044685000000.0,11460252000000.0,10901341000000.0
2094.0,12526291000000.0,9274574000000.0,11988445000000.0,10734205000000.0,11443035000000.0,11743791000000.0,12071796000000.0,13048939000000.0,11439823000000.0,10842413000000.0
2095.0,12497642000000.0,9177239000000.0,11979702000000.0,10686228000000.0,11412356000000.0,11723414000000.0,12047843000000.0,13045253000000.0,11413296000000.0,10815438000000.0
2096.0,12480457000000.0,9101156000000.0,11935770000000.0,10623744000000.0,11386045000000.0,11707367000000.0,12027740000000.0,13038809000000.0,11380368000000.0,10782663000000.0
2097.0,12468076000000.0,9021505000000.0,11919603000000.0,10570719000000.0,11321473000000.0,11686454000000.0,12019881000000.0,13052948000000.0,11349016000000.0,10737495000000.0
2098.0,12451568000000.0,8948587000000.0,11934331000000.0,10498942000000.0,11279282000000.0,11661774000000.0,11989440000000.0,13058117000000.0,11309289000000.0,10698869000000.0
2099.0,12442025000000.0,8877051000000.0,11934254000000.0,10450436000000.0,11244985000000.0,11649426000000.0,11959214000000.0,13057712000000.0,11296607000000.0,10658550000000.0
2100.0,12434875000000.0,8795412000000.0,11924168000000.0,10411156000000.0,11202389000000.0,11629253000000.0,11941568000000.0,13054219000000.0,11273199000000.0,10613949000000.0
