time,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,MRI-ESM2-0
2224.0,4306148300000.0,8443037000000.0,1402677800000.0,6588578000000.0
2225.0,4297861000000.0,8421489000000.0,1391468500000.0,6587102500000.0
2226.0,4280058400000.0,8381773000000.0,1383096100000.0,6582139000000.0
2227.0,4269096800000.0,8359786000000.0,1375609700000.0,6581862000000.0
2228.0,4252671000000.0,8338731000000.0,1365973900000.0,6579820700000.0
2229.0,4241892600000.0,8325212000000.0,1353254800000.0,6580143000000.0
2230.0,4232959200000.0,8319322300000.0,1338470400000.0,6582045000000.0
2231.0,4220830600000.0,8287493000000.0,1329359500000.0,6592392600000.0
2232.0,4210871800000.0,8275724600000.0,1321285500000.0,6590409700000.0
2233.0,4199610000000.0,8267027000000.0,1311424000000.0,6593289700000.0
2234.0,4187025000000.0,8263972000000.0,1302718800000.0,6593226000000.0
2235.0,4175117400000.0,8239426000000.0,1296683600000.0,6593066000000.0
2236.0,4165335000000.0,8218410000000.0,1291164700000.0,6592557000000.0
2237.0,4147227000000.0,8205602700000.0,1286257100000.0,6591000000000.0
2238.0,4129976000000.0,8206910000000.0,1277454000000.0,6592275000000.0
2239.0,4113469300000.0,8201791600000.0,1267347100000.0,6585591500000.0
2240.0,4093107000000.0,8195394000000.0,1259873500000.0,6590536000000.0
2241.0,4073182500000.0,8194789700000.0,1250278500000.0,6598736000000.0
2242.0,4057933800000.0,8165878400000.0,1240664000000.0,6611389000000.0
2243.0,4047019000000.0,8168079000000.0,1232815500000.0,6612462000000.0
2244.0,4027693700000.0,8140398000000.0,1225432400000.0,6617260600000.0
2245.0,4016596600000.0,8117259000000.0,1210890200000.0,6627686000000.0
2246.0,4008388000000.0,8119697000000.0,1199365600000.0,6635218500000.0
2247.0,3997507000000.0,8104927300000.0,1192018000000.0,6641721300000.0
2248.0,3980708500000.0,8081250000000.0,1186855100000.0,6646501700000.0
2249.0,3959933600000.0,8049698000000.0,1176363000000.0,6649387000000.0
2250.0,3942919200000.0,8024025500000.0,1170349000000.0,6662888000000.0
2251.0,3939662000000.0,8025722000000.0,1161830000000.0,6673290000000.0
2252.0,3927325500000.0,7998755300000.0,1156493300000.0,6681589700000.0
2253.0,3915170400000.0,7977430000000.0,1147984200000.0,6692549400000.0
2254.0,3898005300000.0,7964210000000.0,1137143700000.0,6705262000000.0
2255.0,3886682200000.0,7955444000000.0,1130472000000.0,6709368600000.0
2256.0,3871678100000.0,7947462000000.0,1125181300000.0,6715174600000.0
2257.0,3858582000000.0,7921373500000.0,1117490900000.0,6728143000000.0
2258.0,3844614000000.0,7892902600000.0,1108608300000.0,6739496300000.0
2259.0,3829882400000.0,7869634700000.0,1101619100000.0,6747302000000.0
2260.0,3814902000000.0,7844409000000.0,1095418000000.0,6755167000000.0
2261.0,3801418000000.0,7798213600000.0,1091307770000.0,6760533300000.0
2262.0,3788582700000.0,7775440600000.0,1082622900000.0,6772892400000.0
2263.0,3781656300000.0,7750877000000.0,1073457140000.0,6775266300000.0
2264.0,3766439600000.0,7736813700000.0,1065408400000.0,6786736700000.0
2265.0,3746573300000.0,7709755700000.0,1058047070000.0,6794798000000.0
2266.0,3735545200000.0,7692494600000.0,1053603200000.0,6797488000000.0
2267.0,3723711200000.0,7671612000000.0,1044486600000.0,6811251400000.0
2268.0,3710906000000.0,7647831500000.0,1035796150000.0,6806010000000.0
2269.0,3698316300000.0,7617247700000.0,1027779130000.0,6812075000000.0
2270.0,3683015200000.0,7596348000000.0,1020721700000.0,6807173000000.0
2271.0,3669921000000.0,7573289300000.0,1012723940000.0,6815555000000.0
2272.0,3659104500000.0,7547452000000.0,1002133200000.0,6817653500000.0
2273.0,3645368200000.0,7540387000000.0,990204700000.0,6819387300000.0
2274.0,3632326000000.0,7517649000000.0,982423900000.0,6820675000000.0
2275.0,3618518900000.0,7487761000000.0,973417740000.0,6824970400000.0
2276.0,3609229000000.0,7473424000000.0,967088100000.0,6826089000000.0
2277.0,3597980000000.0,7450512600000.0,957682400000.0,6833508000000.0
2278.0,3590700400000.0,7438819400000.0,946143200000.0,6836111500000.0
2279.0,3573089600000.0,7434167000000.0,934244000000.0,6838959500000.0
2280.0,3558308000000.0,7431503500000.0,926163200000.0,6839251500000.0
2281.0,3549087100000.0,7420611400000.0,917559300000.0,6835607700000.0
2282.0,3543784800000.0,7405032700000.0,906965350000.0,6843630400000.0
2283.0,3529014500000.0,7391810000000.0,895969100000.0,6845639000000.0
2284.0,3517930300000.0,7365490400000.0,889313200000.0,6850117000000.0
2285.0,3512729900000.0,7337655400000.0,883540200000.0,6852025000000.0
2286.0,3502442300000.0,7309327000000.0,874441930000.0,6855070300000.0
2287.0,3491712500000.0,7291602000000.0,868450040000.0,6863452000000.0
2288.0,3483674000000.0,7275671500000.0,860814100000.0,6859142000000.0
2289.0,3475937400000.0,7244344700000.0,851371700000.0,6863607000000.0
2290.0,3465040400000.0,7217889000000.0,840807100000.0,6869083000000.0
2291.0,3456439400000.0,7191204000000.0,831522340000.0,6869849500000.0
2292.0,3448678600000.0,7169191000000.0,824673570000.0,6877325000000.0
2293.0,3442300000000.0,7160034000000.0,816521940000.0,6868479500000.0
2294.0,3442213400000.0,7141793500000.0,808726560000.0,6869944000000.0
2295.0,3440433200000.0,7134743000000.0,800945700000.0,6869064000000.0
2296.0,3437707400000.0,7133821700000.0,792252100000.0,6864237500000.0
2297.0,3436062400000.0,7122212000000.0,784932140000.0,6851782000000.0
2298.0,3431897500000.0,7093974700000.0,779663800000.0,6845005000000.0
2299.0,3428219600000.0,7057919000000.0,773457900000.0,6844535300000.0
2300.0,3420022000000.0,7033648600000.0,766192300000.0,6845266000000.0
