time,CNRM-CM6-1,MIROC6,MPI-ESM1-2-HR,CESM2-WACCM,IITM-ESM,CNRM-ESM2-1,TAIESM1,UKESM1-0-LL,GFDL-ESM4,EC-EARTH3,CANESM5,KACE-1-0-G,IPSL-CM6A-LR,MRI-ESM2-0
2052.0,21508198000.0,33889382000.0,35613237000.0,13948483000.0,40324338000.0,21216328000.0,12937141000.0,13192474000.0,28705161000.0,16748438000.0,18229363000.0,24082164000.0,21576997000.0,25768890000.0
2053.0,21025016000.0,34733044000.0,35467010000.0,13116752000.0,39709983000.0,20215458000.0,12414449000.0,12645901000.0,28282157000.0,17421924000.0,18042368000.0,22508394000.0,21851510000.0,25674457000.0
2054.0,20092862000.0,35361866000.0,33024760000.0,13326849000.0,38580048000.0,20177973000.0,12348504000.0,12070909000.0,29111290000.0,17492687000.0,17239343000.0,22974898000.0,21781494000.0,25210972000.0
2055.0,20130642000.0,36652827000.0,31663620000.0,13230774000.0,37306590000.0,19063374000.0,12328033000.0,12090251000.0,29057765000.0,16867945000.0,17397776000.0,22709303000.0,22257328000.0,25598353000.0
2056.0,18933316000.0,36778594000.0,31204047000.0,12447010000.0,36260057000.0,19710050000.0,12318627000.0,11714409000.0,28228987000.0,18170788000.0,16944998000.0,21952457000.0,22296205000.0,25198467000.0
2057.0,17888969000.0,35376290000.0,31029970000.0,12945816000.0,35175236000.0,21166998000.0,12094471000.0,11131067000.0,27531966000.0,18547470000.0,15876204000.0,21675960000.0,21377665000.0,23891268000.0
2058.0,17057034000.0,33592726000.0,31772130000.0,13074268000.0,34722230000.0,21312897000.0,11901279000.0,11318818000.0,27075734000.0,17856256000.0,15309177000.0,20397734000.0,21059100000.0,24631357000.0
2059.0,16615312000.0,33331948000.0,32599013000.0,12295220000.0,33284444000.0,19936717000.0,11411962000.0,11074039000.0,27954158000.0,18723800000.0,15484089000.0,19111231000.0,20156326000.0,24547084000.0
2060.0,17091699000.0,33690982000.0,32015180000.0,12965879000.0,33437688000.0,19502330000.0,10442021000.0,10095711000.0,28495241000.0,18168082000.0,15201454000.0,18637234000.0,19330759000.0,25008177000.0
2061.0,17059174000.0,32852130000.0,30091495000.0,13259932000.0,34701160000.0,18608992000.0,10633263000.0,10290465000.0,27731591000.0,16749588000.0,14887002000.0,17340756000.0,20202547000.0,25229265000.0
2062.0,17185751000.0,31635134000.0,31114041000.0,12368725000.0,33392296000.0,18140537000.0,10684840000.0,10821502000.0,26480658000.0,17806731000.0,14588500000.0,17304658000.0,20531206000.0,25107315000.0
2063.0,16383900000.0,29778002000.0,32617769000.0,12791646000.0,34325838000.0,17759218000.0,10095311000.0,10920712000.0,26239037000.0,18506838000.0,13872372000.0,16399771000.0,20139137000.0,25717040000.0
