time,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-CM3,GISS-E2-R,CCSM4,CNRM-CM5,CANESM2,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G
2015.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0
2016.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0
2017.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0
2018.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0
2019.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0
2020.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0
2021.0,1911001500.0,1906417900.0,1890023000.0,1915882400.0,1880208500.0,1921984900.0,1905017900.0,1934630400.0,1912030300.0,1942116500.0
2022.0,1873723100.0,1972814500.0,1831919100.0,1861971000.0,1839096600.0,1904083200.0,1872466200.0,1900733400.0,1896963800.0,1883946200.0
2023.0,1861188700.0,1863237500.0,1803774700.0,1814834000.0,1778080100.0,1882416400.0,1840655100.0,1871683000.0,1872777500.0,1994543500.0
2024.0,1831944800.0,1850694100.0,1754673800.0,1763017600.0,1751384600.0,1830212000.0,1761568000.0,1961475600.0,1841079400.0,1870041200.0
2025.0,1831351800.0,1833793500.0,1735450400.0,1814046600.0,1695246600.0,1791020900.0,1727942800.0,1980303700.0,1789090600.0,1805548200.0
2026.0,1774769900.0,1791225700.0,1679344400.0,1694694000.0,1665349400.0,1734537900.0,1692388100.0,1926030500.0,1729423400.0,1757164900.0
2027.0,1761184000.0,1804086400.0,1631345500.0,1672877700.0,1632391000.0,1689960600.0,1653135900.0,1862568800.0,1697180700.0,1741252100.0
2028.0,1736412200.0,1749836900.0,1615793700.0,1733867800.0,1719397000.0,1655523000.0,1632314900.0,1832294700.0,1645543000.0,1708596400.0
2029.0,1673286500.0,1704777600.0,1559354900.0,1622174100.0,1533820400.0,1571788400.0,1634170500.0,1777137200.0,1584584800.0,1671197200.0
2030.0,1620980000.0,1682323000.0,1513945200.0,1572257400.0,1518428900.0,1511588100.0,1548492800.0,1741962500.0,1513207800.0,1611878400.0
2031.0,1559413100.0,1640191100.0,1410299600.0,1544040800.0,1430121600.0,1798686600.0,1559073900.0,1714109700.0,1554081200.0,1607472500.0
2032.0,1513880600.0,1605648900.0,1384361900.0,1510178400.0,1387609900.0,1509954300.0,1456423200.0,1641151900.0,1492387600.0,1562924200.0
2033.0,1469190800.0,1545676500.0,1282602000.0,1455510300.0,1351990900.0,1462963700.0,1413697300.0,1590904200.0,1400165800.0,1533335300.0
2034.0,1408400000.0,1499205200.0,1237079200.0,1378479000.0,1307877400.0,1370867300.0,1380424100.0,1552297000.0,1338608800.0,1571968800.0
2035.0,1362496100.0,1463836800.0,1193695400.0,1347761300.0,1369241200.0,1372839600.0,1298417400.0,1491864600.0,1294340100.0,1469570700.0
2036.0,1304460500.0,1431097200.0,1129397100.0,1321363100.0,1249954800.0,1306700800.0,1243872800.0,1443833000.0,1223074200.0,1436228100.0
2037.0,1278005000.0,1374932000.0,1108963000.0,1296290700.0,1198903800.0,1275755400.0,1208806000.0,1377728400.0,1190821900.0,1383681500.0
2038.0,1211983100.0,1318052000.0,1062612700.0,1246527500.0,1202202900.0,1230567700.0,1166154400.0,1366849900.0,1140238800.0,1355284700.0
2039.0,1156595800.0,1266658800.0,1009801540.0,1200327200.0,1170083000.0,1211595500.0,1119673900.0,1286339500.0,1105080700.0,1308254100.0
2040.0,1219345000.0,1231240400.0,973499400.0,1241738400.0,1098404000.0,1153030800.0,1094802700.0,1269374200.0,1057629500.0,1361200600.0
2041.0,1102509300.0,1181541100.0,1050054000.0,1153847000.0,1073046300.0,1093156700.0,1022855500.0,1234856700.0,1025499900.0,1245089400.0
2042.0,1032829800.0,1146905200.0,905781400.0,1119008900.0,1031285570.0,1100768000.0,967359740.0,1203305300.0,979486850.0,1264024400.0
2043.0,1012970400.0,1117295000.0,857341760.0,1099242000.0,989050430.0,1047956200.0,925776200.0,1152053800.0,947635840.0,1228545000.0
2044.0,978207170.0,1063052200.0,810557200.0,1059406500.0,973187000.0,1001260860.0,865804350.0,1115316000.0,902099300.0,1183926500.0
2045.0,934030400.0,1040547800.0,761963970.0,1029043600.0,938254850.0,975675700.0,806615230.0,1046919400.0,881104300.0,1124517900.0
2046.0,888876300.0,978938900.0,717595200.0,981325900.0,914674600.0,984183940.0,782235200.0,1029228860.0,840663000.0,1091313800.0
2047.0,860228500.0,934227600.0,684163300.0,948963140.0,894081540.0,926372900.0,741607360.0,976706000.0,825956500.0,1059447550.0
2048.0,817879200.0,883548000.0,652943040.0,917555260.0,864610000.0,910848800.0,712925440.0,950502600.0,799904900.0,1029315800.0
2049.0,781877000.0,849501300.0,619438600.0,1264618900.0,842472300.0,880356540.0,659373200.0,919384450.0,757787000.0,988512450.0
2050.0,753705600.0,817284500.0,590852740.0,965963600.0,822740540.0,858028100.0,623286340.0,879794370.0,717744500.0,953700000.0
2051.0,713181440.0,774569150.0,558865600.0,874846660.0,801713340.0,820198500.0,580505340.0,849091650.0,691605200.0,951851650.0
2052.0,687853200.0,744618700.0,511982180.0,857956740.0,781135700.0,790098750.0,542436500.0,814207700.0,684935300.0,909579460.0
2053.0,654292500.0,709886850.0,472627260.0,843976260.0,752438700.0,760699300.0,505972320.0,862695230.0,651447600.0,887289400.0
2054.0,620715460.0,653071100.0,425760960.0,810795840.0,722890700.0,734607550.0,463481860.0,759147140.0,631815550.0,886672260.0
2055.0,601866600.0,610701440.0,377940450.0,821175600.0,696105900.0,711209100.0,424542080.0,709386400.0,610266050.0,849796100.0
2056.0,573256600.0,566957000.0,325706720.0,826423800.0,668008900.0,692785600.0,421971100.0,679357400.0,587607000.0,819267460.0
2057.0,534973250.0,523780700.0,311604860.0,760442750.0,641008450.0,679189500.0,435384770.0,652081540.0,556234560.0,802689000.0
2058.0,508420800.0,489803360.0,282973020.0,743734100.0,666235900.0,747499500.0,373069020.0,608865900.0,527612740.0,783046340.0
2059.0,492204220.0,438232000.0,262605440.0,709859700.0,597236540.0,670433540.0,336868500.0,598259100.0,492081540.0,761936700.0
2060.0,486859330.0,394431550.0,251232720.0,683291260.0,568902500.0,647819900.0,318901470.0,556074240.0,469810000.0,740647200.0
2061.0,459758050.0,364443800.0,233615920.0,668367100.0,540999360.0,622130500.0,311344450.0,516105800.0,456136300.0,711745600.0
2062.0,436985540.0,330632830.0,208735000.0,641360450.0,518565470.0,615719360.0,295322270.0,585077100.0,439452740.0,692499100.0
2063.0,421925950.0,288822820.0,193908290.0,614963500.0,491344100.0,597366000.0,270304500.0,556401000.0,424869760.0,659292500.0
2064.0,397312540.0,254933180.0,173448530.0,648952500.0,474346720.0,577321400.0,244209150.0,479083600.0,402279580.0,642914900.0
2065.0,372804740.0,214199740.0,162239140.0,569991900.0,466619070.0,551702660.0,216659840.0,457966500.0,389346530.0,607435400.0
2066.0,349575600.0,199738960.0,135785000.0,551673150.0,428528640.0,525499870.0,199156270.0,436411740.0,361149950.0,580563200.0
2067.0,331194100.0,175489760.0,125733110.0,536062600.0,405926100.0,514331460.0,184641360.0,407178780.0,338338850.0,563735040.0
2068.0,320607900.0,141345230.0,116771580.0,514105760.0,378931360.0,498849820.0,168369460.0,390124200.0,324098500.0,549878200.0
2069.0,310920580.0,125488400.0,102017370.0,498163170.0,363686430.0,479527170.0,160365980.0,370086240.0,320589340.0,520557660.0
2070.0,285779360.0,104848296.0,85230960.0,479772400.0,350912060.0,454628220.0,153503760.0,351238820.0,321036830.0,504003400.0
2071.0,272597950.0,99392800.0,77851080.0,465264600.0,334806180.0,438692770.0,143775180.0,332394660.0,306071420.0,479774560.0
2072.0,257037950.0,81460620.0,66375836.0,444303580.0,331408100.0,426754400.0,132745224.0,314740300.0,291359260.0,462512540.0
2073.0,239642990.0,73948340.0,51391616.0,433934460.0,313721570.0,406880700.0,115881656.0,290757730.0,278120420.0,462609150.0
2074.0,213297300.0,61528810.0,48132836.0,429399070.0,307349380.0,406368830.0,108765110.0,279643680.0,263834050.0,433310660.0
2075.0,196759970.0,58666736.0,46170150.0,420266400.0,273113060.0,392346400.0,101682110.0,344881060.0,249125040.0,437290000.0
2076.0,186600220.0,49701596.0,44003860.0,400212580.0,260147650.0,362913400.0,88462136.0,268016850.0,223494380.0,426631840.0
2077.0,175121250.0,45012148.0,41840268.0,395689500.0,248430350.0,343613300.0,80665290.0,244593630.0,215966270.0,424283200.0
2078.0,165497680.0,39001940.0,42827256.0,383253200.0,236610700.0,335691840.0,78236424.0,240719040.0,205416620.0,402656260.0
2079.0,137381890.0,38784856.0,33522604.0,373216930.0,230937800.0,314911940.0,72482780.0,235306580.0,197618720.0,377334940.0
2080.0,127475816.0,38529496.0,32141212.0,358045760.0,216502690.0,297371870.0,69599110.0,216808540.0,194748000.0,367397470.0
2081.0,116428040.0,33465414.0,27595196.0,355791580.0,205830660.0,280287870.0,61482396.0,210339820.0,187428370.0,366245440.0
2082.0,102738620.0,33139174.0,24118538.0,339380670.0,197439280.0,261618700.0,54448710.0,205550000.0,178527410.0,348561280.0
2083.0,84845064.0,31390356.0,22643866.0,338058460.0,190800530.0,254869490.0,49529330.0,193381540.0,170570690.0,335431040.0
2084.0,75305930.0,31826376.0,21747686.0,323216030.0,186803520.0,231071420.0,49033040.0,184759300.0,158775540.0,322945730.0
2085.0,68952880.0,28648980.0,20343520.0,312060450.0,173300060.0,216742300.0,43786410.0,172863150.0,153005140.0,307030820.0
2086.0,66691548.0,27702472.0,19259490.0,310547330.0,157723120.0,204171440.0,43249570.0,160743070.0,146184930.0,303696130.0
2087.0,54059850.0,25701998.0,17940056.0,301030270.0,155073220.0,195355420.0,37035304.0,147939970.0,139925260.0,289862300.0
2088.0,52190544.0,22216192.0,15296044.0,280221920.0,150155600.0,190842080.0,34011756.0,142365600.0,132117380.0,272346430.0
2089.0,50245176.0,20431366.0,14890087.0,268838620.0,143933650.0,183049090.0,30598594.0,133115920.0,126887384.0,251536050.0
2090.0,47206370.0,20401468.0,13936909.0,249163700.0,135601310.0,173846770.0,29194716.0,116989496.0,110954120.0,241497070.0
2091.0,46119656.0,18503242.0,12273459.0,243063020.0,131496536.0,162171120.0,27065492.0,107933700.0,107600170.0,228224740.0
2092.0,43935076.0,17445474.0,11803533.0,234672580.0,119345060.0,156609760.0,25999650.0,105221976.0,101944330.0,205317580.0
2093.0,39718850.0,16776440.0,10994684.0,222285260.0,114503670.0,150471790.0,23270468.0,90395704.0,84561370.0,198562220.0
2094.0,34727660.0,16297434.0,9413820.0,211404460.0,104214090.0,139543570.0,20763152.0,79913540.0,81153770.0,187826260.0
2095.0,33674988.0,14165486.0,9027383.0,207303520.0,89510376.0,137280800.0,17140132.0,75850776.0,75421150.0,172943200.0
2096.0,31790386.0,13047220.0,8787237.0,202991740.0,85973250.0,126386490.0,16073944.0,76163130.0,71720080.0,162272580.0
2097.0,28015004.0,12908193.0,8625828.0,210346270.0,79096856.0,123774780.0,14305676.0,71834460.0,70147976.0,144147520.0
2098.0,27229618.0,12634876.0,8419426.0,199861920.0,77609270.0,119057980.0,13553821.0,67366540.0,66584460.0,134788980.0
2099.0,26559450.0,11465881.0,8164968.0,194446880.0,76746840.0,114288360.0,11177524.0,56296988.0,59173550.0,125894504.0
2100.0,26285468.0,9957027.0,6448782.5,186703200.0,73316184.0,99773300.0,10533751.0,55259944.0,56866024.0,118770330.0
