time,CSIRO-MK3-6-0,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G,NORESM1-M
2034.0,1459850000.0,1632197000.0,1658692500.0,1326120200.0,1587248300.0,1391841400.0,1618685400.0,1537649700.0
2035.0,1410244600.0,1609618400.0,1532738600.0,1268251800.0,1545265200.0,1459051100.0,1635489200.0,1518232700.0
2036.0,1379286700.0,1593362000.0,1507237600.0,1231266600.0,1506673200.0,1353392600.0,1579236000.0,1558423400.0
2037.0,1383270000.0,1557314600.0,1490730200.0,1222968400.0,1471155800.0,1316604000.0,1551106600.0,1464393200.0
2038.0,1300874900.0,1551566300.0,1458836200.0,1154856000.0,1435140400.0,1283732900.0,1499593900.0,1432150800.0
2039.0,1241122700.0,1495383200.0,1404508800.0,1088476500.0,1407675300.0,1240261600.0,1469045100.0,1384287500.0
2040.0,1313949600.0,1482810800.0,1362798600.0,1046481100.0,1367798400.0,1237292400.0,1456494200.0,1335107100.0
2041.0,1218008400.0,1452413300.0,1323336800.0,991544500.0,1332617900.0,1195119100.0,1400580200.0,1303620700.0
2042.0,1161550100.0,1442277200.0,1308481500.0,932319550.0,1296028800.0,1429139200.0,1396962600.0,1294231200.0
2043.0,1110577900.0,1431624400.0,1255997700.0,881066940.0,1344357100.0,1403119600.0,1381872500.0,1266055000.0
2044.0,1086062000.0,1387805700.0,1214159400.0,831385860.0,1228290200.0,1220804400.0,1335195800.0,1248590300.0
2045.0,1056285900.0,1357406100.0,1196193900.0,812172900.0,1209526700.0,1147006600.0,1310373200.0,1215313900.0
2046.0,1037636350.0,1587884300.0,1175617500.0,778873860.0,1196015200.0,1123062500.0,1302935900.0,1351551200.0
2047.0,1005145600.0,1349653900.0,1123927600.0,750864600.0,1162112300.0,1089645600.0,1285998600.0,1186284300.0
2048.0,942703600.0,1308270500.0,1093107800.0,721429200.0,1126462000.0,1079222700.0,1248308200.0,1167356400.0
2049.0,919976260.0,1280160400.0,1045971800.0,692023230.0,1089976600.0,1064202240.0,1227409700.0,1143841400.0
2050.0,875746800.0,1261095800.0,1053922000.0,678762100.0,1045256400.0,1040159800.0,1218755100.0,1154058400.0
2051.0,853942600.0,1280342000.0,1295363800.0,671792600.0,1017084740.0,1019745340.0,1193551400.0,1110943700.0
2052.0,822499700.0,1222138100.0,1022236500.0,635879900.0,991456500.0,1029345700.0,1172422500.0,1067833100.0
2053.0,792312960.0,1198438500.0,972181760.0,647799300.0,1028323500.0,1017250100.0,1140797800.0,1130997600.0
2054.0,750482800.0,1175240600.0,948372600.0,580765100.0,1082774900.0,974436000.0,1114559500.0,1167277700.0
2055.0,731950200.0,1147794800.0,933706800.0,557071000.0,952134100.0,957522940.0,1179791200.0,1030562560.0
2056.0,701078200.0,1132073700.0,900730700.0,544666900.0,918109400.0,931787970.0,1083533300.0,999114200.0
2057.0,667837060.0,1111849000.0,873802800.0,528312060.0,892015700.0,904657700.0,1054368960.0,989563800.0
2058.0,655557300.0,1087458800.0,836500900.0,505232480.0,866834700.0,904676160.0,1040108900.0,950339200.0
2059.0,630445200.0,1059096600.0,843213760.0,487858240.0,843550600.0,882985340.0,1040643800.0,1388380300.0
2060.0,622744100.0,1013601540.0,813165700.0,480862400.0,821875650.0,875187460.0,1004079550.0,921537100.0
2061.0,604259600.0,981440800.0,786408800.0,450817570.0,786545600.0,867697150.0,1088055400.0,891375170.0
2062.0,616599740.0,970627460.0,761580800.0,493902600.0,779596600.0,855975200.0,985202240.0,876177860.0
2063.0,563070460.0,945173900.0,740906700.0,432267680.0,759094000.0,842108600.0,973286460.0,938380600.0
2064.0,549960640.0,932427600.0,727675600.0,412678430.0,936747000.0,811040500.0,1048855700.0,885049900.0
2065.0,529526430.0,917526000.0,687296060.0,396717570.0,749502600.0,803658000.0,971588740.0,859972000.0
2066.0,509829380.0,968654000.0,672980900.0,419251650.0,714123460.0,904284350.0,931707650.0,827375550.0
2067.0,499224100.0,895486140.0,652237300.0,373151650.0,693003600.0,832872200.0,927291650.0,802820000.0
2068.0,485733280.0,859969200.0,626041900.0,355399600.0,705269950.0,858219600.0,912418200.0,810457340.0
2069.0,469074530.0,833278850.0,597023100.0,343075100.0,667129600.0,786147650.0,899901250.0,777875400.0
2070.0,449578720.0,800278500.0,573133630.0,326092580.0,638721540.0,763225900.0,890062200.0,746439040.0
2071.0,435607600.0,758132100.0,565431600.0,308760350.0,636472000.0,807660100.0,871530430.0,982929200.0
2072.0,420090460.0,739998000.0,533256800.0,297282720.0,620418200.0,871348000.0,863117950.0,721112600.0
2073.0,410967500.0,721825300.0,530303870.0,278818500.0,605175400.0,762191550.0,851258100.0,695990600.0
2074.0,391262660.0,714501400.0,513892130.0,265889490.0,593165800.0,739961000.0,838109500.0,664762940.0
2075.0,374583230.0,686376450.0,652552260.0,245881330.0,583444160.0,728435000.0,833768100.0,646148400.0
2076.0,360797440.0,673675400.0,491028220.0,233997280.0,552118700.0,717244200.0,808811460.0,626293440.0
2077.0,353569300.0,641127300.0,507882660.0,209717220.0,524385400.0,753996740.0,794669900.0,780619000.0
2078.0,347588000.0,623951100.0,469496670.0,201477540.0,512349570.0,698767000.0,786276740.0,602721700.0
2079.0,337658020.0,603774140.0,463713860.0,190839120.0,493136200.0,680368450.0,761204300.0,568496060.0
2080.0,327270100.0,568411300.0,450435940.0,180790320.0,481002620.0,669355650.0,733373760.0,552380800.0
2081.0,306254000.0,548751940.0,451716130.0,164587380.0,464272670.0,647399200.0,714503000.0,523165920.0
2082.0,292212860.0,523897820.0,432616700.0,150474580.0,474392100.0,651625340.0,681657340.0,509714880.0
2083.0,280280260.0,503528640.0,426848200.0,149780750.0,459381280.0,662827100.0,656114000.0,493627230.0
2084.0,267608180.0,483716500.0,418717470.0,132209896.0,446327200.0,632841860.0,669493760.0,504645000.0
2085.0,248947660.0,451560700.0,397571650.0,126904110.0,497618200.0,627302500.0,633435300.0,462697760.0
2086.0,217006770.0,433428900.0,388987520.0,123773300.0,437329440.0,621370240.0,603064640.0,452410940.0
2087.0,200669520.0,417982820.0,400762700.0,112787540.0,468514080.0,601736260.0,594514940.0,423796540.0
2088.0,195347070.0,386287460.0,385312830.0,108765440.0,423962620.0,584827140.0,543218370.0,416207040.0
2089.0,186273650.0,371163070.0,552200900.0,107277580.0,405866530.0,575564000.0,527126880.0,396843780.0
2090.0,178228600.0,360963550.0,363662500.0,118810830.0,384702750.0,563433400.0,509318600.0,383799420.0
2091.0,165035970.0,341747800.0,352947400.0,98935740.0,365839230.0,548855100.0,490768540.0,358692100.0
2092.0,160367760.0,320683100.0,338075620.0,85973620.0,355112100.0,543295700.0,475215230.0,346788540.0
2093.0,149404820.0,300488670.0,329045000.0,84847464.0,349741570.0,523998270.0,476390530.0,333999300.0
2094.0,140725170.0,287394180.0,325172540.0,81569790.0,361736100.0,511266500.0,467513900.0,318550750.0
2095.0,133727150.0,275977020.0,322635040.0,72551550.0,334341220.0,498934370.0,452797470.0,314630620.0
2096.0,124181660.0,253722030.0,309388960.0,68966100.0,329127070.0,486596350.0,438690340.0,307017380.0
2097.0,109291580.0,260117760.0,299522270.0,68576510.0,315978850.0,509060480.0,457715780.0,302372160.0
2098.0,102146460.0,230686400.0,288796770.0,73233224.0,305014240.0,464996700.0,531194800.0,281876000.0
2099.0,88986904.0,217939070.0,280130900.0,57658456.0,305183840.0,458032800.0,412083840.0,267842320.0
2100.0,81646180.0,261466260.0,274179680.0,56990828.0,294481730.0,448496450.0,398823840.0,252029620.0
