time,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,CCSM4,GFDL-CM3,CESM1-CAM5,CNRM-CM5,NORESM1-M,GFDL-ESM2G,MPI-ESM-LR,CANESM2
2024.0,1837611800.0,1810497400.0,1822551600.0,1823855000.0,1791282200.0,1840256500.0,1887205500.0,1846694700.0,1941715500.0,1900041900.0,1832375300.0
2025.0,1799136500.0,1786275300.0,1763628000.0,1786408000.0,1731807000.0,1799197000.0,1860967300.0,1804305900.0,1865119600.0,1921297400.0,1793354000.0
2026.0,1766987100.0,1790323500.0,1739214100.0,1754482200.0,1679657200.0,1757960300.0,1814884700.0,1758954100.0,1822097500.0,1909283600.0,1742145300.0
2027.0,1690006300.0,1747358600.0,1698495500.0,1713968300.0,1612787000.0,1755626000.0,1749663400.0,1709550100.0,1780113700.0,2049124600.0,1759582200.0
2028.0,1642564100.0,1714270200.0,1717189400.0,1686678800.0,1549913500.0,1669304700.0,1700444900.0,1802937700.0,1741613300.0,1902631800.0,1693952800.0
2029.0,1962312600.0,1709518500.0,1640345300.0,1652356400.0,1456137700.0,1615395600.0,1791061900.0,1668010100.0,1719913700.0,1841153300.0,1650901100.0
2030.0,1587494000.0,1640463700.0,1555942900.0,1618243500.0,1360353900.0,1682756900.0,1658736000.0,1624658400.0,1691800300.0,1801579600.0,1606671700.0
2031.0,1540850600.0,1583896000.0,1491121400.0,1575861500.0,1329954400.0,1557464200.0,1610901000.0,1572391800.0,1662020900.0,1767523500.0,1536328200.0
2032.0,1520501400.0,1559675300.0,1551923600.0,1539672700.0,1256645800.0,1501358300.0,1569042000.0,1519059700.0,1619621800.0,1709586700.0,1492832800.0
2033.0,1467557000.0,1495524900.0,1449948500.0,1493877400.0,1187385600.0,1425781500.0,1530907000.0,1478705800.0,1580888200.0,1684695300.0,1442841900.0
2034.0,1427584000.0,1474727000.0,1385784300.0,1428392100.0,1164254500.0,1398217700.0,1489595100.0,1429529600.0,1536449400.0,1656508300.0,1375040100.0
2035.0,1344128100.0,1404295700.0,1349589900.0,1403885700.0,1064914500.0,1342707200.0,1451603600.0,1386918800.0,1486814100.0,1609082400.0,1337132900.0
2036.0,1323939000.0,1347657000.0,1314574700.0,1442872700.0,991945150.0,1302328600.0,1476277100.0,1370803000.0,1442893700.0,1607716500.0,1309683800.0
2037.0,1341372500.0,1293907000.0,1289595300.0,1344002000.0,943501250.0,1375207600.0,1412609300.0,1348853800.0,1387620100.0,1583293800.0,1238032800.0
2038.0,1264831400.0,1240519700.0,1249628900.0,1342030600.0,864126100.0,1233832800.0,1349989400.0,1290279300.0,1373200400.0,1539180800.0,1212186400.0
2039.0,1219324300.0,1197810300.0,1203666800.0,1295296400.0,828855000.0,1196486300.0,1351421800.0,1250102000.0,1355731000.0,1506790000.0,1173481900.0
2040.0,1201990100.0,1179442200.0,1168888200.0,1240136000.0,797187460.0,1177470000.0,1268070500.0,1211589400.0,1354517200.0,1458198700.0,1112945000.0
2041.0,1184989200.0,1160927900.0,1145227400.0,1210480300.0,744588700.0,1134689500.0,1239726100.0,1155118600.0,1303631500.0,1462518900.0,1094097400.0
2042.0,1138779300.0,1116820600.0,1195374800.0,1181242100.0,708094300.0,1118695400.0,1199313800.0,1110228500.0,1290506200.0,1443229800.0,1030470140.0
2043.0,1075073500.0,1086079900.0,1158347300.0,1156868500.0,643097100.0,1110146600.0,1160728600.0,1086359200.0,1291607000.0,1382998100.0,978586600.0
2044.0,1026401300.0,1052494100.0,1129178000.0,1133122200.0,592703900.0,1060431800.0,1132062100.0,1073236900.0,1289302300.0,1345545600.0,925705540.0
2045.0,1037050600.0,1007579200.0,1127488600.0,1095363700.0,552957060.0,1018576500.0,1123044100.0,1016325100.0,1213793000.0,1322012700.0,908523800.0
2046.0,1066029760.0,989405440.0,1178547100.0,1066061060.0,546423230.0,1022699200.0,1092886100.0,990573400.0,1214716000.0,1309569900.0,875669300.0
2047.0,1007675000.0,932363260.0,1063895040.0,1031156740.0,519931100.0,952476000.0,1062123000.0,954891140.0,1183150800.0,1278105700.0,845616960.0
2048.0,956626700.0,892111000.0,1035598000.0,999725800.0,498101570.0,926623700.0,1032790340.0,921018430.0,1185760500.0,1266506100.0,824411260.0
2049.0,938523500.0,848487600.0,1012884740.0,980957800.0,479859230.0,886004900.0,1005960300.0,886278660.0,1136955000.0,1220005200.0,795216830.0
2050.0,883414340.0,902724860.0,1003749900.0,955269900.0,437568640.0,838875800.0,1003608450.0,873036350.0,1110336600.0,1197986700.0,748527900.0
2051.0,896787100.0,818679500.0,965913150.0,921759600.0,404945150.0,814159040.0,991984260.0,870615200.0,1086162000.0,1145520100.0,723543900.0
2052.0,825171600.0,784398660.0,917824450.0,920400700.0,394095740.0,899462340.0,954022660.0,808879500.0,1068973100.0,1158633700.0,714547800.0
2053.0,799931200.0,752015740.0,884792600.0,897818430.0,354634100.0,813164160.0,937037400.0,800412500.0,1048784960.0,1352651100.0,677067300.0
2054.0,781705700.0,731890300.0,859076350.0,847829200.0,334531680.0,782955500.0,916494100.0,777002560.0,1024656450.0,1391296100.0,656363840.0
2055.0,740782200.0,704263900.0,845548500.0,837118850.0,327218500.0,758935600.0,890286660.0,750318140.0,995224260.0,1217432200.0,623219700.0
2056.0,699172600.0,737634750.0,821255040.0,798761700.0,310697760.0,746282400.0,861761340.0,708671900.0,974566800.0,1096597500.0,640925900.0
2057.0,678023230.0,669704400.0,809080000.0,778070700.0,297317150.0,721379700.0,849595700.0,712480450.0,1006103550.0,1127816600.0,592341100.0
2058.0,648999700.0,637297800.0,787670460.0,750215400.0,279197440.0,695478600.0,820109950.0,670787140.0,949831300.0,1058001000.0,577213300.0
2059.0,641241860.0,664265340.0,794695900.0,699346560.0,272459740.0,681459840.0,827684700.0,653537860.0,1001073700.0,1024092740.0,543289500.0
2060.0,611482400.0,603738100.0,783664200.0,679745100.0,254197710.0,655634000.0,789337300.0,630386300.0,946692860.0,1018610600.0,526617340.0
2061.0,594760770.0,577091400.0,757489660.0,660752600.0,220417840.0,640465100.0,767367230.0,698603100.0,920786200.0,988256100.0,503835900.0
2062.0,564010940.0,617475400.0,765326200.0,643319230.0,208765550.0,614325250.0,746757250.0,600775000.0,914891700.0,969089540.0,499969950.0
2063.0,523919360.0,546095600.0,743429600.0,635450560.0,199648820.0,591760640.0,726138300.0,582571400.0,899280700.0,933537100.0,482737120.0
2064.0,487088350.0,524180160.0,798368100.0,614973950.0,189409760.0,576249150.0,710348740.0,568887200.0,879434430.0,917165440.0,468198530.0
2065.0,451232900.0,503174340.0,745143300.0,585263360.0,181220460.0,563197000.0,672205900.0,558702400.0,1078413300.0,994747300.0,455232540.0
2066.0,428557300.0,486402270.0,716717000.0,570144060.0,204900320.0,545299800.0,658410100.0,531359840.0,866386940.0,892179840.0,448710940.0
2067.0,408212860.0,479652450.0,703528400.0,551761700.0,174504820.0,530531360.0,641941000.0,518567740.0,1095525500.0,1392198900.0,429726400.0
2068.0,393948000.0,464215460.0,745697100.0,625403200.0,169487630.0,511345440.0,623532600.0,502742240.0,871465540.0,909384300.0,428462700.0
2069.0,386827620.0,493086560.0,684266240.0,521259900.0,155677840.0,491582750.0,605900700.0,483070240.0,899497300.0,1008013500.0,416039140.0
2070.0,357195800.0,444369180.0,660605200.0,504754800.0,144772430.0,471922750.0,604642200.0,475540000.0,834744500.0,862890750.0,407168670.0
2071.0,335070340.0,439585660.0,631582500.0,488577600.0,140770990.0,462206300.0,592422900.0,461018080.0,819693900.0,857397600.0,397267040.0
2072.0,323195840.0,420399520.0,612578240.0,460723170.0,131024900.0,444591840.0,568323400.0,454084830.0,813164160.0,835390500.0,390433920.0
2073.0,309419000.0,408826300.0,602296450.0,443312900.0,125933064.0,435457120.0,544133200.0,438767000.0,802006400.0,825801860.0,380499550.0
2074.0,289596930.0,399543840.0,584666600.0,440833150.0,120237510.0,424350340.0,531357760.0,431352220.0,793080640.0,819331700.0,371989800.0
2075.0,280428540.0,389753200.0,577707650.0,430356670.0,113327570.0,406825180.0,522596830.0,425243330.0,782689540.0,794153800.0,366403680.0
2076.0,303432260.0,378468860.0,558697860.0,421028640.0,107344200.0,388848960.0,501910900.0,414478400.0,776865300.0,801808700.0,351428830.0
2077.0,297594080.0,372239550.0,545283700.0,411485300.0,135787260.0,376839500.0,493706600.0,406884000.0,868351100.0,897173400.0,343426530.0
2078.0,273784350.0,367453800.0,538903740.0,413317300.0,102750530.0,377890400.0,495748030.0,404322100.0,793464400.0,775760500.0,341617800.0
2079.0,251547230.0,362455700.0,811520830.0,401037150.0,96303720.0,352547420.0,513900220.0,408195260.0,929860350.0,762395100.0,334299000.0
2080.0,253674980.0,366925250.0,551911300.0,388541500.0,91416744.0,386185440.0,470384100.0,393625300.0,766467600.0,987502800.0,321191970.0
2081.0,232906600.0,357204130.0,519689200.0,437909630.0,82372830.0,335117120.0,463130080.0,386885470.0,753950800.0,755213800.0,314848060.0
2082.0,220522750.0,345414180.0,506066270.0,386787230.0,79768520.0,365720130.0,447683070.0,380747070.0,746045760.0,733454700.0,306069380.0
2083.0,206627070.0,334788000.0,504086660.0,377204300.0,129244110.0,394805860.0,533671040.0,375349220.0,736346200.0,721483000.0,297408480.0
2084.0,221364220.0,332513380.0,499878940.0,414078980.0,83780290.0,330537200.0,456874700.0,371977440.0,731521540.0,710526300.0,287731650.0
2085.0,200120270.0,322459460.0,485920830.0,375383330.0,81743850.0,315248930.0,434094370.0,363353340.0,736220160.0,712591600.0,290959500.0
2086.0,192584620.0,318479580.0,479341470.0,368973760.0,78479890.0,517406180.0,431436960.0,361073470.0,775927100.0,698368060.0,278019650.0
2087.0,182239520.0,313307420.0,587172800.0,358855360.0,74929140.0,327528220.0,418772960.0,356617760.0,712874500.0,683835400.0,267811840.0
2088.0,169472370.0,309088130.0,506339170.0,352462800.0,74116960.0,312508480.0,407425150.0,343487700.0,706848830.0,681551200.0,257773580.0
2089.0,167670350.0,304244400.0,476831550.0,351579400.0,73422680.0,294783070.0,403310800.0,342417100.0,708730560.0,659403970.0,258136270.0
2090.0,163575170.0,299764320.0,532774180.0,345582530.0,73726320.0,315402020.0,401015940.0,338232200.0,840461400.0,646637300.0,275111970.0
2091.0,154746540.0,677024400.0,457422820.0,346872450.0,71728460.0,286262720.0,393219420.0,362937730.0,786961100.0,633161400.0,302067740.0
2092.0,267251790.0,338288700.0,449450700.0,340464200.0,72592730.0,273701800.0,426190720.0,334716060.0,693104300.0,616395970.0,255112450.0
2093.0,165767860.0,298350530.0,442907000.0,340622300.0,74874136.0,275911500.0,386965220.0,321805020.0,685553500.0,597911700.0,229525360.0
2094.0,223376290.0,284456450.0,436564860.0,339796200.0,71079970.0,280679580.0,376317800.0,313997280.0,683044740.0,586594800.0,229614480.0
2095.0,160695310.0,278995460.0,432467330.0,339372900.0,80853710.0,269298240.0,368658850.0,308596800.0,721464960.0,575489540.0,221379150.0
2096.0,148920700.0,271467070.0,434794430.0,328830750.0,79310000.0,257644050.0,363436800.0,303315100.0,729329000.0,576687550.0,217510450.0
2097.0,142018060.0,260706060.0,435703500.0,321187360.0,78681520.0,251102540.0,354087170.0,297160540.0,846385000.0,558389760.0,214714990.0
2098.0,140976370.0,318115500.0,429480100.0,316187800.0,72255736.0,243187980.0,378055970.0,293879780.0,738433860.0,541874050.0,208047170.0
2099.0,135592220.0,259699650.0,424639800.0,369249500.0,67361860.0,240385950.0,351633800.0,318336900.0,683044900.0,542056500.0,207149360.0
2100.0,124866820.0,251471020.0,456840540.0,309283300.0,66247050.0,238833170.0,353821020.0,290100900.0,923189200.0,508539970.0,218227400.0
