time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2033.0,33694794000.0,33744860000.0,33740761000.0,33294744000.0,33883193000.0,33577523000.0,33800470000.0,33677285000.0,33418928000.0,33523194000.0,33720254000.0
2034.0,33671016000.0,33710668000.0,33738285000.0,33234758000.0,33873172000.0,33532094000.0,33795523000.0,33648920000.0,33338986000.0,33461604000.0,33690384000.0
2035.0,33639277000.0,33670377000.0,33766922000.0,33182601000.0,33870373000.0,33489097000.0,33771508000.0,33598628000.0,33239302000.0,33382875000.0,33670318000.0
2036.0,33611354000.0,33632039000.0,33699754000.0,33134940000.0,33836986000.0,33442478000.0,33759658000.0,33563707000.0,33145547000.0,33256440000.0,33641888000.0
2037.0,33553697000.0,33586230000.0,33680087000.0,33051116000.0,33829552000.0,33356159000.0,33730345000.0,33537645000.0,33065853000.0,33159068000.0,33593258000.0
2038.0,33521363000.0,33551845000.0,33649973000.0,32945097000.0,33768684000.0,33300871000.0,33711070000.0,33486182000.0,32933442000.0,33058478000.0,33553695000.0
2039.0,33464726000.0,33508071000.0,33630226000.0,32882948000.0,33718729000.0,33230279000.0,33676687000.0,33439136000.0,32758760000.0,32885574000.0,33519294000.0
2040.0,33354125000.0,33471877000.0,33595044000.0,32826350000.0,33700430000.0,33160794000.0,33656270000.0,33291614000.0,32625826000.0,32720181000.0,33460603000.0
2041.0,33291220000.0,33374923000.0,33569583000.0,32732470000.0,33622727000.0,33101404000.0,33632300000.0,33215312000.0,32482759000.0,32588870000.0,33415890000.0
2042.0,33202827000.0,33310702000.0,33527765000.0,32589818000.0,33595353000.0,32964356000.0,33599142000.0,33142888000.0,32281635000.0,32430820000.0,33328304000.0
2043.0,33124084000.0,33251965000.0,33453800000.0,32484502000.0,33545226000.0,32899879000.0,33576557000.0,32958720000.0,32130877000.0,32230810000.0,33252612000.0
2044.0,33051935000.0,33166612000.0,33400242000.0,32411156000.0,33469624000.0,32757938000.0,33557070000.0,32821430000.0,31880894000.0,32003455000.0,33163827000.0
2045.0,32947997000.0,33054886000.0,33358825000.0,32261847000.0,33416260000.0,32653271000.0,33522016000.0,32686414000.0,31651994000.0,31772510000.0,33103335000.0
2046.0,32860066000.0,32990556000.0,33314828000.0,32107694000.0,33332466000.0,32506753000.0,33500100000.0,32539152000.0,31448140000.0,31583668000.0,33019330000.0
2047.0,32774863000.0,32933392000.0,33274700000.0,32022262000.0,33247926000.0,32357829000.0,33473870000.0,32383967000.0,31241402000.0,31305337000.0,32969507000.0
2048.0,32645943000.0,32874246000.0,33199577000.0,31904637000.0,33161955000.0,32223099000.0,33436400000.0,32222437000.0,30963139000.0,31115936000.0,32909670000.0
2049.0,32551934000.0,32765874000.0,33136427000.0,31812932000.0,33108939000.0,32107300000.0,33396490000.0,32002351000.0,30689970000.0,30865840000.0,32798851000.0
2050.0,32416838000.0,32707404000.0,33081653000.0,31747672000.0,33044568000.0,31924634000.0,33344514000.0,31812930000.0,30445437000.0,30652164000.0,32721316000.0
2051.0,32269769000.0,32634708000.0,33020815000.0,31636638000.0,32983806000.0,31863187000.0,33292320000.0,31656102000.0,30175210000.0,30350486000.0,32652016000.0
2052.0,32122763000.0,32538522000.0,32891419000.0,31549043000.0,32870355000.0,31702823000.0,33252458000.0,31446073000.0,29792088000.0,30053034000.0,32569113000.0
2053.0,31991239000.0,32435829000.0,32835484000.0,31421932000.0,32748360000.0,31550005000.0,33212041000.0,31244114000.0,29550380000.0,29835244000.0,32468077000.0
2054.0,31874808000.0,32282532000.0,32780476000.0,31286632000.0,32683178000.0,31437187000.0,33172855000.0,30895176000.0,29321196000.0,29591460000.0,32398514000.0
2055.0,31748053000.0,32203776000.0,32714482000.0,31138180000.0,32619921000.0,31275830000.0,33131037000.0,30600503000.0,29042730000.0,29211509000.0,32322003000.0
2056.0,31593828000.0,32136423000.0,32649497000.0,31014089000.0,32557052000.0,31105320000.0,33084815000.0,30392166000.0,28694235000.0,28806935000.0,32174225000.0
2057.0,31452592000.0,32041038000.0,32613495000.0,30797238000.0,32484362000.0,30963649000.0,33011347000.0,30108357000.0,28402246000.0,28415257000.0,32070674000.0
2058.0,31317699000.0,31952996000.0,32523030000.0,30542848000.0,32353298000.0,30736796000.0,33033286000.0,29795523000.0,28080292000.0,27911766000.0,31968979000.0
2059.0,31215632000.0,31856330000.0,32479370000.0,30366142000.0,32256310000.0,30608593000.0,32965315000.0,29533098000.0,27775610000.0,27473043000.0,31858220000.0
2060.0,31066137000.0,31666434000.0,32426880000.0,30211428000.0,32133421000.0,30432890000.0,32924670000.0,29258635000.0,27394875000.0,26980430000.0,31777081000.0
2061.0,30966782000.0,31554564000.0,32334148000.0,30005164000.0,32042588000.0,30247672000.0,32887714000.0,29075240000.0,27031312000.0,26497241000.0,31685257000.0
2062.0,30858527000.0,31469750000.0,32287386000.0,29783230000.0,31943143000.0,30088524000.0,32847688000.0,28762276000.0,26625440000.0,26080985000.0,31581852000.0
2063.0,30658865000.0,31364858000.0,32253233000.0,29556064000.0,31821240000.0,29925118000.0,32782000000.0,28403292000.0,26335180000.0,25750467000.0,31453862000.0
2064.0,30511978000.0,31220847000.0,32188890000.0,29348592000.0,31741837000.0,29730994000.0,32758424000.0,28023884000.0,25979769000.0,25439597000.0,31351767000.0
2065.0,30402148000.0,31011131000.0,32055507000.0,29152550000.0,31577741000.0,29474896000.0,32680255000.0,27847250000.0,25743958000.0,25062824000.0,31259234000.0
2066.0,30246658000.0,30928478000.0,31991091000.0,29001357000.0,31467835000.0,29338915000.0,32616258000.0,27496767000.0,25413200000.0,24593070000.0,31153793000.0
2067.0,30096026000.0,30793273000.0,31918053000.0,28850983000.0,31348476000.0,29141068000.0,32524143000.0,27298021000.0,25003792000.0,24186014000.0,31035777000.0
2068.0,29824530000.0,30613120000.0,31868799000.0,28647457000.0,31188677000.0,28969705000.0,32466274000.0,27113277000.0,24482510000.0,23820794000.0,30838233000.0
2069.0,29636639000.0,30525778000.0,31794713000.0,28440148000.0,31039545000.0,28828291000.0,32414405000.0,26868130000.0,24125020000.0,23313684000.0,30685782000.0
2070.0,29523001000.0,30399519000.0,31719991000.0,28205232000.0,30917102000.0,28612092000.0,32349252000.0,26622835000.0,23686960000.0,22835059000.0,30600680000.0
2071.0,29431290000.0,30262057000.0,31666770000.0,27913925000.0,30784375000.0,28461935000.0,32312330000.0,26272520000.0,23262005000.0,22443129000.0,30486823000.0
2072.0,29226455000.0,30140512000.0,31600878000.0,27620671000.0,30689739000.0,28262859000.0,32243855000.0,25974385000.0,22803773000.0,22006915000.0,30381072000.0
2073.0,28929683000.0,30092347000.0,31530086000.0,27361454000.0,30502960000.0,28059132000.0,32194236000.0,25545680000.0,22417359000.0,21600680000.0,30260740000.0
2074.0,28799099000.0,29997732000.0,31432490000.0,27106728000.0,30387638000.0,27861391000.0,32130970000.0,25080183000.0,21917354000.0,21146038000.0,30114986000.0
2075.0,28539611000.0,29846723000.0,31360131000.0,26817634000.0,30300019000.0,27595045000.0,32080794000.0,24654363000.0,21376369000.0,20810174000.0,30006143000.0
2076.0,28313815000.0,29745617000.0,31251624000.0,26617580000.0,30116575000.0,27371800000.0,31972266000.0,24179479000.0,20831724000.0,20426402000.0,29853331000.0
2077.0,28093170000.0,29640140000.0,31103468000.0,26354889000.0,29986480000.0,27120548000.0,31903191000.0,23818797000.0,20330656000.0,20036796000.0,29695340000.0
2078.0,27833800000.0,29457232000.0,31019321000.0,26156038000.0,29860370000.0,26895909000.0,31842087000.0,23450730000.0,19816800000.0,19606979000.0,29588765000.0
2079.0,27581487000.0,29334591000.0,30930035000.0,25906720000.0,29630620000.0,26672750000.0,31766727000.0,23123255000.0,19368524000.0,18974124000.0,29487442000.0
2080.0,27311240000.0,29244162000.0,30758770000.0,25761810000.0,29424177000.0,26441392000.0,31649161000.0,22798682000.0,18917376000.0,18560164000.0,29357100000.0
2081.0,27110808000.0,29054970000.0,30637314000.0,25515362000.0,29166758000.0,26195341000.0,31565220000.0,22380261000.0,18542356000.0,18264500000.0,29255674000.0
2082.0,26931570000.0,28875340000.0,30546164000.0,25334925000.0,28904317000.0,25964150000.0,31479286000.0,21978343000.0,18124958000.0,17855940000.0,29110258000.0
2083.0,26661260000.0,28717900000.0,30457764000.0,25138356000.0,28731263000.0,25745183000.0,31395496000.0,21544434000.0,17530954000.0,17455542000.0,29075196000.0
2084.0,26455347000.0,28520753000.0,30359669000.0,24931422000.0,28582525000.0,25486820000.0,31339129000.0,21145194000.0,16921681000.0,17212938000.0,29027318000.0
2085.0,26230210000.0,28424047000.0,30169745000.0,24609059000.0,28370890000.0,25226848000.0,31283016000.0,20859939000.0,16338854000.0,16960544000.0,28842455000.0
2086.0,25979520000.0,28211350000.0,30054080000.0,24309213000.0,28225274000.0,25070088000.0,31224627000.0,20501342000.0,15837153000.0,16718870000.0,28763100000.0
2087.0,25793487000.0,28055484000.0,29940710000.0,23958989000.0,28025820000.0,24837624000.0,31220244000.0,20006285000.0,15308216000.0,16465970000.0,28675142000.0
2088.0,25625050000.0,27840420000.0,29797421000.0,23651320000.0,27882686000.0,24567950000.0,31088595000.0,19524500000.0,14885264000.0,16274330000.0,28587190000.0
2089.0,25269350000.0,27681372000.0,29717470000.0,23388529000.0,27717180000.0,24312152000.0,31014472000.0,19172426000.0,14487868000.0,15995045000.0,28393950000.0
2090.0,25010536000.0,27540630000.0,29577660000.0,23163828000.0,27533924000.0,24028332000.0,30934559000.0,18676270000.0,13857360000.0,15784746000.0,28246106000.0
2091.0,24736297000.0,27389880000.0,29474380000.0,22923438000.0,27345800000.0,23801670000.0,30822173000.0,18301590000.0,13387821000.0,15631310000.0,28103799000.0
2092.0,24478102000.0,27229135000.0,29273639000.0,22695200000.0,27194161000.0,23587768000.0,30724137000.0,17992050000.0,12920439000.0,15397553000.0,27940508000.0
2093.0,24141517000.0,27009276000.0,29176820000.0,22478385000.0,27052669000.0,23391162000.0,30675587000.0,17695840000.0,12458469000.0,15032765000.0,27802448000.0
2094.0,23879619000.0,26822850000.0,29069943000.0,22213320000.0,26845344000.0,23241353000.0,30604517000.0,17411473000.0,11900452000.0,14817700000.0,27659553000.0
2095.0,23654818000.0,26702223000.0,28999598000.0,21859744000.0,26640108000.0,23029694000.0,30528592000.0,17181010000.0,11461076000.0,14546691000.0,27516566000.0
2096.0,23427260000.0,26564252000.0,28901153000.0,21600936000.0,26468487000.0,22789340000.0,30421524000.0,16882463000.0,11024884000.0,14276914000.0,27375573000.0
2097.0,23170880000.0,26361545000.0,28796004000.0,21378413000.0,26283616000.0,22551108000.0,30386549000.0,16543469000.0,10528376000.0,13998308000.0,27255700000.0
2098.0,22834629000.0,26190130000.0,28637491000.0,21070977000.0,26141155000.0,22315614000.0,30293338000.0,16148319000.0,10244656000.0,13716072000.0,27086307000.0
2099.0,22515833000.0,26018200000.0,28558254000.0,20795260000.0,25931796000.0,22067872000.0,30218758000.0,15820507000.0,9985434000.0,13407003000.0,26988458000.0
2100.0,22219598000.0,25841099000.0,28450111000.0,20500010000.0,25708400000.0,21836564000.0,30110306000.0,15503273000.0,9728092000.0,13032624000.0,26785118000.0
