time,NORESM1-M,GFDL-ESM2G,CCSM4,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2088.0,26820950000.0,29028256000.0,27146000000.0,25767164000.0,30496928000.0,29671045000.0,16989311000.0
2089.0,26448187000.0,28876048000.0,26894785000.0,25483547000.0,30405497000.0,29439130000.0,16715241000.0
2090.0,26030203000.0,28680331000.0,26678905000.0,25241180000.0,30313716000.0,29296163000.0,16433897000.0
2091.0,25706865000.0,28475000000.0,26403054000.0,24951919000.0,30149044000.0,29175527000.0,16110055000.0
2092.0,25441090000.0,28272850000.0,26124726000.0,24695245000.0,30095649000.0,29191890000.0,15821531000.0
2093.0,25134162000.0,28090180000.0,25937154000.0,24424620000.0,29954308000.0,28947737000.0,15481181000.0
2094.0,24780511000.0,27839537000.0,25700653000.0,24158153000.0,29875970000.0,28803550000.0,15111409000.0
2095.0,24504152000.0,27635657000.0,25459896000.0,23919852000.0,29776923000.0,28575670000.0,14794496000.0
2096.0,24151790000.0,27457210000.0,25113210000.0,23634113000.0,29659560000.0,28372142000.0,14395416000.0
2097.0,23890684000.0,27161162000.0,24820986000.0,23363052000.0,29485455000.0,28150360000.0,14036852000.0
2098.0,23558350000.0,26953867000.0,24486922000.0,23131894000.0,29391364000.0,27944176000.0,13705744000.0
2099.0,23183337000.0,26701806000.0,24190378000.0,22809326000.0,29217364000.0,27705455000.0,13335072000.0
2100.0,22837283000.0,26516376000.0,23881863000.0,22578460000.0,29120350000.0,27533427000.0,13010199000.0
