time,CCSM4,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,CANESM2,CNRM-CM5
2058.0,32287304000.0,31745538000.0,32142283000.0,33056287000.0,32326222000.0,30786808000.0,32573233000.0,33030832000.0,32531907000.0,32452884000.0
2059.0,32207663000.0,31630268000.0,32037450000.0,32986028000.0,32147007000.0,30624172000.0,32531978000.0,32933792000.0,32472328000.0,32345573000.0
2060.0,32153872000.0,31539372000.0,31957508000.0,32932840000.0,32053316000.0,30487087000.0,32464904000.0,32901861000.0,32385841000.0,32265273000.0
2061.0,32122098000.0,31428037000.0,31876887000.0,32896178000.0,31940168000.0,30318459000.0,32421222000.0,32853293000.0,32320682000.0,32134627000.0
2062.0,32037850000.0,31307387000.0,31826952000.0,32850266000.0,31824679000.0,30160607000.0,32386892000.0,32822526000.0,32263990000.0,32018076000.0
2063.0,31929074000.0,31161620000.0,31716830000.0,32794143000.0,31741730000.0,30025474000.0,32327207000.0,32783542000.0,32219300000.0,31892072000.0
2064.0,31941728000.0,31075740000.0,31597464000.0,32715770000.0,31655463000.0,29887738000.0,32276025000.0,32732461000.0,32067178000.0,31843596000.0
2065.0,31909329000.0,30969473000.0,31522427000.0,32655884000.0,31557919000.0,29736475000.0,32235915000.0,32703582000.0,32038859000.0,31697680000.0
2066.0,31890477000.0,30868158000.0,31441410000.0,32620830000.0,31483343000.0,29520169000.0,32180947000.0,32646752000.0,31952583000.0,31575175000.0
2067.0,31701620000.0,30752879000.0,31381070000.0,32629190000.0,31383226000.0,29279054000.0,32113300000.0,32620059000.0,31871494000.0,31447425000.0
2068.0,31666065000.0,30587347000.0,31325235000.0,32520602000.0,31250055000.0,29088225000.0,32006124000.0,32602253000.0,31785404000.0,31314555000.0
2069.0,31650867000.0,30424523000.0,31214730000.0,32447891000.0,31123030000.0,28941720000.0,31950533000.0,32572920000.0,31698184000.0,31191390000.0
2070.0,31564669000.0,30274148000.0,31149519000.0,32400523000.0,30966290000.0,28720497000.0,31846257000.0,32540258000.0,31632886000.0,31076712000.0
2071.0,31502645000.0,30059983000.0,31006378000.0,32356448000.0,30849544000.0,28501068000.0,31772762000.0,32485468000.0,31556110000.0,30930883000.0
2072.0,31438668000.0,29839817000.0,30919377000.0,32322662000.0,30733599000.0,28230027000.0,31725076000.0,32443620000.0,31461001000.0,30786763000.0
2073.0,31368425000.0,29707550000.0,30865959000.0,32268171000.0,30576257000.0,28073738000.0,31603206000.0,32399438000.0,31296162000.0,30640052000.0
2074.0,31297804000.0,29527443000.0,30772345000.0,32212376000.0,30395296000.0,27877566000.0,31551504000.0,32325763000.0,31219735000.0,30519106000.0
2075.0,31202010000.0,29358877000.0,30682014000.0,32161098000.0,30252520000.0,27634373000.0,31417890000.0,32261997000.0,31158505000.0,30353926000.0
2076.0,31151140000.0,29238972000.0,30561612000.0,32176941000.0,30151640000.0,27392279000.0,31290780000.0,32251335000.0,31089033000.0,30212094000.0
2077.0,31072369000.0,29022087000.0,30433073000.0,32087048000.0,30059385000.0,27232164000.0,31168651000.0,32212540000.0,30990481000.0,30047121000.0
2078.0,30947416000.0,28832225000.0,30348970000.0,32004524000.0,29845522000.0,27076860000.0,31018078000.0,32234977000.0,30868896000.0,29864157000.0
2079.0,30875740000.0,28656196000.0,30296270000.0,31947592000.0,29740665000.0,26926539000.0,30957036000.0,32183702000.0,30762270000.0,29774864000.0
2080.0,30773580000.0,28469051000.0,30189498000.0,31887573000.0,29571647000.0,26798545000.0,30872074000.0,32114870000.0,30667297000.0,29656142000.0
2081.0,30731014000.0,28268790000.0,30112221000.0,31831452000.0,29440072000.0,26633677000.0,30782839000.0,32062597000.0,30476634000.0,29504813000.0
2082.0,30665263000.0,28067367000.0,30008869000.0,31788255000.0,29316415000.0,26546653000.0,30656840000.0,31998558000.0,30358923000.0,29418793000.0
2083.0,30580169000.0,28019830000.0,29937283000.0,31739496000.0,29209178000.0,26371308000.0,30578924000.0,31952849000.0,30265852000.0,29300558000.0
2084.0,30519976000.0,27836080000.0,29794160000.0,31697103000.0,29067207000.0,26223520000.0,30500456000.0,31945867000.0,30182093000.0,29164268000.0
2085.0,30413124000.0,27651705000.0,29727867000.0,31588598000.0,28926171000.0,26092456000.0,30370814000.0,31852524000.0,30057757000.0,29004925000.0
2086.0,30308980000.0,27463463000.0,29689844000.0,31535610000.0,28751208000.0,25925585000.0,30277423000.0,31814068000.0,29928810000.0,28848673000.0
2087.0,30245591000.0,27341640000.0,29591489000.0,31494800000.0,28597862000.0,25696336000.0,30178978000.0,31780975000.0,29752140000.0,28668705000.0
2088.0,30153020000.0,27141386000.0,29534282000.0,31434996000.0,28466559000.0,25536094000.0,30079357000.0,31746372000.0,29619476000.0,28643895000.0
2089.0,30054334000.0,26966299000.0,29578301000.0,31392051000.0,28260563000.0,25514270000.0,29874858000.0,31699216000.0,29478787000.0,28486298000.0
2090.0,29929957000.0,26763560000.0,29377927000.0,31389323000.0,28127540000.0,25248741000.0,29845404000.0,31621902000.0,29357003000.0,28379730000.0
2091.0,29845922000.0,26599530000.0,29235399000.0,31306664000.0,27945270000.0,25048945000.0,29638085000.0,31573948000.0,29225626000.0,28184617000.0
2092.0,29682688000.0,26425162000.0,29129337000.0,31258780000.0,27795930000.0,25026920000.0,29524630000.0,31530426000.0,29188993000.0,27993311000.0
2093.0,29564926000.0,26160677000.0,28995903000.0,31218920000.0,27738409000.0,24816093000.0,29417667000.0,31459013000.0,29113289000.0,27857460000.0
2094.0,29481576000.0,25991756000.0,28911882000.0,31194850000.0,27541070000.0,24592070000.0,29300120000.0,31508640000.0,29001732000.0,27741225000.0
2095.0,29359374000.0,25810426000.0,28817005000.0,31087590000.0,27344670000.0,24448106000.0,29192497000.0,31359711000.0,28898263000.0,27588258000.0
2096.0,29287668000.0,25578832000.0,28706300000.0,31040460000.0,27145693000.0,24215036000.0,29057870000.0,31288603000.0,28791337000.0,27413062000.0
2097.0,29202784000.0,25371345000.0,28537625000.0,31047733000.0,27180208000.0,24014750000.0,28959556000.0,31225379000.0,28661926000.0,27280560000.0
2098.0,29107337000.0,25189296000.0,28438690000.0,31026764000.0,27020347000.0,24160737000.0,28843170000.0,31153203000.0,28512406000.0,27108817000.0
2099.0,28987770000.0,25034959000.0,28306315000.0,30908955000.0,26958744000.0,23885920000.0,28637733000.0,31127505000.0,28379994000.0,26904525000.0
2100.0,28940755000.0,24847383000.0,28192375000.0,30879630000.0,26851893000.0,23688389000.0,28499786000.0,31054143000.0,28272794000.0,27098933000.0
