time,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2049.0,3941120300000.0,3974453300000.0,3834996000000.0,4071860200000.0,3912133800000.0,3876045700000.0,3893023200000.0
2050.0,3927266300000.0,3950368500000.0,3822501200000.0,4060534500000.0,3868319800000.0,3861620700000.0,3880203600000.0
2051.0,3907244500000.0,3909392500000.0,3786601400000.0,4052832200000.0,3832918300000.0,3833140600000.0,3868456600000.0
2052.0,3880936800000.0,3895162000000.0,3746730600000.0,4039128600000.0,3818619100000.0,3813411000000.0,3845613700000.0
2053.0,3843365800000.0,3867647700000.0,3722032700000.0,4027740600000.0,3801350100000.0,3773236500000.0,3837080000000.0
2054.0,3796845200000.0,3863519000000.0,3684156800000.0,4019137500000.0,3763360200000.0,3739041100000.0,3809210000000.0
2055.0,3772471300000.0,3829048300000.0,3653571000000.0,4023392000000.0,3741024800000.0,3698901000000.0,3788397000000.0
2056.0,3738307100000.0,3801255200000.0,3620426500000.0,4003862700000.0,3728390000000.0,3623471800000.0,3771053600000.0
2057.0,3718097000000.0,3777140600000.0,3595284300000.0,4002199400000.0,3720282000000.0,3589354600000.0,3753092800000.0
2058.0,3688323000000.0,3756532400000.0,3596586000000.0,3985099500000.0,3700558000000.0,3574191000000.0,3757727500000.0
2059.0,3667306000000.0,3722413600000.0,3574677000000.0,3967914600000.0,3667523300000.0,3548029000000.0,3730674300000.0
2060.0,3649545200000.0,3668741500000.0,3557689000000.0,3956440600000.0,3650758600000.0,3517875700000.0,3695309000000.0
2061.0,3636589200000.0,3626161000000.0,3528693600000.0,3944022300000.0,3635057800000.0,3488324300000.0,3657457200000.0
2062.0,3590080000000.0,3606471500000.0,3503122000000.0,3911285500000.0,3593482000000.0,3475058500000.0,3637468000000.0
2063.0,3553469000000.0,3592735000000.0,3474990600000.0,3888920000000.0,3562172800000.0,3442712200000.0,3617699400000.0
2064.0,3542824800000.0,3558932700000.0,3438985300000.0,3868264800000.0,3542623200000.0,3425598000000.0,3599692200000.0
2065.0,3514712000000.0,3544204400000.0,3419334200000.0,3850024300000.0,3514556700000.0,3397545400000.0,3568921200000.0
2066.0,3485661400000.0,3510487500000.0,3399512800000.0,3832889200000.0,3492588600000.0,3374382600000.0,3551082000000.0
2067.0,3464826200000.0,3500038200000.0,3389458500000.0,3820072700000.0,3480784500000.0,3335185000000.0,3529151000000.0
2068.0,3439016000000.0,3483678500000.0,3364191200000.0,3794316000000.0,3447159800000.0,3318770600000.0,3516359200000.0
2069.0,3417483500000.0,3454502000000.0,3351359300000.0,3766604500000.0,3422731400000.0,3309475000000.0,3500844300000.0
2070.0,3407514200000.0,3416415800000.0,3325542500000.0,3734214800000.0,3402203700000.0,3278868300000.0,3470962500000.0
2071.0,3376799000000.0,3398630400000.0,3314287400000.0,3725948600000.0,3385444800000.0,3261284500000.0,3445214400000.0
2072.0,3351391000000.0,3381997300000.0,3281692100000.0,3721986000000.0,3371714500000.0,3244519800000.0,3422806000000.0
2073.0,3329451600000.0,3362518200000.0,3248597500000.0,3686465800000.0,3349539000000.0,3226384500000.0,3402331000000.0
2074.0,3317000800000.0,3334890300000.0,3212201400000.0,3670008700000.0,3317019200000.0,3197599000000.0,3368560400000.0
2075.0,3294677700000.0,3313208100000.0,3176262300000.0,3648373700000.0,3284848600000.0,3180089800000.0,3340411900000.0
2076.0,3271408700000.0,3279019600000.0,3150499800000.0,3625761400000.0,3264230700000.0,3170128600000.0,3331528000000.0
2077.0,3243154300000.0,3263862700000.0,3130077200000.0,3610951000000.0,3239996800000.0,3150995500000.0,3308292400000.0
2078.0,3214367300000.0,3238891000000.0,3109388800000.0,3599424300000.0,3228042300000.0,3114993000000.0,3293077300000.0
2079.0,3189652300000.0,3214672100000.0,3090683800000.0,3592518000000.0,3216242600000.0,3097438000000.0,3262435000000.0
2080.0,3167631000000.0,3192806200000.0,3061742600000.0,3580870000000.0,3215258300000.0,3075104600000.0,3228365000000.0
2081.0,3121397000000.0,3169521800000.0,3034102600000.0,3565202400000.0,3199522600000.0,3057242600000.0,3203555400000.0
2082.0,3114412500000.0,3165098000000.0,2994837000000.0,3549175000000.0,3192700300000.0,3033487400000.0,3188217600000.0
2083.0,3087659200000.0,3131352800000.0,2972292700000.0,3510426100000.0,3174555500000.0,2998771000000.0,3170813000000.0
2084.0,3065953600000.0,3097609400000.0,2949613000000.0,3481634000000.0,3153829800000.0,2971802500000.0,3151541000000.0
2085.0,3040639000000.0,3079161200000.0,2925015600000.0,3470796500000.0,3137915800000.0,2960124000000.0,3136818000000.0
2086.0,3019505700000.0,3048932000000.0,2896568000000.0,3457122300000.0,3110760300000.0,2950421800000.0,3130793100000.0
2087.0,2992685400000.0,3016281600000.0,2877113000000.0,3441768500000.0,3092120900000.0,2933951000000.0,3128827300000.0
2088.0,2952753600000.0,2991001400000.0,2852710000000.0,3429748200000.0,3063922600000.0,2922501600000.0,3117415100000.0
2089.0,2921708400000.0,2973693600000.0,2825382300000.0,3427044700000.0,3033541000000.0,2900813400000.0,3099766000000.0
2090.0,2900476300000.0,2959227500000.0,2791530300000.0,3414030300000.0,3010296300000.0,2885252000000.0,3086513600000.0
2091.0,2879298700000.0,2926506000000.0,2760247600000.0,3395734000000.0,2980908400000.0,2870060000000.0,3056607000000.0
2092.0,2845767600000.0,2884263000000.0,2740677200000.0,3380931500000.0,2955155300000.0,2845188000000.0,3017547700000.0
2093.0,2811811000000.0,2879121300000.0,2724418600000.0,3355202000000.0,2940093900000.0,2835708400000.0,3001405700000.0
2094.0,2793413300000.0,2852535400000.0,2710388300000.0,3339931600000.0,2918222400000.0,2819515000000.0,2996106400000.0
2095.0,2765300400000.0,2815345000000.0,2703370000000.0,3333795300000.0,2901413500000.0,2789424800000.0,2972976400000.0
2096.0,2751565000000.0,2788838900000.0,2677429500000.0,3310644400000.0,2902905800000.0,2779229000000.0,2950557900000.0
2097.0,2727196200000.0,2770096000000.0,2656794600000.0,3267025700000.0,2879290300000.0,2751018600000.0,2922727300000.0
2098.0,2704575000000.0,2747378400000.0,2636474700000.0,3238996200000.0,2855991500000.0,2740245800000.0,2911274300000.0
2099.0,2681726300000.0,2728907500000.0,2614210600000.0,3230977800000.0,2848753200000.0,2727861800000.0,2902155000000.0
2100.0,2671026000000.0,2689196000000.0,2588357200000.0,3193455500000.0,2829481700000.0,2718102500000.0,2893644600000.0
