time,GISS-E2-R,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CCSM4,MPI-ESM-LR,IPSL-CM5A-LR
2054.0,3733651000000.0,3516923400000.0,3571178500000.0,3693309900000.0,3824721900000.0,4073734500000.0,3789979000000.0,3673848300000.0,3821471000000.0,3789953400000.0
2055.0,3703589600000.0,3483334000000.0,3550652000000.0,3652919500000.0,3813327500000.0,4057295200000.0,3742995000000.0,3648727300000.0,3806442600000.0,3778355000000.0
2056.0,3665128300000.0,3450804600000.0,3528646000000.0,3608450700000.0,3784217000000.0,4061490800000.0,3724282700000.0,3642175800000.0,3789943000000.0,3751394000000.0
2057.0,3650533700000.0,3423190000000.0,3501726000000.0,3564905400000.0,3765256000000.0,4040807200000.0,3702445800000.0,3627183800000.0,3769238000000.0,3731354300000.0
2058.0,3619172600000.0,3385972500000.0,3481221700000.0,3527678600000.0,3760755600000.0,4012854700000.0,3647429700000.0,3629905000000.0,3724746200000.0,3700690300000.0
2059.0,3594382700000.0,3350241500000.0,3444866300000.0,3480566600000.0,3741364500000.0,4000439300000.0,3634790000000.0,3617513300000.0,3693749500000.0,3665575800000.0
2060.0,3576086100000.0,3324169700000.0,3413323800000.0,3444154300000.0,3730546000000.0,3969272800000.0,3625063300000.0,3597790000000.0,3666143000000.0,3652004300000.0
2061.0,3551850700000.0,3288912000000.0,3388012200000.0,3385412600000.0,3702839800000.0,3950364900000.0,3626489300000.0,3574022800000.0,3655241300000.0,3634497800000.0
2062.0,3542239000000.0,3257693400000.0,3374560300000.0,3359254200000.0,3703677000000.0,3936739400000.0,3606146700000.0,3543358200000.0,3633948100000.0,3616456800000.0
2063.0,3514035000000.0,3224817000000.0,3363692000000.0,3336310000000.0,3695005100000.0,3934768000000.0,3571892000000.0,3505276600000.0,3627618700000.0,3587896500000.0
2064.0,3494476000000.0,3198894200000.0,3317977000000.0,3328374000000.0,3653385800000.0,3910364600000.0,3552718400000.0,3475254800000.0,3610408600000.0,3545503400000.0
2065.0,3472200300000.0,3173551200000.0,3277607000000.0,3326059700000.0,3626546000000.0,3899994400000.0,3539404300000.0,3446977000000.0,3585036000000.0,3533926800000.0
2066.0,3473684600000.0,3151742600000.0,3248055600000.0,3294941000000.0,3590728500000.0,3887452400000.0,3513945400000.0,3433428400000.0,3567241000000.0,3512231000000.0
2067.0,3459348000000.0,3123154800000.0,3238621600000.0,3256675500000.0,3576059000000.0,3895590000000.0,3504087000000.0,3403717500000.0,3548370000000.0,3511054000000.0
2068.0,3441815700000.0,3100894300000.0,3203972500000.0,3229586600000.0,3560553000000.0,3871979600000.0,3497311600000.0,3381683600000.0,3540639500000.0,3504564000000.0
2069.0,3406378000000.0,3078163300000.0,3175014700000.0,3204546600000.0,3549642000000.0,3841801600000.0,3481037700000.0,3341892700000.0,3513295800000.0,3488793000000.0
2070.0,3404938600000.0,3050517600000.0,3163280600000.0,3174862700000.0,3525243800000.0,3828459800000.0,3459530000000.0,3315384500000.0,3460785800000.0,3478889000000.0
2071.0,3388256000000.0,3026876000000.0,3151297000000.0,3135346000000.0,3511340800000.0,3813904700000.0,3421235000000.0,3287715400000.0,3435782700000.0,3446314000000.0
2072.0,3367811200000.0,3015702500000.0,3124173700000.0,3108684700000.0,3490956400000.0,3794564000000.0,3398114200000.0,3259555000000.0,3428325500000.0,3420841600000.0
2073.0,3354496000000.0,3002748600000.0,3100090600000.0,3081402800000.0,3475105000000.0,3775600300000.0,3388959000000.0,3239481200000.0,3406985000000.0,3415996400000.0
2074.0,3338540400000.0,2982087800000.0,3065609700000.0,3066454600000.0,3473767400000.0,3748047600000.0,3377194000000.0,3211335800000.0,3396313000000.0,3408992000000.0
2075.0,3326148600000.0,2969106400000.0,3040363700000.0,3046286600000.0,3468991400000.0,3707912800000.0,3339932000000.0,3179261700000.0,3375318700000.0,3386514900000.0
2076.0,3321498700000.0,2950767000000.0,3014133500000.0,3034934400000.0,3444812800000.0,3692385000000.0,3322451900000.0,3143818000000.0,3351393900000.0,3365577400000.0
2077.0,3303981700000.0,2926168200000.0,2984600100000.0,3019523000000.0,3429481300000.0,3683619400000.0,3302324000000.0,3114313200000.0,3342780000000.0,3355797000000.0
2078.0,3293787700000.0,2906871300000.0,2958644000000.0,3000212700000.0,3410188000000.0,3670395600000.0,3275924700000.0,3105242200000.0,3340870400000.0,3341431000000.0
2079.0,3281051500000.0,2883144400000.0,2936880800000.0,2982952800000.0,3391192800000.0,3647248300000.0,3262516600000.0,3090624300000.0,3332764300000.0,3316958000000.0
2080.0,3272829600000.0,2853226000000.0,2919669400000.0,2969881000000.0,3381843200000.0,3625404000000.0,3247388500000.0,3084444500000.0,3306001000000.0,3291846300000.0
2081.0,3240462000000.0,2836646300000.0,2893468700000.0,2942654000000.0,3371690400000.0,3610007300000.0,3235682500000.0,3072247700000.0,3287985200000.0,3268060400000.0
2082.0,3219062500000.0,2802214500000.0,2876671300000.0,2928387300000.0,3348640600000.0,3598092900000.0,3208225800000.0,3058964400000.0,3266603600000.0,3241658000000.0
2083.0,3203687000000.0,2787509800000.0,2843557500000.0,2885808300000.0,3324225000000.0,3593168500000.0,3196395500000.0,3041635300000.0,3256287800000.0,3196404000000.0
2084.0,3193942000000.0,2784806000000.0,2809753500000.0,2856613000000.0,3307799300000.0,3578033000000.0,3179402500000.0,3042037700000.0,3232595200000.0,3176422000000.0
2085.0,3192229000000.0,2773146000000.0,2791025700000.0,2840159300000.0,3278480000000.0,3538554000000.0,3176028000000.0,3029813000000.0,3227584300000.0,3168827300000.0
2086.0,3186651600000.0,2745878700000.0,2757015600000.0,2833659700000.0,3251752100000.0,3542207200000.0,3168069500000.0,3003141600000.0,3232482700000.0,3160689600000.0
2087.0,3179201000000.0,2708886000000.0,2730724000000.0,2839258900000.0,3244536000000.0,3532491300000.0,3149722300000.0,2972482800000.0,3217562000000.0,3130296000000.0
2088.0,3158950500000.0,2684855800000.0,2718880500000.0,2814507700000.0,3236111600000.0,3510908200000.0,3115368800000.0,2955278300000.0,3197776000000.0,3110506900000.0
2089.0,3148969700000.0,2654605400000.0,2685403700000.0,2788184800000.0,3231569400000.0,3496851500000.0,3093639200000.0,2919094600000.0,3175929600000.0,3097410700000.0
2090.0,3145494000000.0,2631491400000.0,2660169000000.0,2762952700000.0,3208039600000.0,3470751000000.0,3075966200000.0,2901930700000.0,3145701500000.0,3092073700000.0
2091.0,3130066700000.0,2622324500000.0,2647470400000.0,2732868000000.0,3186013000000.0,3457965400000.0,3064309700000.0,2884299400000.0,3136270600000.0,3073295000000.0
2092.0,3112642300000.0,2600873800000.0,2619954000000.0,2714947000000.0,3165274000000.0,3441910300000.0,3065025700000.0,2862986000000.0,3130890000000.0,3056253800000.0
2093.0,3097668400000.0,2581369700000.0,2596407600000.0,2691340400000.0,3155149500000.0,3440925000000.0,3037710500000.0,2847819200000.0,3112985400000.0,3055350400000.0
2094.0,3084083500000.0,2576934800000.0,2577734300000.0,2672938700000.0,3145110000000.0,3438994800000.0,3010736000000.0,2842555000000.0,3090299200000.0,3030571300000.0
2095.0,3087681200000.0,2557911200000.0,2546626200000.0,2651230300000.0,3127806500000.0,3414526800000.0,2994210300000.0,2831780000000.0,3073377000000.0,3020432900000.0
2096.0,3075067600000.0,2533977200000.0,2515287700000.0,2649200500000.0,3137577200000.0,3417153200000.0,2982795800000.0,2811142000000.0,3047605000000.0,3019534500000.0
2097.0,3055434300000.0,2516951000000.0,2472821000000.0,2630635700000.0,3131705400000.0,3419374600000.0,2963314800000.0,2782250100000.0,3050535600000.0,3012162700000.0
2098.0,3037618500000.0,2492537000000.0,2441281000000.0,2596624700000.0,3122723600000.0,3414551200000.0,2951059000000.0,2774414700000.0,3045733700000.0,3008987700000.0
2099.0,3023272100000.0,2469789400000.0,2408207400000.0,2579807900000.0,3084093000000.0,3427361000000.0,2950426300000.0,2758673700000.0,3035563300000.0,2998045200000.0
2100.0,2998578200000.0,2447082800000.0,2377483800000.0,2554854400000.0,3073315000000.0,3420598000000.0,2937102300000.0,2746715200000.0,3026630200000.0,2975456300000.0
