time,MPI-ESM1-2-HR,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4
2057.0,31554284000.0,19260897000.0,30028712000.0,30766143000.0,32790417000.0
2058.0,31400520000.0,18431877000.0,29626014000.0,30586333000.0,32438403000.0
2059.0,31279514000.0,17544794000.0,29303794000.0,30362687000.0,32303942000.0
2060.0,31162427000.0,16662929000.0,29020303000.0,29997627000.0,32240892000.0
2061.0,31031861000.0,15949349000.0,28616610000.0,29786670000.0,32126116000.0
2062.0,30821267000.0,15142784000.0,28361578000.0,29577005000.0,32042803000.0
2063.0,30711243000.0,14353752000.0,28083214000.0,29364687000.0,31919155000.0
2064.0,30604397000.0,13547605000.0,27765395000.0,29093296000.0,31829529000.0
2065.0,30388790000.0,12923916000.0,27359775000.0,28926626000.0,31710015000.0
2066.0,30224298000.0,12262200000.0,26985945000.0,28705171000.0,31594342000.0
2067.0,30066618000.0,11547864000.0,26786386000.0,28448254000.0,31513098000.0
2068.0,29892264000.0,10687922000.0,26429014000.0,28243790000.0,31372372000.0
2069.0,29686587000.0,9725203000.0,26072041000.0,28021332000.0,31275352000.0
2070.0,29547180000.0,8575030000.0,25689676000.0,27683666000.0,31076798000.0
2071.0,29298588000.0,7573246500.0,25175794000.0,27550245000.0,30936916000.0
2072.0,29126078000.0,6776157700.0,24797184000.0,27356170000.0,30747760000.0
2073.0,28922458000.0,6082615300.0,24428239000.0,27110683000.0,30586157000.0
2074.0,28778269000.0,5566861000.0,23810480000.0,26799442000.0,30428477000.0
2075.0,28581642000.0,4970472000.0,23525908000.0,26502510000.0,30188659000.0
2076.0,28367032000.0,4333816000.0,22995194000.0,26184487000.0,29925620000.0
2077.0,28147055000.0,3807306000.0,22446465000.0,25879224000.0,29674203000.0
2078.0,27915426000.0,3399674400.0,21986505000.0,25634531000.0,29410523000.0
2079.0,27807914000.0,2963790800.0,21585314000.0,25282340000.0,29207681000.0
2080.0,27611415000.0,2630714400.0,21042878000.0,24980148000.0,29023222000.0
2081.0,27449311000.0,2298583300.0,20593095000.0,24641493000.0,28775406000.0
2082.0,27243106000.0,1998236700.0,20170766000.0,24365464000.0,28525850000.0
2083.0,27045587000.0,1682628900.0,19673164000.0,24093020000.0,28297875000.0
2084.0,26801897000.0,1377293700.0,19192846000.0,23786270000.0,28059630000.0
2085.0,26490997000.0,1078115700.0,18803585000.0,23377279000.0,27934927000.0
2086.0,26154154000.0,793462660.0,18391837000.0,22998061000.0,27704373000.0
2087.0,25863164000.0,646030300.0,17973484000.0,22586110000.0,27452402000.0
2088.0,25540844000.0,532161120.0,17731269000.0,22071777000.0,27191990000.0
2089.0,25319080000.0,436905920.0,17337305000.0,21687816000.0,26958690000.0
2090.0,24961954000.0,353307840.0,17037454000.0,21182503000.0,26706852000.0
2091.0,24611408000.0,267696540.0,16507691000.0,20766018000.0,26392308000.0
2092.0,24336460000.0,177385580.0,16185427000.0,20304566000.0,26114796000.0
2093.0,24057858000.0,109709224.0,15811107000.0,19985314000.0,25851083000.0
2094.0,23782134000.0,90560424.0,15527499000.0,19559057000.0,25588433000.0
2095.0,23511884000.0,73761336.0,15324258000.0,19047137000.0,25368148000.0
2096.0,23309060000.0,53488896.0,15100025000.0,18662386000.0,25073734000.0
2097.0,23075270000.0,11663171.0,14758787000.0,18198163000.0,24924508000.0
2098.0,22759356000.0,10593172.0,14367287000.0,17555902000.0,24700158000.0
2099.0,22592803000.0,9737917.0,13967494000.0,17266473000.0,24442647000.0
2100.0,22307154000.0,9094827.0,13668813000.0,16948304000.0,24211370000.0
