time,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4
2077.0,27874122000.0,24950446000.0,30338370000.0,31474864000.0
2078.0,27675003000.0,24610685000.0,30324146000.0,31425565000.0
2079.0,27413035000.0,24347466000.0,30211338000.0,31501595000.0
2080.0,27201143000.0,24101810000.0,30449408000.0,31346422000.0
2081.0,27051842000.0,23957041000.0,30183197000.0,31290315000.0
2082.0,26882621000.0,23771337000.0,30108054000.0,31213617000.0
2083.0,26713922000.0,23420058000.0,29977213000.0,31179026000.0
2084.0,26565620000.0,23114950000.0,29904353000.0,31123997000.0
2085.0,26802465000.0,22868670000.0,29830965000.0,31120112000.0
2086.0,26268443000.0,22608310000.0,29725860000.0,31070282000.0
2087.0,26156136000.0,22264170000.0,29627517000.0,31040680000.0
2088.0,26013446000.0,22015857000.0,29590743000.0,31113353000.0
2089.0,25973012000.0,21731100000.0,29430852000.0,30916647000.0
2090.0,25754913000.0,21399511000.0,29383807000.0,30911631000.0
2091.0,25679065000.0,21133200000.0,29276826000.0,30804453000.0
2092.0,25588804000.0,20723866000.0,29431972000.0,30709264000.0
2093.0,25416190000.0,20446056000.0,29193157000.0,30658875000.0
2094.0,25288660000.0,20153526000.0,29125526000.0,30620805000.0
2095.0,25074366000.0,19904190000.0,28972400000.0,30581303000.0
2096.0,25134098000.0,19637705000.0,28907833000.0,30526640000.0
2097.0,24972327000.0,19297580000.0,28822706000.0,30470128000.0
2098.0,24716638000.0,18986959000.0,28746381000.0,30443823000.0
2099.0,24541385000.0,18750495000.0,28714387000.0,30379297000.0
2100.0,24363385000.0,18435090000.0,28738880000.0,30321514000.0
