time,IPSL-CM6A-LR,CESM2-WACCM,ACCESS-CM2,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5
2110.0,16742291000.0,14504749000.0,13756253000.0,15301830000.0,18418102000.0,19044653000.0
2111.0,16639776000.0,13996049000.0,13875060000.0,15468306000.0,18700792000.0,18617188000.0
2112.0,16917886000.0,13789943000.0,13697153000.0,15635258000.0,18300948000.0,19283546000.0
2113.0,16583605000.0,13769642000.0,13568692000.0,15285802000.0,18252943000.0,18838810000.0
2114.0,16457535000.0,13617412000.0,13449760000.0,15241064000.0,18255608000.0,19205136000.0
2115.0,16468101000.0,15029767000.0,13374477000.0,15185787000.0,18168173000.0,18657966000.0
2116.0,16676398000.0,13834320000.0,13526634000.0,15277532000.0,18142640000.0,18512026000.0
2117.0,16649730000.0,13446823000.0,13255193000.0,15063155000.0,18075769000.0,18537646000.0
2118.0,16507278000.0,13537194000.0,13312890000.0,15467702000.0,17998133000.0,18443436000.0
2119.0,16460354000.0,13242039000.0,13017653000.0,15169593000.0,17940476000.0,18929385000.0
2120.0,17647034000.0,13758119000.0,12942466000.0,15325971000.0,18302253000.0,18428557000.0
2121.0,16564353000.0,13203308000.0,12878080000.0,15672884000.0,18468737000.0,18636634000.0
2122.0,16424399000.0,13745925000.0,12794971000.0,15120912000.0,17920481000.0,18319913000.0
2123.0,17064988000.0,13095203000.0,12703041000.0,15181328000.0,17862066000.0,18319303000.0
2124.0,16527619000.0,12947200000.0,12657450000.0,14953153000.0,17767004000.0,18381726000.0
2125.0,16265888000.0,12894045000.0,12621337000.0,15012733000.0,17988592000.0,18189270000.0
2126.0,16452528000.0,12748719000.0,12653188000.0,15238343000.0,17728668000.0,18088765000.0
2127.0,16759840000.0,12659725000.0,12529151000.0,14863586000.0,17692127000.0,21036528000.0
2128.0,17034724000.0,12571997000.0,12519868000.0,16275468000.0,17616005000.0,19868172000.0
2129.0,16333908000.0,12778127000.0,12453127000.0,15300494000.0,17612786000.0,19059712000.0
2130.0,16289202000.0,12632361000.0,12375510000.0,15422858000.0,18585678000.0,18546969000.0
2131.0,16266696000.0,12540144000.0,12350354000.0,14934027000.0,18381828000.0,18436590000.0
2132.0,16209748000.0,12440866000.0,12310993000.0,15191528000.0,17689227000.0,18420812000.0
2133.0,16111161000.0,12474556000.0,12311798000.0,15825709000.0,17665776000.0,17935920000.0
2134.0,16105380000.0,12280153000.0,12202515000.0,15288830000.0,17655788000.0,17872394000.0
2135.0,16643215000.0,12293954000.0,12296324000.0,15070036000.0,17530968000.0,17895344000.0
2136.0,16175135000.0,12257127000.0,12177886000.0,14885185000.0,17733550000.0,19435799000.0
2137.0,16275542000.0,12113705000.0,12124957000.0,14930939000.0,17479576000.0,19121725000.0
2138.0,16176616000.0,12115799000.0,12025842000.0,14975008000.0,17382244000.0,18205483000.0
2139.0,15981318000.0,12367927000.0,12111608000.0,14837590000.0,17351320000.0,18529174000.0
2140.0,15966630000.0,12000662000.0,11993809000.0,14734678000.0,17743843000.0,18122422000.0
2141.0,15858303000.0,12130711000.0,12006168000.0,14656807000.0,17352878000.0,18142196000.0
2142.0,15897481000.0,11963514000.0,11918165000.0,14729403000.0,17231020000.0,17876122000.0
2143.0,15805965000.0,11981482000.0,11975119000.0,15063263000.0,17257673000.0,17718670000.0
2144.0,15782488000.0,11866201000.0,11853140000.0,14653961000.0,17148218000.0,17671674000.0
2145.0,16932328000.0,11831548000.0,11848534000.0,14879571000.0,17333885000.0,18076790000.0
2146.0,16198240000.0,11775588000.0,11893983000.0,14667280000.0,17130351000.0,17915687000.0
2147.0,15801997000.0,12247559000.0,11796162000.0,14768129000.0,18438296000.0,18079020000.0
2148.0,15808221000.0,12020694000.0,11765766000.0,15739164000.0,17552828000.0,17782757000.0
2149.0,15743075000.0,11862584000.0,11726286000.0,15035599000.0,17427941000.0,17818110000.0
2150.0,15991613000.0,11833614000.0,11770161000.0,14974799000.0,16991515000.0,18816516000.0
2151.0,15812828000.0,11804399000.0,11644917000.0,14708104000.0,17424210000.0,17963840000.0
2152.0,16106502000.0,11683697000.0,11791471000.0,14751468000.0,17049253000.0,18155375000.0
2153.0,15664328000.0,11876047000.0,11871756000.0,14939051000.0,17003036000.0,17862535000.0
2154.0,15682847000.0,11845398000.0,11572124000.0,15771405000.0,16914264000.0,18672794000.0
2155.0,15842175000.0,11577676000.0,11824737000.0,14644256000.0,17154577000.0,18125625000.0
2156.0,16291418000.0,11604732000.0,11467124000.0,14571256000.0,16978773000.0,17883550000.0
2157.0,15804206000.0,11672942000.0,11443232000.0,15276062000.0,17360177000.0,17757360000.0
2158.0,15967060000.0,11811537000.0,11401628000.0,14508699000.0,16980388000.0,17706588000.0
2159.0,15734323000.0,11678264000.0,11530111000.0,14443840000.0,16936152000.0,18281306000.0
2160.0,15606389000.0,11889124000.0,11393063000.0,14399374000.0,17564778000.0,17775055000.0
2161.0,16696445000.0,11734974000.0,11393513000.0,14454780000.0,16838191000.0,17606908000.0
2162.0,15831145000.0,11522556000.0,11401919000.0,16134255000.0,16860213000.0,17696014000.0
2163.0,15605028000.0,11706852000.0,11297861000.0,15387119000.0,16813028000.0,17563853000.0
2164.0,15607572000.0,11637708000.0,11296292000.0,15126016000.0,16823266000.0,17569745000.0
2165.0,15575521000.0,11368038000.0,11296073000.0,14864558000.0,17394172000.0,17721854000.0
2166.0,15579410000.0,11333055000.0,11262790000.0,15049151000.0,16733499000.0,18097779000.0
2167.0,16608809000.0,11410636000.0,11261165000.0,15063046000.0,16697501000.0,17864845000.0
2168.0,15524220000.0,12141015000.0,11340213000.0,14739584000.0,16735117000.0,17730238000.0
2169.0,15733058000.0,11634163000.0,11238225000.0,15178545000.0,16661901000.0,17661016000.0
2170.0,15434472000.0,11373781000.0,11183976000.0,14908099000.0,16625213000.0,19309250000.0
2171.0,15410464000.0,11232799000.0,11191712000.0,15093171000.0,16678180000.0,17944812000.0
