time,MPI-ESM-LR,GISS-E2-R,CNRM-CM5,GFDL-CM3,CANESM2,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G
2053.0,24790732000000.0,24453285000000.0,23793953000000.0,23658563000000.0,24115042000000.0,25193520000000.0,25407473000000.0,24836600000000.0,24371658000000.0,24698136000000.0
2054.0,24671911000000.0,24434587000000.0,23687588000000.0,23554611000000.0,24035333000000.0,25133303000000.0,25333263000000.0,24716587000000.0,24273557000000.0,24647907000000.0
2055.0,24665584000000.0,24325772000000.0,23629914000000.0,23491284000000.0,23928040000000.0,25091467000000.0,25256809000000.0,24669380000000.0,24239774000000.0,24613080000000.0
2056.0,24605250000000.0,24233088000000.0,23455332000000.0,23339645000000.0,23714102000000.0,25025533000000.0,25210750000000.0,24606832000000.0,24147367000000.0,24570363000000.0
2057.0,24503262000000.0,24187113000000.0,23387374000000.0,23140795000000.0,23643570000000.0,24982034000000.0,25136596000000.0,24452702000000.0,24004994000000.0,24525104000000.0
2058.0,24412504000000.0,24139172000000.0,23191022000000.0,22960630000000.0,23544879000000.0,24891558000000.0,25017157000000.0,24301860000000.0,23912870000000.0,24449827000000.0
2059.0,24359402000000.0,24114687000000.0,23057557000000.0,22740602000000.0,23439576000000.0,24811214000000.0,24972429000000.0,24165671000000.0,23865864000000.0,24382831000000.0
2060.0,24291876000000.0,23955727000000.0,22906110000000.0,22548073000000.0,23287212000000.0,24733632000000.0,24935500000000.0,24002668000000.0,23711235000000.0,24280046000000.0
2061.0,24222621000000.0,23798653000000.0,22782962000000.0,22344939000000.0,23130827000000.0,24653255000000.0,24891787000000.0,23823206000000.0,23648025000000.0,24218297000000.0
2062.0,24073280000000.0,23722992000000.0,22534408000000.0,22240278000000.0,23021760000000.0,24537276000000.0,24880047000000.0,23765103000000.0,23554209000000.0,24179087000000.0
2063.0,23940938000000.0,23632355000000.0,22325425000000.0,22169944000000.0,22918138000000.0,24499146000000.0,24786840000000.0,23640138000000.0,23431156000000.0,24123661000000.0
2064.0,23841976000000.0,23509649000000.0,22156245000000.0,21935965000000.0,22792234000000.0,24417460000000.0,24661878000000.0,23403453000000.0,23268566000000.0,24021970000000.0
2065.0,23703843000000.0,23419714000000.0,21975722000000.0,21779098000000.0,22658515000000.0,24379610000000.0,24517343000000.0,23207660000000.0,23124870000000.0,23947035000000.0
2066.0,23576168000000.0,23224618000000.0,21820080000000.0,21612101000000.0,22519810000000.0,24382682000000.0,24396900000000.0,23100651000000.0,23059545000000.0,23887140000000.0
2067.0,23462616000000.0,23099215000000.0,21741961000000.0,21313024000000.0,22478747000000.0,24272810000000.0,24345720000000.0,23058178000000.0,22865538000000.0,23787882000000.0
2068.0,23329870000000.0,23018850000000.0,21645543000000.0,21146443000000.0,22315465000000.0,24171115000000.0,24279056000000.0,22922530000000.0,22720420000000.0,23786542000000.0
2069.0,23177850000000.0,22837123000000.0,21521414000000.0,20966638000000.0,22004790000000.0,24033913000000.0,24202860000000.0,22762108000000.0,22549663000000.0,23727052000000.0
2070.0,23114193000000.0,22738652000000.0,21361080000000.0,20764321000000.0,21907708000000.0,23888583000000.0,24103520000000.0,22683341000000.0,22404160000000.0,23709838000000.0
2071.0,23019446000000.0,22681764000000.0,21241109000000.0,20528513000000.0,21803433000000.0,23780990000000.0,24003587000000.0,22522962000000.0,22209463000000.0,23667450000000.0
2072.0,22859536000000.0,22614974000000.0,21077609000000.0,20308115000000.0,21580680000000.0,23692298000000.0,23839948000000.0,22340006000000.0,22081144000000.0,23569203000000.0
2073.0,22714346000000.0,22539143000000.0,20958186000000.0,20153557000000.0,21354965000000.0,23594883000000.0,23761250000000.0,22148396000000.0,21920481000000.0,23510043000000.0
2074.0,22617450000000.0,22464360000000.0,20829580000000.0,20018484000000.0,21146860000000.0,23463346000000.0,23662588000000.0,21991090000000.0,21733410000000.0,23458837000000.0
2075.0,22438990000000.0,22380299000000.0,20649374000000.0,19799930000000.0,20991116000000.0,23396539000000.0,23547628000000.0,21933026000000.0,21589547000000.0,23372958000000.0
2076.0,22296262000000.0,22252762000000.0,20496991000000.0,19621858000000.0,20881363000000.0,23263030000000.0,23397378000000.0,21733327000000.0,21403040000000.0,23242070000000.0
2077.0,22126562000000.0,22049867000000.0,20330997000000.0,19451360000000.0,20692039000000.0,23133457000000.0,23343959000000.0,21632530000000.0,21216889000000.0,23157222000000.0
2078.0,22021590000000.0,21884120000000.0,20163900000000.0,19242714000000.0,20520492000000.0,23086842000000.0,23263005000000.0,21410590000000.0,21110165000000.0,22996796000000.0
2079.0,21872350000000.0,21701245000000.0,19911942000000.0,19029643000000.0,20311374000000.0,22910070000000.0,23165432000000.0,21252427000000.0,20921630000000.0,22967336000000.0
2080.0,21712846000000.0,21480826000000.0,19748190000000.0,18793294000000.0,20111080000000.0,22757773000000.0,22985117000000.0,21035280000000.0,20749377000000.0,22867438000000.0
2081.0,21575909000000.0,21369478000000.0,19619658000000.0,18593004000000.0,19929835000000.0,22682442000000.0,22922173000000.0,20976478000000.0,20619112000000.0,22781190000000.0
2082.0,21448510000000.0,21177538000000.0,19443913000000.0,18369147000000.0,19699199000000.0,22573138000000.0,22840129000000.0,20908786000000.0,20436685000000.0,22668728000000.0
2083.0,21300947000000.0,21064722000000.0,19328592000000.0,18177732000000.0,19492801000000.0,22468033000000.0,22799016000000.0,20800900000000.0,20301933000000.0,22607441000000.0
2084.0,21149233000000.0,21002858000000.0,19188502000000.0,17954534000000.0,19296552000000.0,22256000000000.0,22717496000000.0,20650330000000.0,20116947000000.0,22569833000000.0
2085.0,20928057000000.0,20863703000000.0,19013256000000.0,17691757000000.0,19135837000000.0,22087379000000.0,22597555000000.0,20370063000000.0,19998429000000.0,22483135000000.0
2086.0,20801910000000.0,20788640000000.0,18785240000000.0,17538141000000.0,18896520000000.0,21958134000000.0,22507092000000.0,20150602000000.0,19838467000000.0,22431813000000.0
2087.0,20657069000000.0,20774983000000.0,18559797000000.0,17402015000000.0,18745018000000.0,21841217000000.0,22348518000000.0,20079849000000.0,19709550000000.0,22357719000000.0
2088.0,20463223000000.0,20677533000000.0,18405724000000.0,17186477000000.0,18626082000000.0,21762560000000.0,22191000000000.0,20005018000000.0,19510424000000.0,22254683000000.0
2089.0,20297800000000.0,20617714000000.0,18271114000000.0,16975717000000.0,18383827000000.0,21648110000000.0,22030242000000.0,19856485000000.0,19309728000000.0,22140498000000.0
2090.0,20140075000000.0,20429939000000.0,18085753000000.0,16726804000000.0,18216278000000.0,21458638000000.0,21841597000000.0,19703936000000.0,19141495000000.0,22050675000000.0
2091.0,20027506000000.0,20321355000000.0,17841724000000.0,16507998000000.0,17991278000000.0,21185132000000.0,21593904000000.0,19577457000000.0,18955947000000.0,21946887000000.0
2092.0,19861936000000.0,20193410000000.0,17638242000000.0,16309816000000.0,17821333000000.0,21009300000000.0,21455020000000.0,19332573000000.0,18761319000000.0,21869638000000.0
2093.0,19743174000000.0,20003550000000.0,17509586000000.0,16124563000000.0,17573223000000.0,20850552000000.0,21359118000000.0,19169473000000.0,18573634000000.0,21715206000000.0
2094.0,19608570000000.0,19767484000000.0,17281810000000.0,15860688000000.0,17362078000000.0,20636215000000.0,21213990000000.0,18881503000000.0,18398547000000.0,21611049000000.0
2095.0,19387573000000.0,19560437000000.0,17058921000000.0,15579674000000.0,17131847000000.0,20552876000000.0,21067289000000.0,18590013000000.0,18206996000000.0,21512074000000.0
2096.0,19182620000000.0,19402844000000.0,16838317000000.0,15307521000000.0,16934216000000.0,20383724000000.0,20898432000000.0,18451740000000.0,18020557000000.0,21408868000000.0
2097.0,19042578000000.0,19331298000000.0,16595969000000.0,15016218000000.0,16785054000000.0,20225102000000.0,20817868000000.0,18284907000000.0,17855322000000.0,21295943000000.0
2098.0,18907830000000.0,19175884000000.0,16538085000000.0,14763255000000.0,16569855000000.0,20093818000000.0,20685910000000.0,18037067000000.0,17625743000000.0,21183520000000.0
2099.0,18741746000000.0,19086161000000.0,16404283000000.0,14469719000000.0,16365028000000.0,20017494000000.0,20485046000000.0,17755802000000.0,17466135000000.0,21073600000000.0
2100.0,18589178000000.0,18881834000000.0,16245428000000.0,14147361000000.0,16229528000000.0,19857553000000.0,20341353000000.0,17611555000000.0,17277418000000.0,20956068000000.0
