time,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,ACCESS-CM2,INM-CM5-0,CESM2,TAIESM1,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4,CMCC-CM2-SR5,ACCESS-ESM1-5,MRI-ESM2-0,IPSL-CM6A-LR,EC-EARTH3,CANESM5,CESM2-WACCM,INM-CM4-8
2046.0,2209341000000.0,2137294200000.0,2331855300000.0,2063206400000.0,2087391500000.0,2002025800000.0,2001481900000.0,2294032600000.0,2452414500000.0,2300826600000.0,2305565700000.0,2288951000000.0,1929336800000.0,1986805500000.0,2175496500000.0,1940959400000.0,1549781000000.0,2111570700000.0,2245074600000.0
2047.0,2170225200000.0,2091943600000.0,2291181800000.0,1988717700000.0,2052177700000.0,1967363500000.0,1948307700000.0,2269282800000.0,2425839700000.0,2247355300000.0,2271824800000.0,2244908000000.0,1897610200000.0,1937904100000.0,2115770100000.0,1896518400000.0,1487820300000.0,2055059900000.0,2200977300000.0
2048.0,2117324400000.0,2052218800000.0,2247320100000.0,1946275800000.0,2017887900000.0,1921183100000.0,1888957200000.0,2228501600000.0,2391135700000.0,2196243300000.0,2241337500000.0,2196048800000.0,1836501800000.0,1897612700000.0,2057826100000.0,1855562600000.0,1428429000000.0,2018445500000.0,2167337100000.0
2049.0,2084882400000.0,2014243300000.0,2193868800000.0,1907335100000.0,1982058600000.0,1862315900000.0,1838165700000.0,2189506200000.0,2350045700000.0,2147865700000.0,2219523700000.0,2145163400000.0,1784277900000.0,1849738500000.0,1987167400000.0,1800893200000.0,1365791500000.0,1978882600000.0,2136248300000.0
2050.0,2045389300000.0,1970836600000.0,2140997400000.0,1854706700000.0,1941379500000.0,1819713500000.0,1793989500000.0,2158484900000.0,2326249000000.0,2107329700000.0,2178003800000.0,2108112100000.0,1747178500000.0,1809259200000.0,1916286000000.0,1751030000000.0,1314668300000.0,1938327000000.0,2097330000000.0
2051.0,1995025400000.0,1923150100000.0,2074505500000.0,1804834800000.0,1902245300000.0,1770029300000.0,1745179800000.0,2116723400000.0,2281426600000.0,2066081500000.0,2138225500000.0,2064197700000.0,1705659600000.0,1768399600000.0,1848949600000.0,1710660300000.0,1272229500000.0,1901860100000.0,2066166200000.0
2052.0,1934063000000.0,1880910100000.0,2029024200000.0,1755905100000.0,1843917000000.0,1713669400000.0,1692373500000.0,2071871800000.0,2240437600000.0,2013150200000.0,2088303500000.0,2008948900000.0,1666571000000.0,1729986000000.0,1796579300000.0,1669838300000.0,1218866800000.0,1843771900000.0,2032057200000.0
2053.0,1897270300000.0,1860378000000.0,1976461800000.0,1723449600000.0,1817281800000.0,1669787700000.0,1647388900000.0,2031099700000.0,2207058000000.0,1960040500000.0,2046000400000.0,1957862200000.0,1625892500000.0,1683630500000.0,1734161600000.0,1639560800000.0,1168136500000.0,1791248300000.0,2002296200000.0
2054.0,1874821500000.0,1823576400000.0,1921545800000.0,1686896000000.0,1783649500000.0,1626035200000.0,1590918600000.0,1981249600000.0,2171899500000.0,1909095300000.0,2015752000000.0,1903751600000.0,1584899300000.0,1658066700000.0,1672940200000.0,1601851800000.0,1117101800000.0,1763503600000.0,1963656500000.0
2055.0,1823655300000.0,1783260900000.0,1885139500000.0,1635586900000.0,1746326800000.0,1584039700000.0,1552366300000.0,1950195500000.0,2130392300000.0,1857997500000.0,1988016300000.0,1850912800000.0,1546420600000.0,1615083900000.0,1621851800000.0,1551595500000.0,1067771560000.0,1709591000000.0,1925446500000.0
2056.0,1798532200000.0,1730383200000.0,1830179800000.0,1586630800000.0,1711512400000.0,1540995300000.0,1515910300000.0,1902407300000.0,2093152200000.0,1797023900000.0,1951207100000.0,1809622800000.0,1514846000000.0,1577157900000.0,1567946700000.0,1504750900000.0,1018647350000.0,1661468900000.0,1893665100000.0
2057.0,1748870000000.0,1687229400000.0,1779087300000.0,1556067600000.0,1676502500000.0,1499206900000.0,1460597700000.0,1862420800000.0,2055805700000.0,1746970500000.0,1913433800000.0,1753254900000.0,1473570900000.0,1540682700000.0,1517327500000.0,1471253000000.0,974756100000.0,1631481900000.0,1858805200000.0
2058.0,1710593700000.0,1651527100000.0,1737316600000.0,1508508400000.0,1645685500000.0,1447824900000.0,1408786000000.0,1835448300000.0,2004889100000.0,1686229100000.0,1878178800000.0,1702085800000.0,1434978900000.0,1501917500000.0,1470673300000.0,1433674600000.0,931546200000.0,1594445800000.0,1817116400000.0
2059.0,1668110200000.0,1619076200000.0,1690489200000.0,1468459900000.0,1605269500000.0,1402008500000.0,1361338300000.0,1792209000000.0,1960666700000.0,1623472700000.0,1837327200000.0,1649238000000.0,1392653800000.0,1462774400000.0,1416240000000.0,1401264000000.0,885268550000.0,1544749700000.0,1776672000000.0
2060.0,1633376700000.0,1575619800000.0,1649940100000.0,1433536700000.0,1572343500000.0,1350415500000.0,1310727100000.0,1755586800000.0,1915682700000.0,1576309600000.0,1793962100000.0,1597305500000.0,1357196800000.0,1424999800000.0,1367007700000.0,1369068000000.0,843333760000.0,1505693000000.0,1743620000000.0
2061.0,1590538900000.0,1535775700000.0,1597834100000.0,1388203500000.0,1541947800000.0,1310261900000.0,1261540500000.0,1726935200000.0,1874600800000.0,1519656200000.0,1751393400000.0,1551604600000.0,1320270700000.0,1384109300000.0,1327249000000.0,1326004700000.0,801629140000.0,1455933100000.0,1688215000000.0
2062.0,1545017000000.0,1498041000000.0,1539322300000.0,1341738800000.0,1504956300000.0,1265208700000.0,1219398900000.0,1687522400000.0,1833818800000.0,1460375500000.0,1726775200000.0,1507253600000.0,1275806200000.0,1340939800000.0,1287651200000.0,1279814100000.0,761931200000.0,1416466500000.0,1664437300000.0
2063.0,1524304200000.0,1454111000000.0,1503383900000.0,1302834400000.0,1461702400000.0,1233041000000.0,1176201300000.0,1638591400000.0,1793053300000.0,1411567600000.0,1701257000000.0,1461938200000.0,1242779900000.0,1303786200000.0,1243953500000.0,1240607200000.0,732008500000.0,1386064900000.0,1633654100000.0
2064.0,1485930800000.0,1414527700000.0,1462071700000.0,1269748500000.0,1430947000000.0,1185824800000.0,1134569500000.0,1587570900000.0,1751020100000.0,1354137900000.0,1675192700000.0,1411663500000.0,1208428900000.0,1258262200000.0,1204081300000.0,1206789000000.0,696062700000.0,1347458700000.0,1607982500000.0
2065.0,1443993500000.0,1375637200000.0,1420707600000.0,1216197000000.0,1390353000000.0,1139319000000.0,1088119200000.0,1537482700000.0,1734131300000.0,1309372400000.0,1649629700000.0,1351660500000.0,1172371400000.0,1230199500000.0,1162240600000.0,1172463400000.0,660657300000.0,1317105000000.0,1574695500000.0
2066.0,1406930800000.0,1344395500000.0,1380383700000.0,1168086800000.0,1353913200000.0,1109155800000.0,1047140040000.0,1516874200000.0,1692381200000.0,1257636200000.0,1615376000000.0,1301863300000.0,1133874400000.0,1198416200000.0,1123957600000.0,1137485800000.0,619742500000.0,1287441400000.0,1538002100000.0
2067.0,1368673700000.0,1314146100000.0,1343621600000.0,1133421100000.0,1323674500000.0,1073613900000.0,1013096500000.0,1481812700000.0,1651298100000.0,1198402300000.0,1584993700000.0,1252764000000.0,1086214800000.0,1168953600000.0,1089758400000.0,1100610700000.0,587940600000.0,1248687600000.0,1510211200000.0
2068.0,1317788300000.0,1284423200000.0,1300828000000.0,1087041800000.0,1287998300000.0,1040293560000.0,964340150000.0,1437002800000.0,1616211200000.0,1146635000000.0,1555062800000.0,1203195600000.0,1052072000000.0,1128512600000.0,1050518600000.0,1074207500000.0,558252500000.0,1207786400000.0,1480138300000.0
2069.0,1286356600000.0,1249313300000.0,1271278100000.0,1047645260000.0,1262805300000.0,1001917400000.0,927641900000.0,1404962300000.0,1580687200000.0,1094406400000.0,1523477800000.0,1161483600000.0,1017252150000.0,1102325600000.0,1013675850000.0,1037318200000.0,523532470000.0,1178889900000.0,1451256200000.0
2070.0,1255105500000.0,1217953800000.0,1233679400000.0,1008000300000.0,1224513300000.0,970678800000.0,895416860000.0,1380226000000.0,1545367200000.0,1050718000000.0,1498843200000.0,1120221500000.0,979992000000.0,1071081300000.0,972721360000.0,1007599400000.0,492320520000.0,1142245000000.0,1395817000000.0
2071.0,1217686900000.0,1180391400000.0,1191581700000.0,966307350000.0,1190729500000.0,933478140000.0,861479800000.0,1346991700000.0,1507493300000.0,1001078460000.0,1473041700000.0,1083699000000.0,940771600000.0,1040712900000.0,937235100000.0,973277200000.0,463407250000.0,1107379400000.0,1360389900000.0
2072.0,1176987100000.0,1143406100000.0,1146255400000.0,928640400000.0,1159527800000.0,903220500000.0,829640600000.0,1304680500000.0,1470737700000.0,959419200000.0,1438822200000.0,1047600300000.0,904652500000.0,1010527300000.0,901404600000.0,938312900000.0,437207400000.0,1073379600000.0,1332718500000.0
2073.0,1146817500000.0,1117298400000.0,1118129400000.0,885985200000.0,1128320200000.0,878511100000.0,798838950000.0,1272932700000.0,1435993500000.0,907079650000.0,1408312100000.0,1007805330000.0,868489200000.0,986177540000.0,864688800000.0,904856500000.0,409640470000.0,1039954400000.0,1311966000000.0
2074.0,1109667700000.0,1089713400000.0,1087462700000.0,851534150000.0,1097557700000.0,850989150000.0,769485960000.0,1245844200000.0,1416959200000.0,871653100000.0,1385459500000.0,974262500000.0,838934600000.0,960142700000.0,833023400000.0,872492040000.0,388505500000.0,1004348640000.0,1275525700000.0
2075.0,1064696400000.0,1054459560000.0,1038810300000.0,822018700000.0,1071434100000.0,822697400000.0,741723500000.0,1203201900000.0,1395540900000.0,824200700000.0,1363945700000.0,931741800000.0,806021400000.0,932836000000.0,801114160000.0,838508100000.0,363473040000.0,969605640000.0,1237224300000.0
2076.0,1028346300000.0,1024826540000.0,1006617400000.0,787897900000.0,1043347300000.0,793129250000.0,712270940000.0,1163321400000.0,1364878700000.0,783358360000.0,1338336300000.0,892753000000.0,767779600000.0,899472950000.0,766680900000.0,813506040000.0,342432120000.0,938780500000.0,1200840100000.0
2077.0,997233100000.0,994059600000.0,972260840000.0,758740350000.0,1015059100000.0,767335860000.0,680945400000.0,1130404000000.0,1335591700000.0,745128700000.0,1312924600000.0,854338960000.0,737382400000.0,877330300000.0,735222960000.0,785353500000.0,323580330000.0,907768370000.0,1178477400000.0
2078.0,967586550000.0,967532150000.0,942187740000.0,729332100000.0,988261650000.0,744590600000.0,655948700000.0,1093919000000.0,1297669300000.0,713040000000.0,1287890800000.0,813276000000.0,712715340000.0,848157150000.0,706388300000.0,758309800000.0,309383430000.0,871931200000.0,1156091500000.0
2079.0,939103700000.0,937463100000.0,908492100000.0,699707700000.0,955952860000.0,715982770000.0,634542360000.0,1060456000000.0,1274775000000.0,687841150000.0,1254008000000.0,782562500000.0,681511300000.0,817153840000.0,674624100000.0,726009500000.0,292702160000.0,842369900000.0,1130019700000.0
2080.0,897302270000.0,907234250000.0,880553300000.0,673405500000.0,931452600000.0,695698700000.0,610124800000.0,1021033840000.0,1257479000000.0,652729400000.0,1221093900000.0,750354370000.0,651162800000.0,792028250000.0,642750550000.0,699647660000.0,277100560000.0,815109400000.0,1099579300000.0
2081.0,861784600000.0,883655100000.0,842295800000.0,640652600000.0,902009100000.0,670664000000.0,582972800000.0,991786900000.0,1232822600000.0,622600600000.0,1192114100000.0,713095640000.0,625960940000.0,768016840000.0,613823150000.0,670249300000.0,266945070000.0,793968400000.0,1075282640000.0
2082.0,828434500000.0,856715400000.0,801665800000.0,612637300000.0,879344900000.0,651283400000.0,564482100000.0,959901500000.0,1203468600000.0,592071500000.0,1160788200000.0,682392940000.0,602212600000.0,743745900000.0,581213900000.0,639928960000.0,255182750000.0,759886450000.0,1048625150000.0
2083.0,797231740000.0,829523360000.0,768756940000.0,582093440000.0,853962400000.0,627374300000.0,540325500000.0,934335150000.0,1173396900000.0,562054300000.0,1128788100000.0,647754900000.0,577172400000.0,726987200000.0,551980500000.0,618183800000.0,237893860000.0,727575100000.0,1022352200000.0
2084.0,760462300000.0,801142600000.0,733468000000.0,554600960000.0,830082800000.0,605088300000.0,515321900000.0,898363900000.0,1139065500000.0,533803470000.0,1094538000000.0,619124000000.0,552107640000.0,697710540000.0,526029400000.0,590657550000.0,225718480000.0,703557500000.0,995768340000.0
2085.0,732438000000.0,777698340000.0,706186100000.0,531654600000.0,809772700000.0,581950700000.0,491281300000.0,869526200000.0,1104805500000.0,507538740000.0,1063063800000.0,591663200000.0,528936860000.0,675524400000.0,502423600000.0,561207100000.0,214444920000.0,678002000000.0,971444100000.0
