time,CCSM4,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,CNRM-CM5,GFDL-CM3,GISS-E2-R,CANESM2,IPSL-CM5A-LR
2023.0,13769736000.0,13835122000.0,13810393000.0,13929944000.0,13827928000.0,13828412000.0,13662152000.0,13941625000.0,13709125000.0,13991502000.0
2024.0,13571202000.0,13736026000.0,13524676000.0,13773812000.0,13578423000.0,13753318000.0,13557130000.0,13755425000.0,13560993000.0,13673827000.0
2025.0,13427063000.0,13803843000.0,13450537000.0,13707543000.0,13606962000.0,13655480000.0,13366229000.0,13712232000.0,13510785000.0,13540095000.0
2026.0,13289224000.0,13549834000.0,13635203000.0,13555229000.0,13400404000.0,13564484000.0,13218137000.0,13604173000.0,13358694000.0,13542191000.0
2027.0,13144529000.0,13553011000.0,13382120000.0,13337173000.0,13230954000.0,13409504000.0,13027534000.0,13594031000.0,13192121000.0,13384846000.0
2028.0,13111086000.0,13330914000.0,13261062000.0,13213656000.0,13209466000.0,13291271000.0,12772206000.0,13516665000.0,13098864000.0,13226575000.0
2029.0,12889162000.0,13160002000.0,13235177000.0,13219298000.0,12954881000.0,13128226000.0,13320031000.0,13513130000.0,12926603000.0,13226308000.0
2030.0,12579948000.0,13035786000.0,13076710000.0,13184498000.0,12771628000.0,12956678000.0,12721928000.0,13545502000.0,12759206000.0,13089768000.0
2031.0,12382276000.0,13184811000.0,12986083000.0,12909576000.0,12921013000.0,12815464000.0,12303770000.0,13303499000.0,12544122000.0,13111506000.0
2032.0,12376682000.0,12700035000.0,12696371000.0,12700680000.0,12743764000.0,12825164000.0,12149937000.0,13258697000.0,12347006000.0,12838278000.0
2033.0,12112087000.0,12515214000.0,12508938000.0,12546137000.0,12458599000.0,12827543000.0,11910554000.0,13156384000.0,12053920000.0,12833450000.0
2034.0,11899490000.0,12340353000.0,12246849000.0,12317160000.0,12252885000.0,12659663000.0,11700259000.0,13002061000.0,11904208000.0,12601906000.0
2035.0,11684879000.0,12096865000.0,11985922000.0,12120038000.0,12069684000.0,12375954000.0,11392006000.0,13138998000.0,11380131000.0,12443786000.0
2036.0,11448574000.0,11973854000.0,11810713000.0,12233505000.0,11866726000.0,12364126000.0,11085588000.0,12882317000.0,11062727000.0,12323544000.0
2037.0,11322799000.0,11790876000.0,11641259000.0,11918677000.0,11711902000.0,12163672000.0,10686208000.0,12777363000.0,10832948000.0,12132386000.0
2038.0,11099972000.0,12287048000.0,11387936000.0,11670212000.0,11563477000.0,11953231000.0,10343303000.0,12565139000.0,10577335000.0,12373799000.0
2039.0,10996406000.0,11824612000.0,11275504000.0,11438204000.0,11392470000.0,11753057000.0,10167098000.0,12410644000.0,10265632000.0,12016838000.0
2040.0,10875426000.0,11437167000.0,10976092000.0,11134051000.0,11259177000.0,11671222000.0,9920706000.0,12282390000.0,10083807000.0,11910977000.0
2041.0,10714496000.0,11358682000.0,10671206000.0,10785313000.0,10985601000.0,11557775000.0,9601148000.0,12184886000.0,9635581000.0,11822795000.0
2042.0,10618063000.0,11107269000.0,10598354000.0,10660132000.0,10810371000.0,11578218000.0,9282813000.0,12070268000.0,9232230000.0,11568931000.0
2043.0,10269561000.0,10974608000.0,10266470000.0,10330128000.0,10614130000.0,11285898000.0,9569067000.0,11987891000.0,8927361000.0,11404360000.0
2044.0,10196754000.0,10768697000.0,10048825000.0,10271425000.0,10392579000.0,11127341000.0,8927996000.0,12023723000.0,8796231000.0,11284490000.0
2045.0,9953751000.0,10581595000.0,9827408000.0,9983357000.0,10183540000.0,11732589000.0,8628152000.0,11872537000.0,8644173000.0,11148098000.0
2046.0,9819233000.0,10419895000.0,9832935000.0,9796051000.0,9905717000.0,11490808000.0,8310146600.0,11735297000.0,8555792000.0,11324867000.0
2047.0,9596585000.0,10247152000.0,9624595000.0,9700573000.0,9732644000.0,10987042000.0,8015068000.0,11686639000.0,8134394400.0,10939435000.0
2048.0,9407984000.0,10061984000.0,10222642000.0,9573137000.0,9445107000.0,11647659000.0,7797363000.0,11602641000.0,7785977000.0,10714211000.0
2049.0,9211802000.0,9864290000.0,9503283000.0,9330180000.0,9271130000.0,11285741000.0,7512874000.0,11450962000.0,7548547000.0,10914426000.0
2050.0,9121230000.0,9892124000.0,9064443000.0,9347688000.0,9233017000.0,11419947000.0,7266697000.0,11291655000.0,7326963000.0,10627272000.0
2051.0,8896543000.0,9748960000.0,8913903000.0,9599075000.0,8963190000.0,10884440000.0,7034585000.0,11149962000.0,7121399000.0,10481648000.0
2052.0,8859037000.0,9617075000.0,8646661000.0,9026108000.0,8799788000.0,10649477000.0,6783709000.0,11051145000.0,6954943000.0,10359184000.0
2053.0,8656815000.0,9339143000.0,8458473500.0,9193771000.0,8695737000.0,10577006000.0,6429013000.0,10949051000.0,6883751000.0,10359652000.0
2054.0,8651394000.0,9139113000.0,8432049700.0,8930064000.0,8605580000.0,10369207000.0,6211737600.0,10871337000.0,6514125300.0,10361023000.0
2055.0,8550860300.0,9032628000.0,8187825700.0,8804295000.0,8633643000.0,10192929000.0,6010876000.0,10763630000.0,6827199000.0,10063431000.0
2056.0,8286472700.0,9026555000.0,7865250300.0,8541097500.0,8272261000.0,10185045000.0,5728489000.0,10980914000.0,6220716500.0,9897554000.0
2057.0,8144725000.0,9089649000.0,7588195000.0,8274208000.0,8298400300.0,10157304000.0,5489999000.0,10706702000.0,6094290000.0,9812562000.0
2058.0,8039175000.0,8750368000.0,7414277000.0,8120764000.0,8131307500.0,9861864000.0,5271176700.0,10572754000.0,5974401500.0,9722666000.0
2059.0,7984460000.0,8551954000.0,7230080500.0,8041629000.0,8721304000.0,9795480000.0,5137422300.0,10501676000.0,5942149600.0,10407801000.0
2060.0,7846953500.0,8486935000.0,7673837000.0,7933591600.0,7852375600.0,9699730000.0,5000735000.0,10373071000.0,5781687300.0,9688130000.0
2061.0,7778201600.0,8314543000.0,7263635000.0,10512118000.0,7781623000.0,9498612000.0,4798503000.0,10322132000.0,5632029000.0,9440690000.0
2062.0,7517541400.0,8178997000.0,7048912400.0,8728109000.0,7624464000.0,9384061000.0,4726139000.0,10232313000.0,5526692000.0,9437856000.0
2063.0,7418260500.0,8024502300.0,7300159500.0,8061400600.0,7508236300.0,9282306000.0,4505043000.0,10244861000.0,6125528000.0,9300067000.0
2064.0,7585146000.0,7949319000.0,6857053000.0,8241471500.0,7455443500.0,9154166000.0,4361464000.0,10044869000.0,5499951600.0,9186417000.0
2065.0,7185086500.0,8268995600.0,6661556000.0,7741487000.0,7278193000.0,9069482000.0,4657942000.0,10305871000.0,5287004000.0,9124785000.0
2066.0,7126418400.0,7683597300.0,6548238000.0,8052605400.0,7099092500.0,9261614000.0,4397009400.0,9947350000.0,5323319300.0,9105416000.0
2067.0,6950513700.0,8826151000.0,6569748500.0,7761161700.0,7126196000.0,8881746000.0,4087555300.0,9841432000.0,5205013500.0,8920228000.0
2068.0,7065638400.0,7515308500.0,6594457600.0,7834027500.0,6989596000.0,9218578000.0,3937534000.0,9748100000.0,5115628500.0,8826324000.0
2069.0,6886351000.0,7347981300.0,6772612600.0,7483439000.0,7009459000.0,8856997000.0,3781458200.0,9874598000.0,4929265000.0,8748418000.0
2070.0,6985768000.0,7419839000.0,6526098400.0,7536317000.0,6835727000.0,8756995000.0,3714566000.0,9540043000.0,4806195000.0,8606453000.0
2071.0,6808671000.0,7122466300.0,6232332300.0,7348322000.0,6719607300.0,8556770300.0,3667741400.0,9408052000.0,4811485000.0,8961636000.0
2072.0,7018712600.0,7006804000.0,6841851400.0,7185804000.0,6723662300.0,8461436400.0,3494577700.0,9367389000.0,4819644400.0,8519212500.0
2073.0,6805333500.0,6938476500.0,6510474000.0,7192689700.0,6507024400.0,8332354600.0,3380011500.0,10449764000.0,4966879000.0,8581890600.0
2074.0,6539794400.0,6723152000.0,6009542000.0,7175529000.0,6494240300.0,8181928000.0,3297558500.0,9302942000.0,4865478700.0,8418451000.0
2075.0,6415767600.0,6662661000.0,5893288400.0,7903211000.0,6545727500.0,8146174000.0,3190545000.0,9185970000.0,5018865700.0,8361359400.0
2076.0,6777926700.0,6525175300.0,5640214000.0,7437870600.0,6742882300.0,7902725600.0,3099193000.0,9727950000.0,4639889000.0,8465662000.0
2077.0,6654029300.0,6400900000.0,5816170500.0,7081027600.0,6257765400.0,7723874300.0,2996286700.0,10559158000.0,4589554000.0,8149486000.0
2078.0,6479013000.0,6304997400.0,5452532000.0,7434225000.0,6167166500.0,7646882300.0,2900857600.0,9420283000.0,4464756000.0,8053411300.0
2079.0,6445853700.0,6224137700.0,5409440300.0,6862077400.0,6880187400.0,7708086000.0,2865800200.0,9097239000.0,4405123000.0,8005535000.0
2080.0,6162037000.0,6177483000.0,5271468500.0,7929559000.0,6245188600.0,7527706600.0,2747097300.0,9185677000.0,4321428500.0,7998987300.0
2081.0,6839772000.0,6503158300.0,5151412700.0,7976558000.0,6153993700.0,7396440600.0,2680946400.0,9123470000.0,4934151700.0,7982045700.0
2082.0,6084560000.0,6044327000.0,5329675000.0,8085952000.0,6091311000.0,7345734000.0,2671682600.0,9160505000.0,4610361300.0,8329088500.0
2083.0,5972302300.0,5932604400.0,5181403000.0,6956042000.0,6150102000.0,7302964700.0,2606459400.0,9478268000.0,4419224000.0,7847374000.0
2084.0,5865180700.0,6119540700.0,5079946000.0,7375017000.0,5888836000.0,7255931000.0,2569543000.0,9299219000.0,4260177700.0,7849851400.0
2085.0,5848414700.0,5762944500.0,4990299000.0,6776212000.0,5811429400.0,7008021000.0,2622414600.0,8871168000.0,4125982500.0,7695522300.0
2086.0,5919717400.0,5670059000.0,4821929500.0,6563947500.0,5783320600.0,6897500700.0,2429527300.0,9020441000.0,4069782300.0,7557613600.0
2087.0,5916651500.0,5517747700.0,4697278000.0,6522245600.0,5737151500.0,6748709000.0,2431106300.0,8839577000.0,3930790400.0,7447170600.0
2088.0,5703748000.0,5567068000.0,4535423500.0,6646447000.0,5647252000.0,7424896500.0,2684800000.0,8814321000.0,3855158500.0,7850000400.0
2089.0,5905969700.0,5356818400.0,4512139000.0,6556094500.0,5575065000.0,6636299300.0,2295216600.0,8724806000.0,3899214800.0,7408603000.0
2090.0,5740090400.0,5317805000.0,5367272000.0,6431901000.0,6214862300.0,6522969600.0,2223867000.0,8645664000.0,3809428700.0,7725158000.0
2091.0,5669336000.0,5568509400.0,4527875600.0,6723157500.0,6551174700.0,6391888000.0,2096455300.0,8921593000.0,3764071000.0,7151360500.0
2092.0,5581936600.0,5214284000.0,4370411500.0,6430451000.0,5695576000.0,6406735400.0,2028569000.0,8837868000.0,3787576300.0,7152733700.0
2093.0,5498295300.0,5258228000.0,4335892500.0,6418495000.0,5523886000.0,6532795400.0,1939728300.0,8578438000.0,3701562600.0,6969644000.0
2094.0,5911186400.0,5112250400.0,4257623300.0,7870856700.0,5657621500.0,6289812500.0,1879782900.0,8734951000.0,3679985700.0,7055691300.0
2095.0,5699158500.0,5010691600.0,4781783000.0,8436329000.0,5588382700.0,7828498400.0,1858016400.0,8793814000.0,3543783000.0,6931109000.0
2096.0,5517134000.0,4958661000.0,4315347000.0,6885240300.0,5373001700.0,6537683500.0,1823862900.0,8688394000.0,3555886300.0,6818025500.0
2097.0,7016108500.0,5004278000.0,4044763100.0,7245858000.0,5361371000.0,6181810700.0,1769029600.0,8554690600.0,3456054000.0,6911242000.0
2098.0,5401533400.0,4865326000.0,4106935600.0,6902012400.0,5295965000.0,6502853000.0,1708575200.0,8606238000.0,3561660200.0,6645014500.0
2099.0,6111003600.0,4858767400.0,3898036700.0,6759415300.0,5413510000.0,6464658000.0,1654315100.0,8508781600.0,3396072400.0,7281315000.0
2100.0,5393261600.0,4708400000.0,3871996200.0,6594542000.0,5618228700.0,6309440500.0,1605691500.0,8796849000.0,3334340600.0,6532050400.0
