time,EC-EARTH3-VEG,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,CMCC-CM2-SR5,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM4-8,INM-CM5-0
2071.0,533497730.0,555847200.0,594586300.0,716395500.0,534620260.0,464129920.0,747540800.0,419640320.0,692928450.0,389222940.0,647948860.0,524397500.0,835982200.0,1020225300.0
2072.0,525809860.0,554536500.0,582179700.0,706720060.0,519145400.0,458355140.0,728342800.0,406936740.0,679747500.0,381377860.0,636134000.0,508241120.0,822008700.0,1007612000.0
2073.0,522756130.0,542361100.0,570240800.0,696151400.0,507962300.0,448273540.0,698304900.0,407477020.0,673100400.0,366932300.0,625339900.0,499533000.0,835668030.0,990612860.0
2074.0,509251000.0,535750720.0,554468100.0,688631500.0,491680500.0,440746660.0,681337400.0,401685600.0,660407550.0,357373100.0,609028600.0,487050240.0,812586900.0,971106800.0
2075.0,495788260.0,537274100.0,540335500.0,683153700.0,472002750.0,451545000.0,666647600.0,395234980.0,643171900.0,346599740.0,597280000.0,470842180.0,803547400.0,973153150.0
2076.0,526601600.0,521299260.0,532107040.0,674578800.0,456287550.0,448576580.0,648538000.0,385352030.0,627188300.0,338684100.0,586409300.0,475158340.0,796484740.0,956619000.0
2077.0,493610020.0,517954400.0,523235230.0,665931300.0,439239580.0,437812130.0,630504640.0,380915700.0,612287200.0,330984450.0,573224260.0,465865730.0,786663200.0,947885060.0
2078.0,481307520.0,511436220.0,515004450.0,655121400.0,429586140.0,440322940.0,626118460.0,375813900.0,602251600.0,319793060.0,560410800.0,453543580.0,778540800.0,937896770.0
2079.0,476732960.0,502120260.0,501398850.0,650017660.0,421194180.0,432977120.0,609756900.0,370275230.0,601882600.0,310477440.0,549279600.0,450915200.0,765808640.0,929519000.0
2080.0,470329920.0,495430270.0,491918430.0,642146370.0,407833700.0,429390800.0,607094100.0,359021150.0,591951300.0,307707940.0,537658300.0,446567900.0,758750100.0,932100900.0
2081.0,455508450.0,522128400.0,489577820.0,628139460.0,390130560.0,426257760.0,600707200.0,350572580.0,579903740.0,296880700.0,521244700.0,436006240.0,751483200.0,926847900.0
2082.0,454502660.0,491733440.0,485092450.0,624813600.0,374761920.0,419270370.0,618227900.0,340100830.0,567480300.0,288943780.0,508752860.0,428753600.0,744667970.0,916977000.0
