time,CCSM4,CESM1-CAM5
2255.0,1060956.4,574876.06
2256.0,1060565.9,574983.6
2257.0,1060803.0,574128.94
2258.0,1232497.6,554962.4
2259.0,1097677.2,555577.44
2260.0,1049665.6,556638.44
2261.0,1019614.2,569892.0
2262.0,891023.06,557548.44
2263.0,1099720.1,555825.9
2264.0,890036.7,530950.94
2265.0,889326.6,529872.7
2266.0,903623.94,525563.06
2267.0,887881.6,523897.62
2268.0,888364.9,523849.06
2269.0,886901.44,524986.56
2270.0,1015483.9,524873.9
2271.0,889745.25,524917.56
2272.0,888147.6,523482.7
2273.0,885741.2,513277.7
2274.0,862250.4,510040.5
2275.0,861723.44,491496.38
2276.0,860527.4,492131.1
2277.0,859330.1,492369.88
2278.0,847323.3,485368.16
2279.0,1135898.5,485907.03
2280.0,850144.94,536832.6
2281.0,845887.7,501380.4
2282.0,845015.56,500302.4
2283.0,838244.94,508550.75
2284.0,837925.6,486081.06
2285.0,773467.9,486249.56
2286.0,792711.56,486586.3
2287.0,778525.94,485924.62
2288.0,738249.3,487323.0
2289.0,746922.0,486348.66
2290.0,738026.0,485915.97
2291.0,738076.44,488073.0
2292.0,736776.7,486529.44
2293.0,737371.2,485858.88
2294.0,736696.7,484553.94
2295.0,751511.7,484630.2
2296.0,736151.6,483694.47
2297.0,736047.25,484375.9
2298.0,735444.25,484799.4
2299.0,735646.6,484812.6
2300.0,749744.6,485760.1
