time,MPI-ESM-LR,IPSL-CM5A-LR,CNRM-CM5,GFDL-CM3,GISS-E2-R,NORESM1-M,CCSM4,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G
2041.0,72079330000.0,54825554000.0,71249350000.0,46317412000.0,65413812000.0,49238590000.0,59095056000.0,69673250000.0,51505450000.0,68164750000.0
2042.0,71111510000.0,52056090000.0,70225355000.0,43820392000.0,63703142000.0,46953935000.0,56387834000.0,68095205000.0,49387016000.0,66569335000.0
2043.0,69724094000.0,50043437000.0,68113440000.0,41628987000.0,62225973000.0,44903756000.0,54448230000.0,65678360000.0,47278637000.0,64622870000.0
2044.0,67571958000.0,47724003000.0,66614317000.0,39421514000.0,60309524000.0,43037300000.0,53198135000.0,63791930000.0,44779635000.0,63582683000.0
2045.0,66574430000.0,45183720000.0,64409784000.0,37057890000.0,58253574000.0,41253933000.0,50496147000.0,62726922000.0,42568417000.0,61273790000.0
2046.0,64637125000.0,42435660000.0,62107206000.0,35187126000.0,56756494000.0,38710780000.0,48413966000.0,61379950000.0,40203293000.0,58742860000.0
2047.0,62788223000.0,40738664000.0,59706320000.0,33085270000.0,54713180000.0,37059370000.0,46225840000.0,58684584000.0,37734347000.0,56972358000.0
2048.0,60510056000.0,39450518000.0,58133996000.0,31053976000.0,53322030000.0,35845410000.0,44168840000.0,56766920000.0,35455205000.0,54807670000.0
2049.0,58113618000.0,37152790000.0,56101528000.0,29020828000.0,50879870000.0,34083095000.0,42799428000.0,55604044000.0,33301926000.0,52571804000.0
2050.0,56349962000.0,35328420000.0,53943554000.0,27459138000.0,49521870000.0,32668970000.0,41278775000.0,53619073000.0,31605369000.0,51561546000.0
2051.0,55224295000.0,33353736000.0,52256063000.0,25601604000.0,48107803000.0,31700960000.0,39635587000.0,51686744000.0,30275019000.0,50144362000.0
2052.0,54351274000.0,31741792000.0,49907945000.0,23890944000.0,46306464000.0,30547593000.0,38121878000.0,50689876000.0,28886708000.0,48753713000.0
2053.0,52130984000.0,30091127000.0,48945200000.0,22402950000.0,43579814000.0,29209539000.0,36122305000.0,48886110000.0,27516426000.0,47380020000.0
2054.0,50630660000.0,28461826000.0,46654390000.0,21260315000.0,41561666000.0,28514746000.0,34904860000.0,46485037000.0,26276217000.0,46638436000.0
2055.0,49291810000.0,27230618000.0,45175615000.0,19932099000.0,39786344000.0,27477516000.0,33769791000.0,44632250000.0,24876208000.0,45042217000.0
2056.0,47335600000.0,25669607000.0,43629146000.0,18543155000.0,38949400000.0,26338986000.0,31825412000.0,43558818000.0,23665996000.0,43445674000.0
2057.0,46518735000.0,24056705000.0,41851322000.0,17402505000.0,37775417000.0,25220448000.0,30258799000.0,42199745000.0,22828140000.0,41258530000.0
2058.0,45622256000.0,22851926000.0,40994664000.0,16133297000.0,36642816000.0,24480887000.0,28854675000.0,40200670000.0,21890000000.0,40277058000.0
2059.0,43959017000.0,21735570000.0,39642788000.0,15269211000.0,34866680000.0,23247348000.0,27551812000.0,38590790000.0,20603384000.0,39242473000.0
2060.0,41433797000.0,20651241000.0,38425840000.0,14285219000.0,33779260000.0,22392297000.0,26428041000.0,37274178000.0,19722062000.0,38306374000.0
2061.0,40117907000.0,19662438000.0,36660863000.0,13308187000.0,32954102000.0,21890281000.0,24957710000.0,36071000000.0,18768920000.0,37163266000.0
2062.0,39099777000.0,18725409000.0,35538880000.0,12358545000.0,32115972000.0,20814463000.0,23810044000.0,35017257000.0,17622276000.0,35940405000.0
2063.0,37658140000.0,17932431000.0,33367052000.0,11604218000.0,30777055000.0,19899881000.0,22735600000.0,33823940000.0,16812716000.0,34638350000.0
2064.0,36796830000.0,17350547000.0,31722576000.0,11032760000.0,30314232000.0,18817081000.0,21634396000.0,32074906000.0,16234417000.0,33881178000.0
2065.0,35606835000.0,16654917000.0,30571864000.0,10492478000.0,29470732000.0,17978000000.0,20607277000.0,30871704000.0,15160938000.0,32830400000.0
2066.0,34512364000.0,15882227000.0,28852130000.0,9931683000.0,28296436000.0,17185434000.0,19476998000.0,29176658000.0,14740966000.0,31821509000.0
2067.0,33664210000.0,15118130000.0,27261903000.0,9533036000.0,27323355000.0,16366996000.0,18829494000.0,28091280000.0,14377819000.0,30430837000.0
2068.0,32660062000.0,14540914000.0,26035014000.0,8964442000.0,26701949000.0,15771223000.0,18059782000.0,26948550000.0,13778723000.0,29338302000.0
2069.0,31479974000.0,13950026000.0,24983775000.0,8568526000.0,26492717000.0,14993755000.0,17332488000.0,25653860000.0,13324771000.0,28339030000.0
2070.0,30797548000.0,13206297000.0,23873933000.0,8226328000.0,25818194000.0,14464028000.0,16787526000.0,24468423000.0,12871711000.0,26973534000.0
2071.0,29755234000.0,12580518000.0,22529112000.0,7962820000.0,25048189000.0,13845241000.0,15820488000.0,23684911000.0,12397332000.0,26080696000.0
2072.0,29069036000.0,12066906000.0,21660550000.0,7681553400.0,24699080000.0,13281794000.0,15155594000.0,22713383000.0,11976929000.0,25077006000.0
2073.0,28213692000.0,11648767000.0,20881873000.0,7427735600.0,24044597000.0,12799106000.0,14649642000.0,21867348000.0,11673954000.0,24125331000.0
2074.0,27337765000.0,11016071000.0,20005253000.0,7191339500.0,23295166000.0,12222657000.0,14071529000.0,20627818000.0,11343531000.0,23124621000.0
2075.0,26337364000.0,10668890000.0,19051037000.0,6981036500.0,22691269000.0,11628717000.0,13582340000.0,20039913000.0,10948550000.0,22565337000.0
2076.0,25447367000.0,10233575000.0,18169502000.0,6749729300.0,22418014000.0,11229315000.0,13069727000.0,18988354000.0,10664747000.0,21556396000.0
2077.0,24384608000.0,9779285000.0,17145938000.0,6501564400.0,21938708000.0,10731480000.0,12444706000.0,17761053000.0,10322678000.0,20931404000.0
2078.0,23365900000.0,9279120000.0,16780734000.0,6318921000.0,21365875000.0,10408922000.0,11948773000.0,17048500000.0,10131675000.0,20163758000.0
2079.0,22034897000.0,8828767000.0,16127200000.0,6086196700.0,20864152000.0,10168920000.0,11556912000.0,16142858000.0,9889584000.0,19488184000.0
2080.0,20962329000.0,8528054000.0,15299046000.0,5959854600.0,20629793000.0,9810452000.0,11160970000.0,15550923000.0,9536752000.0,18685643000.0
2081.0,20248848000.0,8177492000.0,14488533000.0,5745705500.0,19935414000.0,9507279000.0,10800710000.0,15028357000.0,9200779000.0,17974104000.0
2082.0,19609140000.0,7813304000.0,13848182000.0,5560756700.0,19602246000.0,9210297000.0,10460035000.0,14385061000.0,8852379000.0,17405862000.0
2083.0,18973049000.0,7525354500.0,13422127000.0,5353946000.0,19355548000.0,8884170000.0,10101365000.0,13784099000.0,8685853000.0,16725468000.0
2084.0,18146440000.0,7199272400.0,12709094000.0,5235798500.0,19068074000.0,8760706000.0,9820500000.0,13147252000.0,8484604000.0,16342077000.0
2085.0,17490932000.0,6968607000.0,12072057000.0,5001279000.0,18806389000.0,8500067000.0,9572140000.0,12749351000.0,8176383500.0,15771202000.0
2086.0,16610711000.0,6725674500.0,11645975000.0,4786991000.0,18481244000.0,8316121000.0,9299218000.0,12254739000.0,7985068000.0,15199257000.0
2087.0,16152035000.0,6493943000.0,11272686000.0,4623028700.0,18266153000.0,8095062500.0,9073235000.0,11754384000.0,7746276400.0,14970077000.0
2088.0,15338934000.0,6264034300.0,10809174000.0,4488146400.0,17845434000.0,7875751000.0,8833874000.0,11441789000.0,7498235400.0,14596272000.0
2089.0,14739375000.0,6013251600.0,10664165000.0,4328764000.0,17225431000.0,7634571300.0,8613767000.0,11061778000.0,7353955000.0,13875436000.0
2090.0,14127559000.0,5806822000.0,10234042000.0,4183364900.0,16731140000.0,7347967500.0,8323023000.0,10700874000.0,7174736400.0,13598962000.0
2091.0,13504753000.0,5630384000.0,9791418000.0,4114435300.0,16420811000.0,7195979300.0,8063456000.0,10333704000.0,6938867700.0,13061481000.0
2092.0,12617508000.0,5451811300.0,9399329000.0,3961208000.0,15894289000.0,6913024000.0,7809743000.0,10136616000.0,6693765600.0,12677985000.0
2093.0,11968941000.0,5310395000.0,9058612000.0,3820946700.0,15380517000.0,6709063700.0,7638832000.0,9872976000.0,6523525000.0,12195675000.0
2094.0,11639437000.0,5111073300.0,8706459000.0,3665066500.0,15075986000.0,6485666300.0,7412821000.0,9620441000.0,6350931500.0,11727035000.0
2095.0,11234419000.0,4980814300.0,8450320400.0,3532493600.0,14655832000.0,6387447300.0,7212167000.0,9311000000.0,6223352000.0,11487367000.0
2096.0,10680679000.0,4820447700.0,8196716000.0,3409327900.0,14375176000.0,6221862000.0,7146540500.0,9087396000.0,5982020000.0,11195636000.0
2097.0,10253342000.0,4654429000.0,7931965400.0,3281925000.0,14218507000.0,6085027300.0,6874626000.0,8959563000.0,5783598600.0,10836034000.0
2098.0,9893452000.0,4541825500.0,7647109000.0,3168789800.0,13821898000.0,5893546000.0,6661897000.0,8621392000.0,5682824700.0,10416434000.0
2099.0,9626049000.0,4437653000.0,7362096000.0,3007899600.0,13669308000.0,5756832300.0,6478287400.0,8421303300.0,5477007000.0,10155087000.0
2100.0,9446694000.0,4329750500.0,7180764000.0,2918483000.0,13202184000.0,5662881300.0,6213869600.0,8215840000.0,5348996600.0,9763674000.0
