time,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0
2062.0,1695410300.0,529276030.0,1599747300.0,1178006900.0,1079211400.0
2063.0,1646710300.0,500876450.0,1899609100.0,1105882800.0,1049931800.0
2064.0,1620314600.0,464026800.0,1543273100.0,1036892100.0,1007345100.0
2065.0,1561472100.0,440043680.0,1502280800.0,987657800.0,965579600.0
2066.0,1531246200.0,408086180.0,1453393200.0,948365060.0,951476860.0
2067.0,1493779200.0,375078200.0,1424595800.0,907527600.0,925831940.0
2068.0,1443656200.0,339562980.0,1388413200.0,874127200.0,2039121900.0
2069.0,1397872300.0,315404060.0,1377864200.0,833569200.0,923877000.0
2070.0,1349567700.0,284884380.0,1328473000.0,800363460.0,862063170.0
2071.0,1310916600.0,256868460.0,1300320000.0,767058370.0,833093000.0
2072.0,1262465800.0,233980430.0,1240742800.0,721872300.0,798464900.0
2073.0,1221881700.0,214521010.0,1203464600.0,678291500.0,763802500.0
2074.0,1172951600.0,191464320.0,1156955900.0,653882800.0,743970560.0
2075.0,1132553100.0,173198050.0,1128021400.0,613456000.0,713451900.0
2076.0,1094245500.0,158781500.0,1103214200.0,573078660.0,690726660.0
2077.0,1047871550.0,142302290.0,1098148000.0,545895600.0,668093200.0
2078.0,997389900.0,130633330.0,1059695550.0,513542400.0,654217600.0
2079.0,964353000.0,113281960.0,1027262460.0,476638720.0,634935040.0
2080.0,926059600.0,98975740.0,1011111230.0,449070530.0,620650050.0
2081.0,889486000.0,79968504.0,980914370.0,423979360.0,607270500.0
2082.0,853518800.0,68971720.0,946574300.0,393867260.0,1293728500.0
2083.0,812308600.0,59553056.0,907181900.0,363205060.0,597865000.0
2084.0,781892000.0,46898220.0,884334850.0,354344580.0,613241000.0
2085.0,761883700.0,41454330.0,859596600.0,329678720.0,583165760.0
2086.0,729171800.0,35170704.0,821513200.0,303369570.0,553001340.0
2087.0,712795200.0,28559038.0,801493800.0,285998340.0,538451840.0
2088.0,677935600.0,26053640.0,773316900.0,259595180.0,516385120.0
2089.0,634871200.0,20603756.0,739137200.0,243658190.0,491579900.0
2090.0,616408100.0,12537797.0,722233100.0,223594750.0,473040320.0
2091.0,593906600.0,8325374.5,700265700.0,204225090.0,458858530.0
2092.0,572432000.0,4208007.0,669111360.0,182772930.0,448032830.0
2093.0,543826700.0,2623563.2,630053200.0,167704450.0,434700500.0
2094.0,520291500.0,943091.9,599393660.0,154989580.0,422348580.0
2095.0,502405980.0,589996.3,573456260.0,143964700.0,406634140.0
2096.0,485938200.0,590328.9,558865700.0,122318290.0,1001213200.0
2097.0,464077950.0,589649.3,540194800.0,106557610.0,400406000.0
2098.0,445256450.0,570848.4,523482430.0,96890220.0,379871840.0
2099.0,427712450.0,543202.6,504816600.0,82352430.0,377134560.0
2100.0,406110850.0,468327.25,480995940.0,67493880.0,359596030.0
