time,CANESM2,CNRM-CM5,GFDL-CM3,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR
2048.0,6737590000000.0,6712324000000.0,6464623600000.0,6460140000000.0,6590871600000.0,6941851000000.0,6832809600000.0,6636389000000.0,6577879000000.0,6139385000000.0,6216164600000.0
2049.0,6706230700000.0,6661306000000.0,6404878400000.0,6427452600000.0,6556675000000.0,6913285000000.0,6825273000000.0,6602273000000.0,6558774700000.0,6082618500000.0,6172597000000.0
2050.0,6671840000000.0,6628612500000.0,6347761000000.0,6399274000000.0,6520026700000.0,6889318400000.0,6812630000000.0,6572825600000.0,6532412000000.0,6002406000000.0,6138841500000.0
2051.0,6647864400000.0,6595264600000.0,6301436300000.0,6355278000000.0,6491857000000.0,6879583400000.0,6807266000000.0,6554298400000.0,6503290400000.0,5975046000000.0,6057375600000.0
2052.0,6609882000000.0,6567493600000.0,6241337000000.0,6322649000000.0,6461603700000.0,6862830000000.0,6786001700000.0,6514648000000.0,6475470000000.0,5917777600000.0,6005580600000.0
2053.0,6583319000000.0,6527713300000.0,6193537000000.0,6296255000000.0,6422633000000.0,6852834000000.0,6773648000000.0,6488592000000.0,6436983000000.0,5863296000000.0,5962924000000.0
2054.0,6538526700000.0,6478865000000.0,6145765300000.0,6264398500000.0,6384665500000.0,6847425000000.0,6740844000000.0,6462142000000.0,6423204000000.0,5789302400000.0,5922488000000.0
2055.0,6518569700000.0,6434774300000.0,6095148000000.0,6219769600000.0,6363175000000.0,6847413000000.0,6693207000000.0,6431415700000.0,6404985300000.0,5693420600000.0,5877975000000.0
2056.0,6461210500000.0,6395132000000.0,6034353000000.0,6180260300000.0,6332577000000.0,6844469000000.0,6662084000000.0,6419131000000.0,6394605500000.0,5623398000000.0,5837714600000.0
2057.0,6424746000000.0,6377521500000.0,5994925500000.0,6152909000000.0,6285023500000.0,6827068000000.0,6636536600000.0,6386453000000.0,6358115000000.0,5578248000000.0,5789577600000.0
