time,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0,CESM2-WACCM
2189.0,6539281400.0,7227363300.0,7711695000.0,5544082400.0
2190.0,6522139600.0,7520798000.0,7510882000.0,5234614000.0
2191.0,6473531400.0,9095886000.0,7746456600.0,5049176000.0
2192.0,6176238600.0,7705795000.0,7716551700.0,5003234300.0
2193.0,6123832000.0,7507862500.0,8155001300.0,5030414300.0
2194.0,6120764000.0,7646797000.0,8475021300.0,4980889000.0
2195.0,6040445400.0,8299288000.0,8384062000.0,4973490000.0
2196.0,6142041600.0,7490746400.0,8195460000.0,5100665300.0
2197.0,6085497000.0,7655234000.0,8187924000.0,4932079000.0
2198.0,6129822700.0,7507528700.0,7915009000.0,4923903500.0
2199.0,6131661000.0,7351775000.0,8238384600.0,4889416700.0
2200.0,6097092000.0,7488690000.0,8012993500.0,5184597000.0
2201.0,6317642000.0,7331948000.0,7887594000.0,5171602400.0
2202.0,6052863000.0,7399588400.0,7899309600.0,4880784000.0
2203.0,6015435000.0,7319451600.0,7903727000.0,4910717400.0
2204.0,6121273300.0,7361872000.0,7915744000.0,4846861300.0
2205.0,6129804300.0,7216777700.0,8201065500.0,4790289000.0
2206.0,6107619000.0,7081924600.0,7920091000.0,4784551400.0
2207.0,5994104000.0,7100177400.0,7796301300.0,4755302000.0
2208.0,6386782700.0,7024730600.0,7738215400.0,4776398300.0
2209.0,6347221500.0,7362693000.0,8255154000.0,4810479600.0
2210.0,6136943600.0,7048375000.0,8251317000.0,4710063000.0
2211.0,6458068500.0,7004396500.0,7753293300.0,4751026000.0
2212.0,7106702300.0,7092459000.0,7812577300.0,4790911500.0
2213.0,6947631600.0,7633135000.0,8790900000.0,4737576000.0
2214.0,6432782000.0,6944881700.0,8152297000.0,5180770300.0
2215.0,6275714600.0,6959110700.0,7868916700.0,5174911500.0
2216.0,6167436300.0,7144324000.0,7788243000.0,4757635600.0
2217.0,6418161700.0,8103195000.0,7717985300.0,5099342000.0
2218.0,6298022400.0,7108805600.0,7716747300.0,4791803400.0
2219.0,6377250300.0,6922856400.0,7753813000.0,4718162400.0
2220.0,6753662500.0,6818373000.0,8199953400.0,4990247000.0
2221.0,6274347000.0,6861265400.0,7776409000.0,5091138600.0
2222.0,6417729500.0,7415208000.0,7966130700.0,4792563000.0
2223.0,6351644700.0,7754510000.0,7670561000.0,4723458600.0
2224.0,6493602000.0,7326617600.0,7764232700.0,4743021600.0
2225.0,6346584600.0,7038647000.0,7650860000.0,4759323000.0
2226.0,6254679600.0,8227934700.0,7891123000.0,4699580400.0
2227.0,6880610300.0,7670905300.0,8043505000.0,4692200400.0
2228.0,6519731000.0,7256013300.0,7985253400.0,4673549000.0
2229.0,6417839000.0,7139582500.0,8152796000.0,5001552400.0
2230.0,6349486000.0,7201476000.0,7760536600.0,4829679000.0
2231.0,6375304700.0,7259898400.0,7801685500.0,4768444000.0
2232.0,6449944000.0,7364457000.0,8477744000.0,5174285000.0
2233.0,7210418000.0,8273341400.0,7711911000.0,4807195600.0
2234.0,6624822300.0,7918148000.0,7928154600.0,4726038500.0
2235.0,6668714500.0,7454974500.0,8482496500.0,4692044000.0
2236.0,6661672400.0,7336243000.0,8174752000.0,4669187600.0
2237.0,6438885000.0,7343898000.0,8318945000.0,4764383000.0
2238.0,6364994600.0,7197011000.0,7850251000.0,4888079400.0
2239.0,6328557000.0,7181653500.0,7926780400.0,4667451400.0
2240.0,6305506300.0,7362443000.0,7897937000.0,5019041000.0
2241.0,6291118000.0,7471360000.0,7946588700.0,4740861400.0
2242.0,6606349000.0,7306063400.0,7789324300.0,5017465300.0
2243.0,6726818300.0,7492578300.0,8164164000.0,4796334600.0
2244.0,6451075600.0,7402518500.0,8097167400.0,4753288000.0
2245.0,6579294000.0,7373831700.0,7897884000.0,4701780500.0
2246.0,6365328400.0,7584555500.0,7919230000.0,4776698000.0
2247.0,6956529000.0,7371585500.0,7923126300.0,4776535600.0
2248.0,6556243000.0,7333132300.0,7983587300.0,4724421600.0
2249.0,6492870000.0,7288911000.0,8703655000.0,4679227000.0
2250.0,6520412000.0,7308966400.0,8736511000.0,4678062600.0
2251.0,6382920700.0,7292694000.0,8983253000.0,4996390000.0
2252.0,7321443000.0,7520244700.0,8381155000.0,5153865000.0
2253.0,6630340600.0,7491974700.0,9106757000.0,4789093400.0
2254.0,6410099000.0,7912020000.0,8597631000.0,4701284000.0
2255.0,6374075400.0,7728318000.0,8344496000.0,4830430700.0
2256.0,6450385400.0,7554245600.0,9286204000.0,4802606600.0
2257.0,6405835300.0,7688350700.0,8959794000.0,4806739000.0
2258.0,6350608400.0,8107155500.0,8657434000.0,4710935000.0
2259.0,6334846000.0,7588978700.0,8754357000.0,4759416000.0
2260.0,6452956700.0,7941534000.0,10309695000.0,4628341000.0
2261.0,6356821000.0,7711161000.0,8993041000.0,4612368000.0
2262.0,6262554000.0,7591291400.0,9670607000.0,4596013600.0
2263.0,6400026000.0,8285471000.0,8981204000.0,4555623000.0
2264.0,6216465400.0,7798636500.0,8776960000.0,4563072000.0
2265.0,6190886000.0,7683695600.0,8672614000.0,4529020400.0
2266.0,6252422700.0,7795033000.0,8891801000.0,4521762300.0
2267.0,6236834300.0,9424417000.0,8744643000.0,4517725700.0
2268.0,6128059400.0,8238687700.0,8790628000.0,4473624000.0
2269.0,6205556000.0,7926103000.0,8671664000.0,4454059000.0
2270.0,6200963000.0,7980153000.0,8838178000.0,4510380500.0
2271.0,6167616000.0,8452375000.0,9204531000.0,4429495300.0
2272.0,6060593700.0,7948632000.0,9113967000.0,4395199000.0
2273.0,6571131400.0,8028200000.0,8812262000.0,4369679000.0
2274.0,6160226300.0,7872177000.0,8840018000.0,4369005000.0
2275.0,6106421000.0,7828007000.0,8963155000.0,4361385500.0
2276.0,6071164000.0,7822426000.0,8794525000.0,4318392000.0
2277.0,6214117000.0,7764693000.0,9570135000.0,4335228400.0
2278.0,6085439500.0,7697967600.0,9067734000.0,4704739300.0
2279.0,6061322000.0,7696771000.0,8836278000.0,4423192000.0
2280.0,6631881000.0,7898161000.0,8733639000.0,4401250000.0
2281.0,6634440700.0,7927128000.0,8764976000.0,4331969500.0
2282.0,6273353700.0,8425732000.0,8745457000.0,4997023000.0
2283.0,6668204500.0,8137306600.0,8695749000.0,4367795700.0
2284.0,6366948400.0,8617167000.0,9155620000.0,4372385300.0
2285.0,6221538300.0,8578964500.0,8769049000.0,4417700000.0
2286.0,6258050000.0,8283000000.0,8621997000.0,4378065000.0
2287.0,6279152600.0,8049336000.0,8587330600.0,4379655700.0
2288.0,6158601000.0,8013339000.0,8606198000.0,4311191000.0
2289.0,6163428000.0,8157915600.0,9024282000.0,4285867000.0
2290.0,6210155000.0,8182998000.0,8779902000.0,4364151000.0
2291.0,6117724700.0,9103504000.0,8736792000.0,4265827800.0
2292.0,6287648000.0,8428052500.0,8564750000.0,4244017200.0
2293.0,6492340000.0,8159119000.0,8503899000.0,4448891400.0
2294.0,6985149400.0,8138834400.0,8493775400.0,4520948700.0
2295.0,6415331000.0,8134036000.0,8431532000.0,4300367000.0
2296.0,6896462000.0,8248183300.0,8407108000.0,4227345000.0
2297.0,6541048300.0,8215042600.0,8339561000.0,4286627000.0
2298.0,6626746000.0,8299343400.0,8357795000.0,4257678000.0
2299.0,6391265300.0,8101621000.0,8419042000.0,4247553500.0
2300.0,6880023600.0,8431464400.0,8201359400.0,4202690800.0
