time,GFDL-ESM2G,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR
2064.0,3197692500000.0,2859949400000.0,2920803500000.0,2885877200000.0,3104929500000.0,3080696000000.0,2647586200000.0,2507945300000.0,2982874000000.0,3098738000000.0
2065.0,3159772000000.0,2821272400000.0,2882324400000.0,2853894000000.0,3069352300000.0,3059043300000.0,2608293500000.0,2473715000000.0,2921177000000.0,3076903700000.0
2066.0,3132875000000.0,2800756200000.0,2856203600000.0,2798358600000.0,3037246500000.0,3031211200000.0,2579670500000.0,2444856100000.0,2883056800000.0,3042071300000.0
2067.0,3113336700000.0,2761396300000.0,2813113100000.0,2766776600000.0,3020832000000.0,3004998000000.0,2541404000000.0,2395449300000.0,2860797700000.0,3014854400000.0
2068.0,3086129600000.0,2729241700000.0,2782217600000.0,2733261700000.0,2988904300000.0,2974309200000.0,2502424800000.0,2347488000000.0,2829201700000.0,2987212000000.0
2069.0,3043144500000.0,2705478400000.0,2740446800000.0,2687376600000.0,2944570500000.0,2944473500000.0,2464214000000.0,2315373000000.0,2799855500000.0,2952115500000.0
2070.0,3011786600000.0,2684610200000.0,2704759300000.0,2652829400000.0,2918926800000.0,2920198700000.0,2421761000000.0,2261286000000.0,2783186300000.0,2932312000000.0
2071.0,2978667600000.0,2646764200000.0,2659674500000.0,2617144500000.0,2877119800000.0,2894840500000.0,2374278300000.0,2213767800000.0,2757150400000.0,2902419300000.0
2072.0,2950224400000.0,2623408200000.0,2630108600000.0,2561944000000.0,2848491300000.0,2864985000000.0,2329992800000.0,2171044200000.0,2715285000000.0,2876212000000.0
2073.0,2937699200000.0,2605192300000.0,2589454000000.0,2529594200000.0,2819406200000.0,2821087300000.0,2277349000000.0,2122319900000.0,2670024200000.0,2846145000000.0
2074.0,2919490700000.0,2590305700000.0,2566382400000.0,2495342700000.0,2781701000000.0,2779599300000.0,2240909700000.0,2092897700000.0,2633956600000.0,2800890400000.0
